None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
276,AAPL,2016/12/27,116.52,117.8,116.49,117.26,18296855,0.0,1,115.0808078,116.3449979,115.0511783,115.8116677,18296855,0
277,AAPL,2016/12/28,117.52,118.0166,116.2,116.76,20905892,0.0,1,116.0684563,116.5589226,114.7647602,115.3178434,20905892,-1
278,AAPL,2016/12/29,116.45,117.1095,116.4,116.73,15039519,0.0,1,115.0116724,115.6630266,114.9622899,115.288214,15039519,-1
279,AAPL,2016/12/30,116.65,117.2,115.43,115.82,30586265,0.0,1,115.2092021,115.7524088,114.0042709,114.3894538,30586265,-1
280,AAPL,2017/1/3,115.8,116.33,114.76,116.15,28781865,0.0,1,114.3697008,114.8931545,113.3425463,114.7153778,28781865,1
281,AAPL,2017/1/4,115.85,116.51,115.75,116.02,21118116,0.0,1,114.4190832,115.0709313,114.3203184,114.5869835,21118116,-1
282,AAPL,2017/1/5,115.92,116.8642,115.81,116.61,22193587,0.0,1,114.4882186,115.4207564,114.3795773,115.1696961,22193587,1
283,AAPL,2017/1/6,116.78,118.16,116.47,117.91,31751900,0.0,1,115.3375964,116.7005514,115.0314253,116.4536392,31751900,1
284,AAPL,2017/1/9,117.95,119.43,117.94,118.99,33561948,0.0,1,116.4931452,117.954865,116.4832687,117.5202997,33561948,1
285,AAPL,2017/1/10,118.77,119.38,118.3,119.11,24462051,0.0,1,117.303017,117.9054826,116.8388222,117.6388175,24462051,1
286,AAPL,2017/1/11,118.74,119.93,118.6,119.75,27588593,0.0,1,117.2733875,118.4486893,117.1351167,118.2709125,27588593,1
287,AAPL,2017/1/12,118.895,119.3,118.21,119.25,27086220,0.0,1,117.426473,117.8264707,116.7499338,117.7770883,27086220,-1
288,AAPL,2017/1/13,119.11,119.62,118.81,119.04,26111948,0.0,1,117.6388175,118.1425182,117.3425229,117.5696821,26111948,-1
289,AAPL,2017/1/17,118.34,120.24,118.22,120.0,34439843,0.0,1,116.8783281,118.7548603,116.7598103,118.5178247,34439843,1
290,AAPL,2017/1/18,120.0,120.5,119.71,119.99,23712961,0.0,1,118.5178247,119.0116489,118.2314066,118.5079482,23712961,-1
291,AAPL,2017/1/19,119.4,120.09,119.37,119.78,25597291,0.0,1,117.9252356,118.606713,117.8956061,118.300542,25597291,-1
292,AAPL,2017/1/20,120.45,120.45,119.7346,120.0,32597892,0.0,1,118.9622665,118.9622665,118.2557028,118.5178247,32597892,1
293,AAPL,2017/1/23,120.0,120.81,119.77,120.08,22050218,0.0,1,118.5178247,119.31782,118.2906655,118.5968366,22050218,1
294,AAPL,2017/1/24,119.55,120.1,119.5,119.97,23211038,0.0,1,118.0733828,118.6165895,118.0240004,118.4881952,23211038,-1
295,AAPL,2017/1/25,120.42,122.1,120.28,121.88,32586673,0.0,1,118.9326371,120.5918866,118.7943663,120.3746039,32586673,1
296,AAPL,2017/1/26,121.67,122.44,121.6,121.94,26337576,0.0,1,120.1671977,120.9276871,120.0980623,120.4338628,26337576,1
297,AAPL,2017/1/27,122.14,122.35,121.6,121.95,20562944,0.0,1,120.6313925,120.8387987,120.0980623,120.4437393,20562944,1
298,AAPL,2017/1/30,120.93,121.63,120.66,121.63,30377503,0.0,1,119.4363378,120.1276918,119.1696727,120.1276918,30377503,-1
299,AAPL,2017/1/31,121.15,121.39,120.62,121.35,49200993,0.0,1,119.6536205,119.8906561,119.1301668,119.8511502,49200993,-1
300,AAPL,2017/2/1,127.03,130.49,127.01,128.75,111985040,0.0,1,125.4609939,128.8782579,125.4412409,127.1597494,111985040,1
301,AAPL,2017/2/2,127.975,129.39,127.78,128.53,33710411,0.0,1,126.3943218,127.7918445,126.2017303,126.9424667,33710411,-1
302,AAPL,2017/2/3,128.31,129.19,128.16,129.08,24507301,0.0,1,126.725184,127.5943147,126.5770368,127.4856734,24507301,1
303,AAPL,2017/2/6,129.13,130.5,128.9,130.29,26845924,0.0,1,127.5350558,128.8881343,127.3078967,128.6807281,26845924,1
304,AAPL,2017/2/7,130.54,132.09,130.45,131.53,38183841,0.0,1,128.9276403,130.4584955,128.8387519,129.9054123,38183841,1
305,AAPL,2017/2/8,131.35,132.22,131.22,132.04,23004072,0.0,1,129.7276356,130.5868898,129.5992413,130.4091131,23004072,1
306,AAPL,2017/2/9,131.65,132.445,131.12,132.42,28349859,0.57,1,130.5836163,131.3721767,130.0579094,131.3473792,28349859,1
307,AAPL,2017/2/10,132.46,132.94,132.05,132.12,20065458,0.0,1,131.3870552,131.8631671,130.9803763,131.0498092,20065458,-1
308,AAPL,2017/2/13,133.08,133.82,132.75,133.29,23035421,0.0,1,132.0020331,132.736039,131.6747062,132.2103321,23035421,1
309,AAPL,2017/2/14,133.47,135.09,133.25,135.02,33226223,0.0,1,132.388874,133.9957518,132.1706561,133.9263188,33226223,1
310,AAPL,2017/2/15,135.52,136.27,134.62,135.51,35623100,0.0,1,134.4222688,135.1661937,133.5295589,134.4123498,35623100,1
311,AAPL,2017/2/16,135.67,135.9,134.8398,135.345,22584555,0.0,1,134.5710537,134.7991907,133.7475785,134.2486863,22584555,-1
312,AAPL,2017/2/17,135.1,135.83,135.1,135.72,22198197,0.0,1,134.0056708,134.7297577,134.0056708,134.6206487,22198197,1
313,AAPL,2017/2/21,136.23,136.75,135.98,136.7,24507156,0.0,1,135.1265177,135.6423056,134.8785427,135.5927106,24507156,1
314,AAPL,2017/2/22,136.43,137.12,136.11,137.11,20836932,0.0,1,135.3248976,136.0093085,135.0074897,135.9993895,20836932,1
315,AAPL,2017/2/23,137.38,137.48,136.3,136.53,20788186,0.0,1,136.2672025,136.3663925,135.1959506,135.4240876,20788186,-1
316,AAPL,2017/2/24,135.91,136.66,135.28,136.66,21776585,0.0,1,134.8091097,135.5530346,134.1842128,135.5530346,21776585,1
317,AAPL,2017/2/27,137.14,137.435,136.28,136.93,20257426,0.0,1,136.0291465,136.321757,135.1761126,135.8208476,20257426,1
318,AAPL,2017/2/28,137.08,137.435,136.7,136.99,23482860,0.0,1,135.9696325,136.321757,135.5927106,135.8803615,23482860,1
