None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
551,ABBV,2016/12/27,62.52,63.015,62.41,62.5,5396206,0.0,1,60.29866614,60.7760788,60.19257443,60.27937674,5396206,0
552,ABBV,2016/12/28,62.51,62.75,62.25,62.27,5190362,0.0,1,60.28902144,60.52049424,60.03825923,60.05754863,5190362,-1
553,ABBV,2016/12/29,62.39,63.06,62.39,62.73,4990040,0.0,1,60.17328503,60.81947995,60.17328503,60.50120484,4990040,1
554,ABBV,2016/12/30,62.729,62.93,62.41,62.62,5998775,0.0,1,60.50024037,60.69409885,60.19257443,60.39511314,5998775,-1
555,ABBV,2017/1/3,62.92,63.03,61.935,62.41,9328198,0.0,1,60.68445415,60.79054585,59.73445117,60.19257443,9328198,-1
556,ABBV,2017/1/4,62.64,63.7999,62.64,63.29,8674823,0.0,1,60.41440254,61.53309133,60.41440254,61.04130806,8674823,1
557,ABBV,2017/1/5,63.38,63.95,63.03,63.77,5359393,0.0,1,61.12811036,61.67785828,60.79054585,61.50425367,5359393,1
558,ABBV,2017/1/6,63.881,64.0,63.52,63.79,4722267,0.0,1,61.61130984,61.72608178,61.26313616,61.52354307,4722267,1
559,ABBV,2017/1/9,63.8,64.38,63.75,64.21,8792848,0.0,1,61.53318777,62.09258039,61.48496427,61.92862048,8792848,1
560,ABBV,2017/1/10,64.05,64.5,63.77,64.07,6523547,0.0,1,61.77430528,62.20831679,61.50425367,61.79359468,6523547,-1
561,ABBV,2017/1/11,63.38,63.645,60.59,61.14,13565179,0.64,1,61.7679859,62.02624586,59.04894708,59.58495832,13565179,-1
562,ABBV,2017/1/12,60.77,61.43,60.42,61.28,8194353,0.0,1,59.22436894,59.86758242,58.88327088,59.72139754,8194353,1
563,ABBV,2017/1/13,61.35,62.41,61.05,61.99,7295072,0.0,1,59.78961715,60.82265699,59.49724739,60.41333932,7295072,1
564,ABBV,2017/1/17,61.75,62.04,61.1,61.86,8446663,0.0,1,60.17944351,60.46206761,59.54597568,60.28664575,8446663,-1
565,ABBV,2017/1/18,61.76,62.14,61.315,61.66,5519207,0.0,1,60.18918917,60.5595242,59.75550735,60.09173258,5519207,-1
