None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
826,ABT,2016/12/27,38.48,38.94,38.47,38.6,6633668,0.0,1,37.61328192,38.06292095,37.60350716,37.73057906,6633668,0
827,ABT,2016/12/28,38.63,38.77,38.075,38.22,6828535,0.0,1,37.75990334,37.89675,37.21740408,37.35913812,6828535,-1
828,ABT,2016/12/29,38.3,38.51,38.11,38.31,7050816,0.0,1,37.43733622,37.64260621,37.25161575,37.44711098,7050816,1
829,ABT,2016/12/30,38.33,38.87,38.25,38.41,10445631,0.0,1,37.4666605,37.99449762,37.38846241,37.54485859,10445631,1
830,ABT,2017/1/3,38.6334,39.08,38.34,39.05,9677316,0.0,1,37.76322676,38.19976761,37.47643526,38.17044332,9677316,1
831,ABT,2017/1/4,39.06,39.725,39.06,39.36,22644542,0.0,1,38.18021808,38.83023972,38.18021808,38.47346093,22644542,1
832,ABT,2017/1/5,39.24,39.75,38.98,39.7,12080148,0.0,1,38.35616379,38.85467662,38.10201999,38.80580281,12080148,1
833,ABT,2017/1/6,39.7,40.99,39.66,40.78,14628910,0.0,1,38.80580281,40.06674704,38.76670377,39.86147705,14628910,1
834,ABT,2017/1/9,40.79,41.06,40.62,40.74,10992496,0.0,1,39.87125181,40.13517037,39.70508086,39.822378,10992496,-1
835,ABT,2017/1/10,40.81,41.62,40.78,41.29,9256298,0.0,1,39.89080133,40.68255701,39.86147705,40.35998988,9256298,1
836,ABT,2017/1/11,41.05,41.415,40.485,41.08,10699446,0.265,1,40.38423762,40.74331793,39.82840097,40.41375107,10699446,-1
837,ABT,2017/1/12,40.79,40.79,40.31,40.72,8633354,0.0,1,40.12845438,40.12845438,39.65623918,40.05958966,8633354,-1
838,ABT,2017/1/13,40.75,41.36,40.69,40.93,9533780,0.0,1,40.08910311,40.68920993,40.03007621,40.26618382,9533780,1
839,ABT,2017/1/17,40.67,41.04,40.53,40.9,8272727,0.0,1,40.01040058,40.3743998,39.87267115,40.23667037,8272727,-1
840,ABT,2017/1/18,41.05,41.1,40.51,40.76,7195155,0.0,1,40.38423762,40.4334267,39.85299551,40.09894093,7195155,-1
841,ABT,2017/1/19,40.64,40.73,40.24,40.4,7160171,0.0,1,39.98088713,40.06942748,39.58737446,39.74477953,7160171,-1
842,ABT,2017/1/20,40.51,40.77,40.345,40.46,5908000,0.0,1,39.85299551,40.10877875,39.69067154,39.80380643,5908000,1
843,ABT,2017/1/23,40.32,40.545,40.2,40.34,7351854,0.0,1,39.666077,39.88742787,39.5480232,39.68575263,7351854,-1
844,ABT,2017/1/24,40.32,40.5,40.12,40.31,7773693,0.0,1,39.666077,39.8431577,39.46932066,39.65623918,7773693,-1
845,ABT,2017/1/25,39.76,40.465,39.25,40.31,16890214,0.0,1,39.11515926,39.80872534,38.61343061,39.65623918,16890214,-1
846,ABT,2017/1/26,40.46,41.12,40.45,40.96,9410038,0.0,1,39.80380643,40.45310233,39.79396861,40.29569727,9410038,1
847,ABT,2017/1/27,41.11,41.31,40.9,41.0,7033637,0.0,1,40.44326452,40.64002085,40.23667037,40.33504853,7033637,1
848,ABT,2017/1/30,40.86,41.14,40.77,41.01,13811560,0.0,1,40.1973191,40.47277797,40.10877875,40.34488635,13811560,1
849,ABT,2017/1/31,40.73,41.79,40.6,41.77,12318224,0.0,1,40.06942748,41.11223605,39.94153586,41.09256042,12318224,1
850,ABT,2017/2/1,41.51,42.37,41.44,42.33,11948793,0.0,1,40.83677719,41.68282942,40.76791247,41.64347816,11948793,1
851,ABT,2017/2/2,42.18,42.79,41.85,42.75,11836897,0.0,1,41.49591091,42.09601772,41.17126295,42.05666646,11836897,1
852,ABT,2017/2/3,42.94,43.13,42.54,42.78,11641968,0.0,1,42.24358498,42.43050349,41.85007231,42.08617991,11641968,1
853,ABT,2017/2/6,42.57,42.75,42.23,42.43,8735171,0.0,1,41.87958576,42.05666646,41.54509999,41.74185632,8735171,-1
