None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
1101,AGN,2016/12/27,199.34,202.53,199.18,200.49,2851285,0.0,1,197.5486797,200.7100135,197.3901175,198.6883455,2851285,0
1102,AGN,2016/12/28,201.01,205.12,200.67,204.06,3811831,0.0,1,199.2036726,203.2767391,198.866728,202.2262646,3811831,1
1103,AGN,2016/12/29,203.69,208.36,203.69,207.21,4904710,0.0,1,201.8595895,206.4876237,201.8595895,205.3479578,4904710,1
1104,AGN,2016/12/30,207.6,212.45,207.51,210.01,3998084,0.0,1,205.7344532,210.5408699,205.645262,208.1227963,3998084,1
1105,AGN,2017/1/3,214.15,216.72,212.25,216.19,7935320,0.0,1,212.2255932,214.7724985,210.3426671,214.2472613,7935320,1
1106,AGN,2017/1/4,216.78,218.9443,213.55,215.56,3639944,0.0,1,214.8319594,216.9768104,211.630985,213.6229226,3639944,-1
1107,AGN,2017/1/5,216.5,221.85,213.26,220.83,5121734,0.0,1,214.5544755,219.8563991,211.343591,218.845565,5121734,1
1108,AGN,2017/1/6,220.0,222.14,217.56,219.08,3443646,0.0,1,218.0230236,220.143793,215.6049501,217.111291,3443646,-1
1109,AGN,2017/1/9,220.09,221.48,218.91,220.1,2721001,0.0,1,218.1122149,219.489724,216.9428186,218.122125,2721001,1
1110,AGN,2017/1/10,220.36,223.285,217.27,221.25,2789264,0.0,1,218.3797886,221.2785038,215.3175561,219.2617908,2789264,1
1111,AGN,2017/1/11,220.5,222.43,212.05,216.24,6717523,0.0,1,218.5185305,220.431187,210.1444644,214.296812,6717523,-1
1112,AGN,2017/1/12,213.84,217.17,208.3501,216.24,3989102,0.0,1,211.918379,215.2184547,206.4778126,214.296812,3989102,-1
1113,AGN,2017/1/13,215.76,217.98,215.71,216.14,3898409,0.0,1,213.8211254,216.0211759,213.7715747,214.1977106,3898409,-1
1114,AGN,2017/1/17,214.4,215.879,211.43,214.78,3866058,0.0,1,212.4733467,213.939056,209.5300358,212.8499319,3866058,-1
1115,AGN,2017/1/18,216.5,219.13,214.7,216.56,2680021,0.0,1,214.5544755,217.1608417,212.7706508,214.6139363,2680021,1
1116,AGN,2017/1/19,217.0,217.46,214.15,214.58,3142741,0.0,1,215.0499824,215.5058487,212.2255932,212.6517291,3142741,-1
1117,AGN,2017/1/20,214.76,216.07,213.126,214.34,2923948,0.0,1,212.8301116,214.1283396,211.2107952,212.4138858,2923948,-1
1118,AGN,2017/1/23,212.43,218.08,211.11,214.82,3877434,0.0,1,210.5210496,216.1202772,209.2129114,212.8895724,3877434,1
1119,AGN,2017/1/24,214.99,215.4691,210.695,213.11,3132431,0.0,1,213.0580448,213.5328395,208.8016407,211.1949389,3132431,-1
1120,AGN,2017/1/25,213.7,215.37,211.1,213.57,3018480,0.0,1,211.779637,213.43463,209.2030013,211.6508053,3018480,1
1121,AGN,2017/1/26,214.31,214.94,210.6,210.8,2127383,0.0,1,212.3841554,213.0084941,208.7074944,208.9056972,2127383,-1
1122,AGN,2017/1/27,211.54,214.59,210.81,213.2,2397516,0.0,1,209.6390474,212.6616393,208.9156073,211.2841302,2397516,1
1123,AGN,2017/1/30,212.98,213.2,210.75,211.87,2533322,0.0,1,211.0661071,211.2841302,208.8561465,209.9660819,2533322,-1
1124,AGN,2017/1/31,209.91,219.55,209.31,218.89,3293428,0.0,1,208.023695,217.5770674,207.4290867,216.9229984,3293428,1
1125,AGN,2017/2/1,219.0,230.6045,217.56,229.32,6636329,0.0,1,217.0320099,228.5322289,215.6049501,227.2592717,6636329,1
