None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
1377,AMGN,2016/12/27,147.77,150.11,147.77,148.36,1940952,0.0,1,144.7369315,147.0289016,144.7369315,145.3148214,1940952,0
1378,AMGN,2016/12/28,148.63,149.15,147.36,147.67,1803975,0.0,1,145.5792795,146.0886062,144.335347,144.6389841,1803975,-1
1379,AMGN,2016/12/29,147.37,148.6931,147.37,147.78,1655469,0.0,1,144.3451418,145.6410844,144.3451418,144.7467263,1655469,1
1380,AMGN,2016/12/30,147.63,148.75,145.62,146.21,3193143,0.0,1,144.5998051,145.6968164,142.6310616,143.2089515,3193143,-1
1381,AMGN,2017/1/3,147.86,151.0,147.12,150.73,3640901,0.0,1,144.8250842,147.9006338,144.1002732,147.6361758,3640901,1
1382,AMGN,2017/1/4,152.09,153.72,151.77,152.87,3945903,0.0,1,148.9682609,150.5648042,148.6548291,149.732251,3945903,1
1383,AMGN,2017/1/5,152.72,153.4,151.51,152.98,3441661,0.0,1,149.5853298,150.2513724,148.4001658,149.8399931,3441661,1
1384,AMGN,2017/1/6,159.88,161.0,156.67,156.78,9899296,0.0,1,156.5983665,157.6953778,153.4542537,153.5619958,9899296,1
1385,AMGN,2017/1/9,157.01,158.945,156.63,158.84,4247693,0.0,1,153.787275,155.6825579,153.4150747,155.5797131,4247693,1
1386,AMGN,2017/1/10,158.49,159.13,157.24,158.76,3324424,0.0,1,155.2368971,155.8637607,154.0125541,155.5013552,3324424,-1
1387,AMGN,2017/1/11,159.16,159.16,154.5,156.62,4821283,0.0,1,155.8931449,155.8931449,151.3287942,153.4052799,4821283,-1
1388,AMGN,2017/1/12,155.44,156.15,154.56,155.36,3234780,0.0,1,152.2495002,152.944927,151.3875627,152.1711422,3234780,-1
1389,AMGN,2017/1/13,155.28,157.21,154.89,156.12,2637514,0.0,1,152.0927843,153.9831698,151.7107892,152.9155427,2637514,1
1390,AMGN,2017/1/17,155.14,156.12,153.53,154.8,3404875,0.0,1,151.9556578,152.9155427,150.3787041,151.6226365,3404875,-1
1391,AMGN,2017/1/18,155.69,155.94,154.51,155.77,2432740,0.0,1,152.4943688,152.7392374,151.338589,152.5727267,2432740,1
1392,AMGN,2017/1/19,155.13,155.6915,153.254,153.8,2572172,0.0,1,151.9458631,152.495838,150.1083691,150.6431621,2572172,-1
1393,AMGN,2017/1/20,154.71,155.35,153.82,154.67,3067372,0.0,1,151.5344838,152.1613475,150.6627516,151.4953049,3067372,1
1394,AMGN,2017/1/23,154.21,154.55,152.4,152.72,2458158,0.0,1,151.0447467,151.3777679,149.271898,149.5853298,2458158,-1
1395,AMGN,2017/1/24,152.82,153.0,150.375,151.85,3027683,0.0,1,149.6832772,149.8595826,147.2884623,148.7331871,3027683,-1
