None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
1653,AMZN,2016/12/27,763.4,774.65,761.2,771.4,2638725,0.0,1,763.4,774.65,761.2,771.4,2638725,0
1654,AMZN,2016/12/28,776.25,780.0,770.5,772.13,3301025,0.0,1,776.25,780.0,770.5,772.13,3301025,1
1655,AMZN,2016/12/29,772.4,773.4,760.85,765.15,3158299,0.0,1,772.4,773.4,760.85,765.15,3158299,-1
1656,AMZN,2016/12/30,766.47,767.3999,748.28,749.87,4139449,0.0,1,766.47,767.3999,748.28,749.87,4139449,-1
1657,AMZN,2017/1/3,757.92,758.7595,747.7,753.67,3521066,0.0,1,757.92,758.7595,747.7,753.67,3521066,1
1658,AMZN,2017/1/4,758.39,759.68,754.2,757.18,2510526,0.0,1,758.39,759.68,754.2,757.18,2510526,1
1659,AMZN,2017/1/5,761.55,782.3999,760.2557,780.45,5830068,0.0,1,761.55,782.3999,760.2557,780.45,5830068,1
1660,AMZN,2017/1/6,782.36,799.44,778.48,795.99,5986234,0.0,1,782.36,799.44,778.48,795.99,5986234,1
1661,AMZN,2017/1/9,798.0,801.7742,791.77,796.92,3446109,0.0,1,798.0,801.7742,791.77,796.92,3446109,1
1662,AMZN,2017/1/10,796.6,798.0,789.5434,795.9,2558369,0.0,1,796.6,798.0,789.5434,795.9,2558369,-1
1663,AMZN,2017/1/11,793.66,799.5,789.51,799.02,2992791,0.0,1,793.66,799.5,789.51,799.02,2992791,1
1664,AMZN,2017/1/12,800.31,814.13,799.5,813.64,4873922,0.0,1,800.31,814.13,799.5,813.64,4873922,1
1665,AMZN,2017/1/13,814.32,821.65,811.4,817.14,3791945,0.0,1,814.32,821.65,811.4,817.14,3791945,1
1666,AMZN,2017/1/17,815.7,816.0,803.44,809.72,3670529,0.0,1,815.7,816.0,803.44,809.72,3670529,-1
1667,AMZN,2017/1/18,809.5,811.73,804.27,807.48,2354201,0.0,1,809.5,811.73,804.27,807.48,2354201,-1
1668,AMZN,2017/1/19,810.0,813.51,807.32,809.04,2540784,0.0,1,810.0,813.51,807.32,809.04,2540784,1
1669,AMZN,2017/1/20,815.28,816.02,806.26,808.33,3376196,0.0,1,815.28,816.02,806.26,808.33,3376196,-1
1670,AMZN,2017/1/23,806.8,818.5,805.08,817.88,2797474,0.0,1,806.8,818.5,805.08,817.88,2797474,1
1671,AMZN,2017/1/24,822.0,823.99,814.5,822.44,2971740,0.0,1,822.0,823.99,814.5,822.44,2971740,1
1672,AMZN,2017/1/25,825.79,837.4183,825.288,836.52,4023078,0.0,1,825.79,837.4183,825.288,836.52,4023078,1
1673,AMZN,2017/1/26,835.53,843.84,833.0,839.15,3586323,0.0,1,835.53,843.84,833.0,839.15,3586323,1
1674,AMZN,2017/1/27,839.0,839.7,829.44,835.77,2998700,0.0,1,839.0,839.7,829.44,835.77,2998700,-1
1675,AMZN,2017/1/30,833.0,833.5,816.38,830.38,3747336,0.0,1,833.0,833.5,816.38,830.38,3747336,-1
1676,AMZN,2017/1/31,823.75,826.99,819.56,823.48,3137196,0.0,1,823.75,826.99,819.56,823.48,3137196,-1
1677,AMZN,2017/2/1,829.21,833.78,824.94,832.35,3850181,0.0,1,829.21,833.78,824.94,832.35,3850181,1
1678,AMZN,2017/2/2,836.59,842.49,828.26,839.95,7350492,0.0,1,836.59,842.49,828.26,839.95,7350492,1
1679,AMZN,2017/2/3,806.72,818.3,804.0,810.2,10868773,0.0,1,806.72,818.3,804.0,810.2,10868773,-1
1680,AMZN,2017/2/6,809.8,810.72,803.0,807.64,3897301,0.0,1,809.8,810.72,803.0,807.64,3897301,-1
1681,AMZN,2017/2/7,809.31,816.16,807.5,812.5,3466091,0.0,1,809.31,816.16,807.5,812.5,3466091,1
1682,AMZN,2017/2/8,812.69,821.479,812.5,819.71,2857985,0.0,1,812.69,821.479,812.5,819.71,2857985,1
1683,AMZN,2017/2/9,821.6,825.0,819.71,821.36,2484948,0.0,1,821.6,825.0,819.71,821.36,2484948,1
1684,AMZN,2017/2/10,823.82,828.0,822.85,827.46,2429609,0.0,1,823.82,828.0,822.85,827.46,2429609,1
1685,AMZN,2017/2/13,831.62,842.9999,828.55,836.53,4172618,0.0,1,831.62,842.9999,828.55,836.53,4172618,1
1686,AMZN,2017/2/14,837.0,838.31,831.4522,836.39,2792442,0.0,1,837.0,838.31,831.4522,836.39,2792442,-1
1687,AMZN,2017/2/15,834.0,842.81,832.82,842.7,2968853,0.0,1,834.0,842.81,832.82,842.7,2968853,1
1688,AMZN,2017/2/16,841.84,845.0,839.375,844.14,2714667,0.0,1,841.84,845.0,839.375,844.14,2714667,1
1689,AMZN,2017/2/17,842.0,847.27,840.73,845.07,3112275,0.0,1,842.0,847.27,840.73,845.07,3112275,1
1690,AMZN,2017/2/21,848.84,857.98,847.25,856.44,3507742,0.0,1,848.84,857.98,847.25,856.44,3507742,1
1691,AMZN,2017/2/22,856.95,858.43,852.18,855.61,2616971,0.0,1,856.95,858.43,852.18,855.61,2616971,-1
1692,AMZN,2017/2/23,857.57,860.86,848.0,852.19,3461984,0.0,1,857.57,860.86,848.0,852.19,3461984,-1
1693,AMZN,2017/2/24,844.69,845.81,837.7501,845.24,3687963,0.0,1,844.69,845.81,837.7501,845.24,3687963,-1
