None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
1928,AXP,2016/12/27,75.1,75.11,74.79,74.98,2049447,0.0,1,73.91618651,73.92602888,73.61107309,73.79807809,2049447,0
1929,AXP,2016/12/28,75.03,75.38,74.15,74.37,2517302,0.0,1,73.84728993,74.19177282,72.98116151,73.19769362,2517302,-1
1930,AXP,2016/12/29,74.27,74.68,73.5,73.92,2573668,0.0,1,73.09926993,73.50280704,72.34140757,72.75478704,2573668,-1
1931,AXP,2016/12/30,73.96,74.34,73.84,74.08,3378805,0.0,1,72.79415651,73.16816651,72.67604809,72.91226493,3378805,1
1932,AXP,2017/1/3,74.89,75.75,74.74,75.35,5853881,0.0,1,73.70949677,74.55594045,73.56186125,74.16224572,5853881,1
1933,AXP,2017/1/4,75.26,76.55,75.055,76.26,4635796,0.32,1,74.38449016,75.65948342,74.18187496,75.37285703,4635796,1
1934,AXP,2017/1/5,76.0,76.18,74.82,75.32,3383003,0.0,1,75.11588164,75.29378768,73.94960874,74.44379218,3383003,-1
1935,AXP,2017/1/6,75.4,75.915,75.06,75.47,3089593,0.0,1,74.52286153,75.03187046,74.18681679,74.59204721,3089593,1
1936,AXP,2017/1/9,76.14,76.5,75.53,75.86,4817587,0.0,1,75.254253,75.61006508,74.65134922,74.97751028,4817587,1
1937,AXP,2017/1/10,76.52,78.0,76.12,76.65,9561414,0.0,1,75.62983241,77.09261537,75.23448567,75.7583201,9561414,1
1938,AXP,2017/1/11,76.67,77.44,76.1,76.91,4500174,0.0,1,75.77808744,76.53912993,75.21471833,76.01529549,4500174,1
1939,AXP,2017/1/12,76.83,76.95,75.84,76.88,4056691,0.0,1,75.93622614,76.05483016,74.95774295,75.98564448,4056691,-1
1940,AXP,2017/1/13,76.93,77.63,76.41,76.62,3453668,0.0,1,76.03506283,76.72691963,75.52111206,75.7286691,3453668,-1
1941,AXP,2017/1/17,77.4,77.7,76.47,76.6,6450259,0.0,1,76.49959525,76.79610531,75.58041407,75.70890176,6450259,-1
1942,AXP,2017/1/18,77.11,77.605,76.51,77.49,5980549,0.0,1,76.21296886,76.70221046,75.61994874,76.58854827,5980549,1
1943,AXP,2017/1/19,77.61,77.7797,76.61,76.69,8111384,0.0,1,76.70715229,76.87487815,75.71878543,75.79785478,8111384,-1
1944,AXP,2017/1/20,75.99,76.91,75.39,76.2,8465919,0.0,1,75.10599797,76.01529549,74.51297786,75.31355502,8465919,-1
1945,AXP,2017/1/23,75.92,76.48,75.73,75.97,4444292,0.0,1,75.03681229,75.59029774,74.84902259,75.08623064,4444292,-1
1946,AXP,2017/1/24,76.33,77.66,76.09,77.43,4024267,0.0,1,75.44204271,76.75657064,75.20483466,76.52924626,4024267,1
1947,AXP,2017/1/25,78.0,78.02,76.4,76.89,5278290,0.0,1,77.09261537,77.11238271,75.51122839,75.99552815,5278290,-1
1948,AXP,2017/1/26,76.95,77.46,76.63,76.93,3344801,0.0,1,76.05483016,76.55889726,75.73855277,76.03506283,3344801,1
1949,AXP,2017/1/27,77.0,77.3,76.54,76.85,3530945,0.0,1,76.10424851,76.40075857,75.64959975,75.95599348,3530945,-1
1950,AXP,2017/1/30,76.83,77.32,76.54,77.28,5344512,0.0,1,75.93622614,76.4205259,75.64959975,76.38099123,5344512,1
1951,AXP,2017/1/31,76.86,77.25,75.97,76.38,5568099,0.0,1,75.96587715,76.35134022,75.08623064,75.49146105,5568099,-1
1952,AXP,2017/2/1,76.85,77.44,76.58,76.76,3916764,0.0,1,75.95599348,76.53912993,75.68913442,75.86704046,3916764,1
1953,AXP,2017/2/2,76.23,76.89,76.06,76.51,3655543,0.0,1,75.34320602,75.99552815,75.17518366,75.61994874,3655543,-1
1954,AXP,2017/2/3,77.14,78.42,76.91,78.04,5235837,0.0,1,76.24261987,77.50772945,76.01529549,77.13215005,5235837,1
1955,AXP,2017/2/6,77.72,78.41,77.48,77.82,3229512,0.0,1,76.81587265,77.49784578,76.5786646,76.91470934,3229512,-1
1956,AXP,2017/2/7,78.06,78.38,77.52,77.72,2060209,0.0,1,77.15191738,77.46819478,76.61819928,76.81587265,2060209,-1
1957,AXP,2017/2/8,77.54,77.935,77.0801,77.8,2223099,0.0,1,76.63796661,77.02837152,76.18341669,76.894942,2223099,1
1958,AXP,2017/2/9,77.9,78.37,77.67,78.18,3031767,0.0,1,76.99377868,77.45831111,76.76645431,77.27052141,3031767,1
1959,AXP,2017/2/10,78.5,78.69,78.23,78.48,2191153,0.0,1,77.5867988,77.77458851,77.31993975,77.56703147,2191153,1
1960,AXP,2017/2/13,78.82,79.18,78.48,78.91,3317118,0.0,1,77.9030762,78.25888827,77.56703147,77.99202922,3317118,1
1961,AXP,2017/2/14,79.0,79.45,78.67,79.41,3510438,0.0,1,78.08098223,78.52574732,77.75482117,78.48621265,3510438,1
1962,AXP,2017/2/15,79.79,80.1,78.67,79.6,5704079,0.0,1,78.86179206,79.16818578,77.75482117,78.67400235,5704079,1
1963,AXP,2017/2/16,79.46,79.6,78.92,79.51,4295031,0.0,1,78.53563099,78.67400235,78.00191289,78.58504934,4295031,-1
1964,AXP,2017/2/17,79.22,79.78,78.9,79.71,2690250,0.0,1,78.29842294,78.85190839,77.98214555,78.78272271,2690250,1
1965,AXP,2017/2/21,79.92,80.45,79.64,79.97,3505566,0.0,1,78.99027975,79.51411419,78.71353703,79.03969809,3505566,1
1966,AXP,2017/2/22,79.83,79.975,79.39,79.86,2942964,0.0,1,78.90132673,79.04463993,78.46644531,78.93097774,2942964,-1
1967,AXP,2017/2/23,79.87,80.45,79.77,80.05,3339493,0.0,1,78.94086141,79.51411419,78.84202472,79.11876744,3339493,1
