None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
2204,BA,2016/12/27,158.41,158.48,156.91,157.48,1858139,0.0,1,154.0689814,154.1370632,152.610087,153.1644669,1858139,0
2205,BA,2016/12/28,157.12,157.35,156.01,156.1,1810021,0.0,1,152.8143322,153.0380294,151.7347503,151.822284,1810021,-1
2206,BA,2016/12/29,156.0,156.75,155.16,155.69,1803955,0.0,1,151.7250243,152.4544716,150.9080434,151.4235195,1803955,-1
2207,BA,2016/12/30,156.49,156.79,154.96,155.68,2028362,0.0,1,152.2015965,152.4933754,150.7135242,151.4137935,2028362,-1
2208,BA,2017/1/3,156.3,157.14,155.21,156.97,3426113,0.0,1,152.0168032,152.8337841,150.9566733,152.6684428,3426113,1
2209,BA,2017/1/4,157.81,159.2299,157.81,158.62,3189810,0.0,1,153.4854237,154.8664132,153.4854237,154.2732267,3189810,1
2210,BA,2017/1/5,158.41,159.7,157.401,158.71,2794384,0.0,1,154.0689814,155.3236307,153.0876318,154.3607603,2794384,1
2211,BA,2017/1/6,158.98,159.66,157.89,159.1,2426662,0.0,1,154.6233613,155.2847268,153.5632314,154.7400729,2426662,1
2212,BA,2017/1/9,159.0,159.24,158.17,158.32,2838600,0.0,1,154.6428133,154.8762364,153.8355583,153.9814478,2838600,-1
2213,BA,2017/1/10,158.96,159.94,158.57,159.07,2988302,0.0,1,154.6039094,155.5570538,154.2245969,154.710895,2988302,1
2214,BA,2017/1/11,159.54,159.7,158.28,159.4,2416487,0.0,1,155.1680153,155.3236307,153.9425439,155.0318518,2416487,1
2215,BA,2017/1/12,159.15,159.16,156.67,158.29,3020336,0.0,1,154.7887027,154.7984287,152.3766639,153.9522699,3020336,-1
2216,BA,2017/1/13,158.74,159.58,158.34,158.83,2435391,0.0,1,154.3899382,155.2069191,154.0008997,154.4774719,2435391,1
2217,BA,2017/1/17,158.2,159.04,157.23,157.67,2758788,0.0,1,153.8647362,154.6817171,152.9213178,153.3492602,2758788,-1
2218,BA,2017/1/18,157.55,159.05,156.75,158.32,2087283,0.0,1,153.2325486,154.6914431,152.4544716,153.9814478,2087283,1
2219,BA,2017/1/19,158.87,159.87,157.91,159.0,3143963,0.0,1,154.5163757,155.4889721,153.5826833,154.6428133,3143963,1
2220,BA,2017/1/20,159.81,160.3,158.23,159.53,3343475,0.0,1,155.4306163,155.9071885,153.8939141,155.1582893,3343475,1
2221,BA,2017/1/23,158.94,159.5,157.29,157.84,3929835,0.0,1,154.5844575,155.1291114,152.9796736,153.5146015,3929835,-1
2222,BA,2017/1/24,158.58,160.93,157.84,160.55,3927536,0.0,1,154.2343228,156.5199241,153.5146015,156.1503375,3927536,1
2223,BA,2017/1/25,163.59,168.65,163.24,167.36,7480039,0.0,1,159.1070303,164.0283677,158.7666216,162.7737184,7480039,1
2224,BA,2017/1/26,167.25,170.0,167.25,169.12,5436834,0.0,1,162.6667328,165.3413727,162.6667328,164.4854879,5436834,1
2225,BA,2017/1/27,169.21,169.8,167.01,167.7,4883229,0.0,1,164.5730216,165.1468534,162.4333097,163.1044012,4883229,-1
2226,BA,2017/1/30,165.92,165.99,163.82,165.57,5456015,0.0,1,161.3731797,161.4412615,159.3307275,161.032771,5456015,-1
2227,BA,2017/1/31,164.96,165.1,163.22,163.42,5350186,0.0,1,160.4394873,160.5756508,158.7471697,158.941689,5350186,-1
2228,BA,2017/2/1,164.25,165.81,163.12,163.97,3137956,0.0,1,159.7489439,161.2661941,158.6499101,159.4766169,3137956,1
2229,BA,2017/2/2,163.22,163.97,160.82,162.26,3791669,0.0,1,158.7471697,159.4766169,156.4129385,157.8134772,3791669,-1
2230,BA,2017/2/3,162.99,163.56,162.31,162.4,2981662,0.0,1,158.5234725,159.0778524,157.8621071,157.9496407,2981662,1
2231,BA,2017/2/6,162.42,164.08,162.38,163.98,3110479,0.0,1,157.9690926,159.5836025,157.9301888,159.4863429,3110479,1
2232,BA,2017/2/7,165.0,167.4199,164.8725,166.5,4243139,0.0,1,160.4783911,162.8319769,160.3543851,161.9372856,4243139,1
2233,BA,2017/2/8,165.0,165.24,163.69,163.81,3039106,1.42,1,161.8695108,162.1049574,160.584365,160.7020883,3039106,-1
2234,BA,2017/2/9,164.67,165.086,164.06,164.28,3451132,0.0,1,161.5457718,161.9538792,160.9473451,161.1631711,3451132,1
2235,BA,2017/2/10,165.25,166.45,164.47,166.23,2689719,0.0,1,162.1147676,163.2920004,161.3495663,163.0761744,2689719,1
2236,BA,2017/2/13,166.45,169.07,166.35,168.03,3765027,0.0,1,163.2920004,165.8622921,163.1938977,164.8420236,3765027,1
2237,BA,2017/2/14,167.7,168.8,167.22,168.5,2580278,0.0,1,164.5182846,165.5974147,164.0473915,165.3031065,2580278,1
2238,BA,2017/2/15,168.42,169.95,168.35,169.3,4033198,0.0,1,165.2246243,166.7255961,165.1559524,166.0879284,4033198,1
2239,BA,2017/2/16,169.64,170.81,168.75,170.81,3070147,0.0,1,166.4214777,167.5692796,165.5483633,167.5692796,3070147,1
2240,BA,2017/2/17,170.41,173.25,170.4,172.71,4982357,0.0,1,167.1768687,169.9629863,167.1670584,169.4332316,4982357,1
2241,BA,2017/2/21,173.92,176.17,173.68,175.56,4231619,0.0,1,170.6202747,172.8275862,170.3848281,172.2291595,4231619,1
2242,BA,2017/2/22,174.98,175.75,174.01,175.36,2832136,0.0,1,171.6601636,172.4155547,170.7085671,172.032954,2832136,-1
2243,BA,2017/2/23,175.97,177.0,175.7,176.86,3502645,0.0,1,172.6313807,173.6418389,172.3665033,173.504495,3502645,1
2244,BA,2017/2/24,176.75,178.8,176.1,177.44,4197017,0.0,1,173.396582,175.4076881,172.7589143,174.0734909,4197017,1
2245,BA,2017/2/27,178.0,179.8839,177.55,179.43,2892459,0.0,1,174.6228662,176.4710236,174.1814039,176.0257353,2892459,1
2246,BA,2017/2/28,180.34,181.93,179.67,180.23,4785045,0.0,1,176.9184702,178.4783036,176.2611819,176.8105572,4785045,1
2247,BA,2017/3/1,181.85,184.8,181.82,183.91,5461751,0.0,1,178.3998215,181.2938521,178.3703906,180.4207378,5461751,1
2248,BA,2017/3/2,184.0,185.71,182.97,182.99,4907000,0.0,1,180.5090302,182.186587,179.4985721,179.5181926,4907000,-1
2249,BA,2017/3/3,183.04,183.58,181.45,182.18,3940363,0.0,1,179.567244,180.0969988,178.0074105,178.7235605,3940363,-1
2250,BA,2017/3/6,181.4,182.3,180.43,180.93,4244029,0.0,1,177.9583592,178.8412838,177.0067626,177.4972763,4244029,-1
2251,BA,2017/3/7,180.64,182.84,180.6209,182.02,2451960,0.0,1,177.2127784,179.3710385,177.1940408,178.5665961,2451960,1
2252,BA,2017/3/8,182.4,182.694,181.49,181.74,2321738,0.0,1,178.9393865,179.2278085,178.0466516,178.2919085,2321738,-1
2253,BA,2017/3/9,181.43,182.59,179.58,180.57,3100466,0.0,1,177.98779,179.1257817,176.1728894,177.1441065,3100466,-1
2254,BA,2017/3/10,181.9,181.97,177.92,178.7,4595371,0.0,1,178.4488728,178.5175447,174.544384,175.3095853,4595371,-1
2255,BA,2017/3/13,177.16,179.19,177.07,179.05,3499021,0.0,1,173.7988032,175.7902887,173.7105108,175.6529449,3499021,1
2256,BA,2017/3/14,178.54,179.69,177.71,178.73,2346666,0.0,1,175.152621,176.2808024,174.3383683,175.3390162,2346666,-1
2257,BA,2017/3/15,179.0,179.24,177.97,178.71,3569047,0.0,1,175.6038935,175.8393401,174.5934354,175.3193956,3569047,-1
2258,BA,2017/3/16,179.8199,180.0,177.64,178.19,3100744,0.0,1,176.4082379,176.5849209,174.2696964,174.8092614,3100744,-1
2259,BA,2017/3/17,178.31,180.3835,178.17,180.1,5037385,0.0,1,174.9269847,176.9611449,174.7896409,176.6830236,5037385,1
2260,BA,2017/3/20,180.1,180.15,179.14,179.39,2062211,0.0,1,176.6830236,176.732075,175.7412374,175.9864942,2062211,-1
2261,BA,2017/3/21,179.99,180.25,175.5,175.96,3239579,0.0,1,176.5751106,176.8301777,172.1702979,172.6215704,3239579,-1
2262,BA,2017/3/22,175.96,177.1,175.5,176.98,2505738,0.0,1,172.6215704,173.7399416,172.1702979,173.6222183,2505738,1
2263,BA,2017/3/23,177.34,177.85,176.59,177.26,2006383,0.0,1,173.9753882,174.4757121,173.2396177,173.896906,2006383,1
2264,BA,2017/3/24,176.85,177.53,174.7687,175.82,2386769,0.0,1,173.4946848,174.1617834,171.4528726,172.4842266,2386769,-1
2265,BA,2017/3/27,174.37,176.44,173.75,176.1,2750685,0.0,1,171.061737,173.0924636,170.4535,172.7589143,2750685,1
2266,BA,2017/3/28,176.29,177.683,175.0,177.36,2412559,0.0,1,172.9453095,174.3118805,171.6797842,173.9950087,2412559,1
2267,BA,2017/3/29,177.4,177.99,176.97,177.63,1640601,0.0,1,174.0342498,174.6130559,173.612408,174.2598861,1640601,1
2268,BA,2017/3/30,177.25,178.49,177.22,177.98,1737221,0.0,1,173.8870957,175.1035696,173.8576649,174.6032457,1737221,1
2269,BA,2017/3/31,178.02,178.18,176.81,176.86,2032749,0.0,1,174.6424868,174.7994511,173.4554437,173.504495,2032749,-1
2270,BA,2017/4/3,177.08,177.73,175.5,176.65,2933653,0.0,1,173.7203211,174.3579888,172.1702979,173.2984793,2933653,-1
2271,BA,2017/4/4,176.88,178.79,176.76,178.7,2326394,0.0,1,173.5241156,175.3978778,173.4063923,175.3095853,2326394,1
2272,BA,2017/4/5,179.0,180.18,176.89,177.08,2567212,0.0,1,175.6038935,176.7615058,173.5339259,173.7203211,2567212,-1
2273,BA,2017/4/6,177.56,178.22,177.12,177.37,2343873,0.0,1,174.1912142,174.8386922,173.7595621,174.004819,2343873,1
2274,BA,2017/4/7,178.39,179.09,177.26,178.85,2806779,0.0,1,175.0054669,175.692186,173.896906,175.4567394,2806779,1
2275,BA,2017/4/10,179.0,179.97,177.48,177.56,2309273,0.0,1,175.6038935,176.5554901,174.112732,174.1912142,2309273,-1
2276,BA,2017/4/11,177.5,178.6,176.96,178.57,2265743,0.0,1,174.1323525,175.2114826,173.6025978,175.1820518,2265743,1
2277,BA,2017/4/12,178.25,178.25,175.94,176.05,2922725,0.0,1,174.868123,174.868123,172.6019499,172.7098629,2922725,-1
2278,BA,2017/4/13,175.74,176.88,175.5639,175.62,2024086,0.0,1,172.4057444,173.5241156,172.2329855,172.2880211,2024086,-1
2279,BA,2017/4/17,175.84,179.08,175.65,179.02,2450222,0.0,1,172.5038472,175.6823757,172.317452,175.6235141,2450222,1
2280,BA,2017/4/18,178.59,179.97,177.12,177.85,2960165,0.0,1,175.2016723,176.5554901,173.7595621,174.4757121,2960165,-1
2281,BA,2017/4/19,178.47,179.9,178.16,178.4,2124533,0.0,1,175.0839491,176.4868181,174.7798306,175.0152771,2124533,1
2282,BA,2017/4/20,178.74,179.82,178.346,179.3,2335176,0.0,1,175.3488264,176.408336,174.9623017,175.8982017,2335176,1
2283,BA,2017/4/21,179.42,180.93,179.42,180.38,3146556,0.0,1,176.015925,177.4972763,176.015925,176.9577113,3146556,1
2284,BA,2017/4/24,181.75,182.46,181.61,182.06,3141913,0.0,1,178.3017187,178.9982481,178.1643749,178.6058372,3141913,1
2285,BA,2017/4/25,182.53,183.85,182.53,183.51,3719430,0.0,1,179.06692,180.3618761,179.06692,180.0283268,3719430,1
2286,BA,2017/4/26,182.31,183.0,180.11,181.71,4464081,0.0,1,178.851094,179.5280029,176.6928339,178.2624776,4464081,-1
2287,BA,2017/4/27,182.59,183.76,182.59,183.22,3125166,0.0,1,179.1257817,180.2735837,179.1257817,179.7438289,3125166,1
2288,BA,2017/4/28,183.42,184.93,183.02,184.83,2171688,0.0,1,179.9400344,181.4213857,179.5476234,181.3232829,2171688,1
2289,BA,2017/5/1,184.23,184.485,181.8,182.39,3511947,0.0,1,180.7346665,180.9848285,178.3507701,178.9295762,3511947,-1
2290,BA,2017/5/2,182.54,183.91,182.53,183.44,1965118,0.0,1,179.0767303,180.4207378,179.06692,179.9596549,1965118,1
2291,BA,2017/5/3,183.45,183.75,182.25,183.39,2809931,0.0,1,179.9694652,180.2637734,178.7922324,179.9106036,2809931,-1
2292,BA,2017/5/4,183.33,184.25,182.18,183.07,2238916,0.0,1,179.8517419,180.7542871,178.7235605,179.5966748,2238916,-1
2293,BA,2017/5/5,183.16,185.07,183.16,185.01,2619262,0.0,1,179.6849673,181.5587295,179.6849673,181.4998678,2619262,1
2294,BA,2017/5/8,185.38,186.39,185.0,186.02,1963400,0.0,1,181.862848,182.8536856,181.4900576,182.4907055,1963400,1
2295,BA,2017/5/9,186.11,187.205,186.05,186.91,2844172,0.0,1,182.5789979,183.6532229,182.5201363,183.3638198,2844172,1
2296,BA,2017/5/10,185.14,185.65,178.18,183.18,6869552,1.42,1,183.0353658,183.5395682,176.1544856,181.0976466,6869552,-1
2297,BA,2017/5/11,182.9,184.33,182.17,183.94,2837184,0.0,1,180.8208296,182.2345737,180.0991281,181.8490071,2837184,1
2298,BA,2017/5/12,183.71,183.98,182.63,183.25,3456396,0.0,1,181.6216217,181.8885524,180.5538989,181.1668509,3456396,-1
