None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
2480,BAC,2016/12/27,22.71,22.735,22.54,22.61,39968380,0.0,1,22.454987,22.47970627,22.28689595,22.35610991,39968380,0
2481,BAC,2016/12/28,22.62,22.67,22.26,22.33,52619447,0.0,1,22.36599762,22.41543616,22.0100401,22.07925406,52619447,-1
2482,BAC,2016/12/29,22.33,22.39,21.77,22.0,79188397,0.0,1,22.07925406,22.13858031,21.52554236,21.75295966,79188397,-1
2483,BAC,2016/12/30,22.02,22.26,21.95,22.1,72592692,0.0,1,21.77273508,22.0100401,21.70352112,21.85183675,72592692,1
2484,BAC,2017/1/3,22.6,22.68,22.2,22.53,99298080,0.0,1,22.3462222,22.42532387,21.95071384,22.27700824,99298080,1
2485,BAC,2017/1/4,22.72,22.96,22.6,22.95,76846195,0.0,1,22.46487471,22.70217972,22.3462222,22.69229201,76846195,1
2486,BAC,2017/1/5,22.82,22.93,22.345,22.68,86800397,0.0,1,22.5637518,22.6725166,22.09408562,22.42532387,86800397,-1
2487,BAC,2017/1/6,22.78,22.85,22.56,22.68,66281476,0.0,1,22.52420096,22.59341492,22.30667136,22.42532387,66281476,-1
2488,BAC,2017/1/9,22.51,22.71,22.4,22.55,75886389,0.0,1,22.25723282,22.454987,22.14846802,22.29678366,75886389,-1
2489,BAC,2017/1/10,22.59,23.14,22.54,22.94,100977665,0.0,1,22.33633449,22.88015848,22.28689595,22.6824043,100977665,1
2490,BAC,2017/1/11,22.94,23.07,22.72,23.07,92385551,0.0,1,22.6824043,22.81094452,22.46487471,22.81094452,92385551,1
2491,BAC,2017/1/12,23.01,23.12,22.61,22.92,120274108,0.0,1,22.75161827,22.86038306,22.35610991,22.66262889,120274108,-1
2492,BAC,2017/1/13,23.21,23.409,22.8,23.01,161874990,0.0,1,22.94937245,23.14613785,22.54397638,22.75161827,161874990,1
2493,BAC,2017/1/17,22.68,22.79,22.01,22.05,152495923,0.0,1,22.42532387,22.53408867,21.76284737,21.80239821,152495923,-1
2494,BAC,2017/1/18,22.3,22.65,22.1,22.63,124323059,0.0,1,22.04959093,22.39566074,21.85183675,22.37588533,124323059,1
