None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
2756,BLK,2016/12/27,388.01,388.58,385.62,387.49,285646,0.0,1,380.9583085,381.5179493,378.6117443,380.4477589,285646,0
2757,BLK,2016/12/28,388.38,388.74,380.71,381.03,506110,0.0,1,381.3215841,381.6750414,373.7909786,374.1051629,506110,-1
2758,BLK,2016/12/29,381.34,384.19,378.92,379.0,485336,0.0,1,374.409529,377.2077331,372.0335101,372.1120561,485336,-1
2759,BLK,2016/12/30,381.56,382.35,378.64,380.54,515629,0.0,1,374.6255307,375.4011733,371.7585988,373.6240682,515629,1
2760,BLK,2017/1/3,384.62,387.95,382.28,386.43,743947,0.0,1,377.6299183,380.8993989,375.3324454,379.4070234,743947,1
2761,BLK,2017/1/4,384.65,386.97,383.155,386.66,680837,0.0,1,377.6593731,379.9372094,376.1915432,379.6328433,680837,1
2762,BLK,2017/1/5,384.98,386.7,380.08,382.54,468371,0.0,1,377.9833757,379.6721164,373.1724282,375.5877202,468371,-1
2763,BLK,2017/1/6,383.57,385.47,381.43,384.3,453419,0.0,1,376.599001,378.4644704,374.4978933,377.315734,453419,1
2764,BLK,2017/1/9,384.35,385.43,380.01,380.42,505259,0.0,1,377.3648253,378.4251974,373.1037004,373.5062491,505259,-1
2765,BLK,2017/1/10,381.78,382.28,378.55,380.31,452775,0.0,1,374.8415324,375.3324454,371.6702344,373.3982482,452775,-1
2766,BLK,2017/1/11,379.67,382.47,377.1,380.95,948840,0.0,1,372.7698796,375.5189924,370.2465867,374.0266169,948840,1
2767,BLK,2017/1/12,379.62,379.87,372.21,378.29,776816,0.0,1,372.7207883,372.9662448,365.4454576,371.4149597,776816,-1
2768,BLK,2017/1/13,378.69,386.947,375.95,379.35,620408,0.0,1,371.8076901,379.9146274,369.1174868,372.4556952,620408,1
2769,BLK,2017/1/17,377.1,377.1,373.34,374.8,647529,0.0,1,370.2465867,370.2465867,366.5549209,367.9883869,647529,-1
2770,BLK,2017/1/18,376.16,378.04,373.39,378.0,508507,0.0,1,369.3236703,371.1695032,366.6040122,371.1302301,508507,1
2771,BLK,2017/1/19,377.67,379.7,376.1,377.35,456077,0.0,1,370.8062276,372.7993343,369.2647607,370.4920432,456077,-1
2772,BLK,2017/1/20,379.28,381.63,378.83,381.4,660866,0.0,1,372.3869674,374.6942585,371.9451457,374.4684386,660866,1
2773,BLK,2017/1/23,381.34,381.34,376.03,378.06,503297,0.0,1,374.409529,374.409529,369.1960329,371.1891397,503297,-1
2774,BLK,2017/1/24,380.1,383.39,378.54,381.38,615129,0.0,1,373.1920647,376.4222723,371.6604162,374.448802,615129,1
2775,BLK,2017/1/25,384.98,388.82,383.89,388.33,596960,0.0,1,377.9833757,381.7535875,376.9131853,381.2724928,596960,1
2776,BLK,2017/1/26,382.55,388.28,378.41,379.42,837096,0.0,1,375.5975385,381.2234015,371.5327788,372.5244231,837096,-1
2777,BLK,2017/1/27,380.45,381.37,372.9,375.06,686848,0.0,1,373.5357038,374.4389838,366.1229175,368.2436617,686848,-1
2778,BLK,2017/1/30,374.81,375.53,370.7,375.18,591815,0.0,1,367.9982052,368.7051199,363.9629003,368.3614808,591815,1
2779,BLK,2017/1/31,374.69,375.27,372.2,373.98,714491,0.0,1,367.8803861,368.4498451,365.4356393,367.1832896,714491,-1
2780,BLK,2017/2/1,375.21,378.11,370.87,373.0,619442,0.0,1,368.3909356,371.238231,364.1298107,366.2211001,619442,-1
2781,BLK,2017/2/2,366.45,372.45,365.8323,371.64,832437,0.0,1,359.7901398,365.6810958,359.1836658,364.8858167,832437,-1
2782,BLK,2017/2/3,372.0,378.64,371.57,378.0,953646,0.0,1,365.2392741,371.7585988,364.8170889,371.1302301,953646,1
2783,BLK,2017/2/6,374.55,378.83,374.55,377.42,546494,0.0,1,367.7429304,371.9451457,367.7429304,370.5607711,546494,-1
2784,BLK,2017/2/7,377.63,379.0,376.52,376.89,547663,0.0,1,370.7669545,372.1120561,369.6771276,370.0404033,547663,-1
2785,BLK,2017/2/8,375.08,376.255,373.8,374.56,433765,0.0,1,368.2632982,369.4169438,367.0065609,367.7527487,433765,-1
2786,BLK,2017/2/9,376.48,379.91,375.685,378.57,493692,0.0,1,369.6378546,373.0055178,368.8573029,371.689871,493692,1
2787,BLK,2017/2/10,380.19,383.94,379.85,382.89,578687,0.0,1,373.2804291,376.9622766,372.9466082,375.9313593,578687,1
2788,BLK,2017/2/13,384.74,387.28,383.3448,385.83,453260,0.0,1,377.7477374,380.2415755,376.3778938,378.8179278,453260,1
