None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
3032,BMY,2016/12/27,59.61,59.75,59.29,59.33,4251889,0.0,1,58.02874546,58.16503173,57.71723399,57.75617292,4251889,0
3033,BMY,2016/12/28,59.29,59.44,58.535,58.61,4249121,0.0,1,57.71723399,57.86325499,56.98226162,57.05527212,4249121,-1
3034,BMY,2016/12/29,58.81,59.19,58.63,58.9,3642660,0.0,1,57.24996679,57.61988666,57.07474159,57.33757939,3642660,1
3035,BMY,2016/12/30,58.86,58.96,58.21,58.44,7008756,0.0,1,57.29864046,57.39598779,56.66588279,56.88978166,7008756,-1
3036,BMY,2017/1/3,58.78,59.68,58.58,59.45,10061749,0.0,1,57.22076259,58.09688859,57.02606792,57.87298973,10061749,1
3037,BMY,2017/1/4,59.46,59.75,59.03,59.14,6703370,0.39,1,58.26443333,58.54860228,57.84307937,57.95086759,6703370,-1
3038,BMY,2017/1/5,59.39,60.42,59.31,60.13,8420714,0.0,1,58.19584082,59.20513054,58.11744939,58.92096159,8420714,1
3039,BMY,2017/1/6,60.04,60.33,58.85,59.95,10104635,0.0,1,58.83277122,59.11694017,57.66669864,58.74458086,10104635,-1
3040,BMY,2017/1/9,59.75,59.92,59.65,59.73,5263011,0.0,1,58.54860228,58.71518407,58.45061298,58.52900442,5263011,-1
3041,BMY,2017/1/10,59.78,60.45,59.72,59.98,6103701,0.0,1,58.57799906,59.23452732,58.51920549,58.77397765,6103701,1
3042,BMY,2017/1/11,58.12,58.87,56.53,56.8,20497892,0.0,1,56.95137681,57.6862965,55.39334706,55.65791815,20497892,-1
3043,BMY,2017/1/12,56.5,56.78,56.015,56.55,9977917,0.0,1,55.36395027,55.63832029,54.8887022,55.41294492,9977917,-1
3044,BMY,2017/1/13,56.56,56.73,56.05,56.22,7660198,0.0,1,55.42274385,55.58932564,54.92299845,55.08958025,7660198,-1
3045,BMY,2017/1/17,55.89,56.58,55.21,56.28,10416327,0.0,1,54.76621559,55.4423417,54.0998884,55.14837383,10416327,1
3046,BMY,2017/1/18,56.51,56.55,55.89,56.07,6639500,0.0,1,55.3737492,55.41294492,54.76621559,54.94259631,6639500,-1
3047,BMY,2017/1/19,56.1,56.31,55.3359,55.49,7122292,0.0,1,54.9719931,55.17777061,54.22325692,54.37425842,7122292,-1
3048,BMY,2017/1/20,50.01,50.69,48.92,49.23,77004875,0.0,1,49.00444519,49.67077237,47.9363619,48.2401287,77004875,-1
