None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
3308,C,2016/12/27,61.03,61.3,60.85,61.09,9543939,0.0,1,60.1488922,60.41499413,59.97149091,60.20802596,9543939,0
3309,C,2016/12/28,61.0,61.2,59.98,60.04,17126829,0.0,1,60.11932532,60.31643786,59.11405136,59.17318512,17126829,-1
3310,C,2016/12/29,60.02,60.1225,58.68,59.38,17121238,0.0,1,59.15347386,59.25449404,57.83281983,58.52271373,17121238,-1
3311,C,2016/12/30,59.5,59.8,59.19,59.43,16588297,0.0,1,58.64098125,58.93665007,58.33545681,58.57199187,16588297,1
3312,C,2017/1/3,60.68,61.09,59.75,60.59,18322398,0.0,1,59.80394525,60.20802596,58.88737193,59.71524461,18322398,1
3313,C,2017/1/4,60.69,61.63,60.61,61.41,16946040,0.0,1,59.81380088,60.74022983,59.73495586,60.52340603,16946040,1
3314,C,2017/1/5,60.97,61.43,59.91,60.34,18316269,0.0,1,60.08975844,60.54311729,59.04506197,59.46885393,18316269,-1
3315,C,2017/1/6,60.68,60.84,60.08,60.55,16778439,0.0,1,59.80394525,59.96163529,59.21260763,59.6758221,16778439,1
3316,C,2017/1/9,60.15,60.64,59.67,60.22,14592698,0.0,1,59.28159702,59.76452274,58.80852692,59.35058641,14592698,-1
3317,C,2017/1/10,60.2,60.85,59.95,60.23,13483329,0.0,1,59.33087515,59.97149091,59.08448447,59.36044203,13483329,1
3318,C,2017/1/11,59.66,60.0,59.245,59.96,20737634,0.0,1,58.79867129,59.13376261,58.38966276,59.0943401,20737634,-1
3319,C,2017/1/12,59.53,59.8198,58.76,59.23,22769273,0.0,1,58.67054814,58.95616421,57.91166485,58.37487932,22769273,-1
3320,C,2017/1/13,59.45,60.32,59.38,59.63,21043055,0.0,1,58.59170312,59.44914268,58.52271373,58.76910441,21043055,1
3321,C,2017/1/17,59.01,59.32,58.03,58.38,25013769,0.0,1,58.15805553,58.46357997,57.19220407,57.53715102,25013769,-1
3322,C,2017/1/18,57.99,58.28,57.1,57.39,29269156,0.0,1,57.15278156,57.43859475,56.27563075,56.56144394,29269156,-1
3323,C,2017/1/19,57.53,57.6,56.39,56.66,24932449,0.0,1,56.69942272,56.76841211,55.57588123,55.84198316,24932449,-1
3324,C,2017/1/20,56.94,57.12,56.03,56.11,27719256,0.0,1,56.11794072,56.295342,55.22107865,55.29992367,27719256,-1
3325,C,2017/1/23,56.12,56.29,55.42,55.68,23128390,0.0,1,55.30977929,55.47732496,54.6198854,54.8761317,23128390,-1
3326,C,2017/1/24,55.96,57.15,55.675,56.74,18416436,0.0,1,55.15208926,56.32490889,54.87120389,55.92082817,18416436,1
3327,C,2017/1/25,57.9,57.92,57.1,57.69,21492914,0.0,1,57.06408092,57.08379217,56.27563075,56.85711275,21492914,1
3328,C,2017/1/26,57.6,57.975,57.05,57.36,20790728,0.0,1,56.76841211,57.13799812,56.22635262,56.53187706,20790728,-1
3329,C,2017/1/27,57.39,57.41,56.72,57.11,17067943,0.0,1,56.56144394,56.58115519,55.90111692,56.28548638,17067943,-1
3330,C,2017/1/30,56.51,56.68,55.76,56.61,17535812,0.0,1,55.69414875,55.86169441,54.95497672,55.79270502,17535812,-1
3331,C,2017/1/31,56.33,56.96,55.575,55.83,29219659,0.0,1,55.51674746,56.13765197,54.77264762,55.02396611,29219659,-1
