None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
3584,CAT,2016/12/27,94.34,94.8,94.1,94.55,1735383,0.0,1,91.59791353,92.04454317,91.36488937,91.80180967,1735383,0
3585,CAT,2016/12/28,94.6,94.9,92.82,93.15,2700257,0.0,1,91.85035637,92.14163657,90.12209385,90.44250207,2700257,-1
3586,CAT,2016/12/29,93.28,93.85,93.0,93.29,2387183,0.0,1,90.56872349,91.12215587,90.29686197,90.57843283,2387183,1
3587,CAT,2016/12/30,93.04,93.25,92.33,92.74,3471158,0.0,1,90.33569933,90.53959547,89.64633619,90.04441913,3471158,-1
3588,CAT,2017/1/3,94.0,95.19,93.25,93.99,5054885,0.0,1,91.26779597,92.42320743,90.53959547,91.25808663,5054885,1
3589,CAT,2017/1/4,94.46,94.5,93.43,93.57,3771475,0.0,1,91.71442561,91.75326297,90.71436359,90.85029435,3771475,-1
3590,CAT,2017/1/5,93.18,94.46,92.42,93.0,4698750,0.0,1,90.47163009,91.71442561,89.73372025,90.29686197,4698750,-1
3591,CAT,2017/1/6,93.45,93.6,92.41,93.04,4023073,0.0,1,90.73378227,90.87942237,89.72401091,90.33569933,4023073,1
3592,CAT,2017/1/9,92.93,93.49,92.2,92.37,3095018,0.0,1,90.22889659,90.77261963,89.52011477,89.68517355,3095018,-1
3593,CAT,2017/1/10,92.98,94.44,92.77,93.83,3980193,0.0,1,90.27744329,91.69500693,90.07354715,91.10273719,3980193,1
3594,CAT,2017/1/11,94.47,94.75,93.39,94.65,3720504,0.0,1,91.72413495,91.99599647,90.67552623,91.89890307,3720504,1
3595,CAT,2017/1/12,94.37,94.37,92.78,93.99,3102819,0.0,1,91.62704155,91.62704155,90.08325649,91.25808663,3102819,-1
3596,CAT,2017/1/13,94.07,94.625,93.68,94.48,2609230,0.0,1,91.33576135,91.87462972,90.95709709,91.73384429,2609230,1
3597,CAT,2017/1/17,94.24,94.2899,93.22,93.57,5040301,0.0,1,91.50082013,91.54926973,90.51046745,90.85029435,5040301,-1
3598,CAT,2017/1/18,92.79,93.42,92.53,93.33,3424605,0.77,1,90.83625934,91.45299437,90.58173377,91.36488937,3424605,-1
3599,CAT,2017/1/19,93.58,93.98,92.96,93.38,3540068,0.0,1,91.60962549,92.00120329,91.00267991,91.41383659,3540068,1
3600,CAT,2017/1/20,94.01,95.0,93.62,94.58,5042578,0.0,1,92.03057162,92.99972667,91.64878327,92.58856998,5042578,1
3601,CAT,2017/1/23,94.6,94.74,93.56,94.46,3253899,0.0,1,92.60814887,92.7452011,91.5900466,92.47109664,3253899,-1
3602,CAT,2017/1/24,95.02,96.73,94.8,96.24,5768201,0.0,1,93.01930556,94.69330064,92.80393777,94.21361784,5768201,1
3603,CAT,2017/1/25,97.82,98.59,97.32,98.15,7557915,0.0,1,95.76035013,96.51413739,95.27087789,96.08340181,7557915,1
3604,CAT,2017/1/26,98.45,98.98,96.0187,97.22,9094666,0.0,1,96.37708516,96.89592574,93.99697742,95.17298344,9094666,-1
3605,CAT,2017/1/27,97.69,99.46,97.5,98.99,6370328,0.0,1,95.63308735,97.3658191,95.4470879,96.90571519,6370328,1
3606,CAT,2017/1/30,98.4,98.59,96.57,96.79,5221687,0.0,1,96.32813794,96.51413739,94.53666952,94.75203731,5221687,-1
3607,CAT,2017/1/31,96.59,96.63,94.59,95.66,5724317,0.0,1,94.55624841,94.59540619,92.59835943,93.64583003,5724317,-1
3608,CAT,2017/2/1,95.81,96.52,94.4,95.11,3579958,0.0,1,93.79267171,94.48772229,92.41235997,93.10741056,3579958,-1
3609,CAT,2017/2/2,94.77,95.13,93.5,93.77,3807479,0.0,1,92.77456943,93.12698945,91.53130993,91.79562494,3807479,-1
3610,CAT,2017/2/3,94.32,94.449,92.81,93.28,4676972,0.0,1,92.33404441,92.46032825,90.85583823,91.31594214,4676972,-1
3611,CAT,2017/2/6,92.81,93.12,92.43,92.87,4621101,0.0,1,90.85583823,91.15931102,90.48383932,90.9145749,4621101,-1
3612,CAT,2017/2/7,94.32,94.9229,93.02,93.31,4992907,0.0,1,92.33404441,92.92425005,91.06141657,91.34531048,4992907,1
3613,CAT,2017/2/8,93.0,93.0,92.11,92.91,4083514,0.0,1,91.04183768,91.04183768,90.17057709,90.95373268,4083514,-1
3614,CAT,2017/2/9,93.06,94.18,92.69,93.96,3994308,0.0,1,91.10057435,92.19699218,90.73836489,91.9816244,3994308,1
3615,CAT,2017/2/10,94.87,96.62,94.5,96.31,5600224,0.0,1,92.87246388,94.58561674,92.51025442,94.28214395,5600224,1
3616,CAT,2017/2/13,97.69,99.045,97.16,98.5,6995085,0.0,1,95.63308735,96.95955713,95.11424677,96.42603239,6995085,1
