None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
3860,CELG,2016/12/27,119.11,119.95,117.83,117.92,2176239,0.0,1,119.11,119.95,117.83,117.92,2176239,0
3861,CELG,2016/12/28,117.86,118.4699,116.94,117.29,1889158,0.0,1,117.86,118.4699,116.94,117.29,1889158,-1
3862,CELG,2016/12/29,117.17,117.66,116.1736,116.93,1665253,0.0,1,117.17,117.66,116.1736,116.93,1665253,-1
3863,CELG,2016/12/30,117.2,117.55,115.12,115.75,2988222,0.0,1,117.2,117.55,115.12,115.75,2988222,-1
3864,CELG,2017/1/3,116.5,118.76,116.31,118.75,4051809,0.0,1,116.5,118.76,116.31,118.75,4051809,1
3865,CELG,2017/1/4,119.24,119.28,117.45,118.55,4014479,0.0,1,119.24,119.28,117.45,118.55,4014479,-1
3866,CELG,2017/1/5,118.49,119.07,117.56,118.76,3913088,0.0,1,118.49,119.07,117.56,118.76,3913088,1
3867,CELG,2017/1/6,119.56,121.0,118.77,119.64,5301916,0.0,1,119.56,121.0,118.77,119.64,5301916,1
3868,CELG,2017/1/9,120.05,122.39,117.6,120.21,7734824,0.0,1,120.05,122.39,117.6,120.21,7734824,1
3869,CELG,2017/1/10,120.41,121.59,119.58,119.98,4688116,0.0,1,120.41,121.59,119.58,119.98,4688116,-1
3870,CELG,2017/1/11,120.0,120.81,115.26,117.24,7612374,0.0,1,120.0,120.81,115.26,117.24,7612374,-1
3871,CELG,2017/1/12,117.11,117.65,115.3105,117.08,3977966,0.0,1,117.11,117.65,115.3105,117.08,3977966,-1
3872,CELG,2017/1/13,117.15,118.7,116.82,117.48,3548478,0.0,1,117.15,118.7,116.82,117.48,3548478,1
3873,CELG,2017/1/17,116.36,116.4167,113.15,114.95,5371436,0.0,1,116.36,116.4167,113.15,114.95,5371436,-1
3874,CELG,2017/1/18,115.1,115.26,114.29,115.22,4041063,0.0,1,115.1,115.26,114.29,115.22,4041063,1
3875,CELG,2017/1/19,115.07,115.29,113.15,113.62,4701297,0.0,1,115.07,115.29,113.15,113.62,4701297,-1
3876,CELG,2017/1/20,114.28,114.75,112.42,112.66,5288587,0.0,1,114.28,114.75,112.42,112.66,5288587,-1
3877,CELG,2017/1/23,112.73,113.359,111.63,112.31,3577137,0.0,1,112.73,113.359,111.63,112.31,3577137,-1
3878,CELG,2017/1/24,112.75,113.0,111.26,112.45,3251341,0.0,1,112.75,113.0,111.26,112.45,3251341,1
3879,CELG,2017/1/25,113.36,114.27,112.86,113.98,5333010,0.0,1,113.36,114.27,112.86,113.98,5333010,1
3880,CELG,2017/1/26,114.58,115.0,111.06,111.53,7107318,0.0,1,114.58,115.0,111.06,111.53,7107318,-1
