None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
4135,CHK,2016/12/27,7.48,7.65,7.43,7.59,44656487,0.0,1,7.48,7.65,7.43,7.59,44656487,0
4136,CHK,2016/12/28,7.61,7.62,7.16,7.23,69462547,0.0,1,7.61,7.62,7.16,7.23,69462547,-1
4137,CHK,2016/12/29,7.22,7.29,7.07,7.16,35444824,0.0,1,7.22,7.29,7.07,7.16,35444824,-1
4138,CHK,2016/12/30,7.15,7.21,7.0,7.02,46042659,0.0,1,7.15,7.21,7.0,7.02,46042659,-1
4139,CHK,2017/1/3,7.2,7.32,6.78,6.92,55800763,0.0,1,7.2,7.32,6.78,6.92,55800763,-1
4140,CHK,2017/1/4,7.0,7.07,6.85,7.0,48210027,0.0,1,7.0,7.07,6.85,7.0,48210027,1
4141,CHK,2017/1/5,7.06,7.19,6.89,7.18,54257055,0.0,1,7.06,7.19,6.89,7.18,54257055,1
4142,CHK,2017/1/6,7.25,7.28,6.99,7.01,39765906,0.0,1,7.25,7.28,6.99,7.01,39765906,-1
4143,CHK,2017/1/9,6.91,6.94,6.78,6.87,40624144,0.0,1,6.91,6.94,6.78,6.87,40624144,-1
4144,CHK,2017/1/10,6.96,7.01,6.87,6.92,28675833,0.0,1,6.96,7.01,6.87,6.92,28675833,1
4145,CHK,2017/1/11,6.94,7.01,6.85,6.92,31826672,0.0,1,6.94,7.01,6.85,6.92,31826672,-1
4146,CHK,2017/1/12,6.99,7.075,6.87,6.93,30565771,0.0,1,6.99,7.075,6.87,6.93,30565771,1
4147,CHK,2017/1/13,6.91,6.94,6.86,6.92,21277209,0.0,1,6.91,6.94,6.86,6.92,21277209,-1
4148,CHK,2017/1/17,6.94,7.1,6.88,7.01,39564101,0.0,1,6.94,7.1,6.88,7.01,39564101,1
4149,CHK,2017/1/18,6.95,7.04,6.92,6.98,29492426,0.0,1,6.95,7.04,6.92,6.98,29492426,-1
4150,CHK,2017/1/19,6.92,6.97,6.55,6.62,62163919,0.0,1,6.92,6.97,6.55,6.62,62163919,-1
4151,CHK,2017/1/20,6.69,6.87,6.63,6.69,32966505,0.0,1,6.69,6.87,6.63,6.69,32966505,1
4152,CHK,2017/1/23,6.66,6.81,6.52,6.68,28932667,0.0,1,6.66,6.81,6.52,6.68,28932667,-1
4153,CHK,2017/1/24,6.72,7.0,6.67,6.91,36073268,0.0,1,6.72,7.0,6.67,6.91,36073268,1
4154,CHK,2017/1/25,7.05,7.26,7.01,7.13,48529826,0.0,1,7.05,7.26,7.01,7.13,48529826,1
4155,CHK,2017/1/26,7.2,7.29,7.07,7.12,31712475,0.0,1,7.2,7.29,7.07,7.12,31712475,-1
4156,CHK,2017/1/27,7.02,7.095,6.86,6.92,30469929,0.0,1,7.02,7.095,6.86,6.92,30469929,-1
4157,CHK,2017/1/30,6.83,6.86,6.41,6.46,56773995,0.0,1,6.83,6.86,6.41,6.46,56773995,-1
4158,CHK,2017/1/31,6.43,6.485,6.33,6.45,29206523,0.0,1,6.43,6.485,6.33,6.45,29206523,-1
4159,CHK,2017/2/1,6.51,6.59,6.31,6.4,33972460,0.0,1,6.51,6.59,6.31,6.4,33972460,-1
4160,CHK,2017/2/2,6.37,6.52,6.26,6.45,34243824,0.0,1,6.37,6.52,6.26,6.45,34243824,1
4161,CHK,2017/2/3,6.4,6.59,6.38,6.57,27980365,0.0,1,6.4,6.59,6.38,6.57,27980365,1
4162,CHK,2017/2/6,6.6,6.65,6.37,6.38,27822852,0.0,1,6.6,6.65,6.37,6.38,27822852,-1
4163,CHK,2017/2/7,6.3803,6.41,6.08,6.17,40279332,0.0,1,6.3803,6.41,6.08,6.17,40279332,-1
4164,CHK,2017/2/8,6.08,6.22,5.92,6.12,38248995,0.0,1,6.08,6.22,5.92,6.12,38248995,-1
4165,CHK,2017/2/9,6.15,6.39,6.15,6.31,31648527,0.0,1,6.15,6.39,6.15,6.31,31648527,1
4166,CHK,2017/2/10,6.41,6.5,6.33,6.38,29295535,0.0,1,6.41,6.5,6.33,6.38,29295535,1
4167,CHK,2017/2/13,6.35,6.43,6.28,6.33,24553842,0.0,1,6.35,6.43,6.28,6.33,24553842,-1
4168,CHK,2017/2/14,6.41,6.45,6.34,6.44,22094657,0.0,1,6.41,6.45,6.34,6.44,22094657,1
4169,CHK,2017/2/15,6.43,6.45,6.3,6.32,24481847,0.0,1,6.43,6.45,6.3,6.32,24481847,-1
4170,CHK,2017/2/16,6.34,6.4,6.065,6.08,37658822,0.0,1,6.34,6.4,6.065,6.08,37658822,-1
4171,CHK,2017/2/17,6.04,6.16,6.02,6.1,20982639,0.0,1,6.04,6.16,6.02,6.1,20982639,1
4172,CHK,2017/2/21,6.14,6.18,6.0,6.08,36586713,0.0,1,6.14,6.18,6.0,6.08,36586713,-1
4173,CHK,2017/2/22,6.03,6.09,5.9,5.92,45479679,0.0,1,6.03,6.09,5.9,5.92,45479679,-1
4174,CHK,2017/2/23,6.07,6.08,5.38,5.75,98640096,0.0,1,6.07,6.08,5.38,5.75,98640096,-1
4175,CHK,2017/2/24,5.69,5.89,5.6,5.66,58751214,0.0,1,5.69,5.89,5.6,5.66,58751214,-1
4176,CHK,2017/2/27,5.68,5.76,5.51,5.62,46644599,0.0,1,5.68,5.76,5.51,5.62,46644599,-1
4177,CHK,2017/2/28,5.57,5.63,5.43,5.45,38134836,0.0,1,5.57,5.63,5.43,5.45,38134836,-1
4178,CHK,2017/3/1,5.5,5.65,5.49,5.57,35531563,0.0,1,5.5,5.65,5.49,5.57,35531563,1
4179,CHK,2017/3/2,5.49,5.53,5.26,5.36,47713381,0.0,1,5.49,5.53,5.26,5.36,47713381,-1
4180,CHK,2017/3/3,5.39,5.51,5.3,5.32,32818254,0.0,1,5.39,5.51,5.3,5.32,32818254,-1
4181,CHK,2017/3/6,5.3,5.42,5.27,5.35,34035188,0.0,1,5.3,5.42,5.27,5.35,34035188,1
4182,CHK,2017/3/7,5.38,5.4,5.26,5.26,28936564,0.0,1,5.38,5.4,5.26,5.26,28936564,-1
4183,CHK,2017/3/8,5.26,5.3,4.92,4.94,65553219,0.0,1,5.26,5.3,4.92,4.94,65553219,-1
4184,CHK,2017/3/9,4.91,5.15,4.88,5.13,51048378,0.0,1,4.91,5.15,4.88,5.13,51048378,1
