None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
4411,CMCSA,2016/12/27,70.8,71.32,70.5,70.87,3069642,0.0,1,34.82849752,35.08430005,34.68091914,34.86293248,6139284,0
4412,CMCSA,2016/12/28,70.86,70.9989,70.35,70.45,4624237,0.0,1,34.8580132,34.92634199,34.60712995,34.65632275,9248474,-1
4413,CMCSA,2016/12/29,70.4,70.66,69.965,70.09,5993479,0.0,1,34.63172635,34.75962761,34.4177377,34.47922869,11986958,-1
4414,CMCSA,2016/12/30,69.95,70.05,68.93,69.05,12188364,0.275,1,34.54740221,34.59679092,34.04363737,34.10290382,24376728,-1
4415,CMCSA,2017/1/3,69.67,69.89,68.23,69.05,11835167,0.0,1,34.40911382,34.51776898,33.69791641,34.10290382,23670334,-1
4416,CMCSA,2017/1/4,69.51,70.255,69.18,69.87,11005409,0.0,1,34.33009189,34.69803777,34.16710915,34.50789124,22010818,1
4417,CMCSA,2017/1/5,69.59,70.26,69.4,70.15,8492994,0.0,1,34.36960285,34.70050721,34.27576431,34.64617963,16985988,1
4418,CMCSA,2017/1/6,70.21,70.54,69.82,70.27,6764046,0.0,1,34.67581285,34.83879559,34.48319689,34.70544608,13528092,1
4419,CMCSA,2017/1/9,70.14,70.959,70.05,70.83,9067991,0.0,1,34.64124076,35.04573429,34.59679092,34.98202285,18135982,1
4420,CMCSA,2017/1/10,70.62,71.76,70.45,70.92,12273612,0.0,1,34.87830656,35.44133785,34.79434576,35.02647269,24547224,1
4421,CMCSA,2017/1/11,71.71,71.74,70.7,71.71,11662452,0.0,1,35.41664349,35.43146011,34.91781753,35.41664349,23324904,1
4422,CMCSA,2017/1/12,71.6,71.6676,70.83,71.42,7299809,0.0,1,35.36231591,35.39570268,34.98202285,35.27341624,14599618,-1
4423,CMCSA,2017/1/13,72.0,72.94,71.76,72.77,11646778,0.0,1,35.55987075,36.02412462,35.44133785,35.94016381,23293556,1
4424,CMCSA,2017/1/17,72.21,72.74,71.82,72.56,10571744,0.0,1,35.66358704,35.9253472,35.47097107,35.83644752,21143488,-1
4425,CMCSA,2017/1/18,72.67,72.77,72.19,72.29,9006902,0.0,1,35.8907751,35.94016381,35.6537093,35.70309801,18013804,-1
4426,CMCSA,2017/1/19,72.18,72.95,72.127,72.61,7235456,0.0,1,35.64877043,36.02906349,35.62259441,35.86114188,14470912,1
4427,CMCSA,2017/1/20,73.07,73.61,72.74,73.57,12507276,0.0,1,36.08832994,36.35502897,35.9253472,36.33527349,25014552,1
4428,CMCSA,2017/1/23,73.55,73.74,72.885,73.26,8468558,0.0,1,36.32539575,36.41923429,35.99696083,36.18216849,16937116,-1
4429,CMCSA,2017/1/24,73.2,73.79,73.0,73.6,8776545,0.0,1,36.15253526,36.44392865,36.05375784,36.3500901,17553090,1
4430,CMCSA,2017/1/25,73.61,73.88,73.105,73.44,13324223,0.0,1,36.35502897,36.48837849,36.10561599,36.27106817,26648446,-1
4431,CMCSA,2017/1/26,73.12,76.87,73.0,75.5,26080730,0.0,1,36.1130243,37.9651009,36.05375784,37.28847558,52161460,1
4432,CMCSA,2017/1/27,75.49,75.99,74.61,75.95,11663390,0.0,1,37.28353671,37.53048025,36.84891607,37.51072477,23326780,1
4433,CMCSA,2017/1/30,75.85,75.91,74.5,75.34,13170890,0.0,1,37.46133606,37.49096929,36.79458848,37.20945364,26341780,-1
4434,CMCSA,2017/1/31,75.05,75.49,74.47,75.42,13463105,0.0,1,37.06622639,37.28353671,36.77977187,37.24896461,26926210,1
4435,CMCSA,2017/2/1,75.29,76.19,75.25,75.61,9002111,0.0,1,37.18475929,37.62925767,37.16500381,37.34280316,18004222,1
4436,CMCSA,2017/2/2,75.44,75.641,75.01,75.09,7693932,0.0,1,37.25884235,37.35811366,37.0464709,37.08598187,15387864,-1
4437,CMCSA,2017/2/3,75.3,75.45,74.94,75.26,6926039,0.0,1,37.18969816,37.26378122,37.01189881,37.16994268,13852078,1
4438,CMCSA,2017/2/6,75.19,75.19,74.45,74.54,8111516,0.0,1,37.13537058,37.13537058,36.76989413,36.81434397,16223032,-1
4439,CMCSA,2017/2/7,74.66,75.2,74.52,74.86,7906280,0.0,1,36.87361042,37.14030945,36.80446623,36.97238784,15812560,1
4440,CMCSA,2017/2/8,74.86,74.92,74.58,74.69,7106091,0.0,1,36.97238784,37.00202106,36.83409945,36.88842703,14212182,-1
4441,CMCSA,2017/2/9,75.01,75.24,74.56,75.03,7164664,0.0,1,37.0464709,37.16006493,36.82422171,37.05634864,14329328,1
4442,CMCSA,2017/2/10,74.99,75.28,74.8,75.15,6342052,0.0,1,37.03659316,37.17982042,36.94275461,37.1156151,12684104,1
4443,CMCSA,2017/2/13,75.2,75.72,75.1,75.71,10210909,0.0,1,37.14030945,37.39713074,37.09092074,37.39219187,20421818,1
4444,CMCSA,2017/2/14,75.6,76.23,75.45,76.09,7738747,0.0,1,37.33786429,37.64901316,37.26378122,37.57986896,15477494,1
4445,CMCSA,2017/2/15,75.75,76.66,75.69,76.595,6924591,0.0,1,37.41194735,37.86138461,37.38231413,37.82928195,13849182,1
4446,CMCSA,2017/2/16,76.45,76.45,75.68,75.99,8299738,0.0,1,37.75766832,37.75766832,37.37737526,37.53048025,16599476,-1
4447,CMCSA,2017/2/17,75.94,76.04,75.02,75.32,9799976,0.0,1,37.5057859,37.55517461,37.05140977,37.1995759,19599952,-1
4448,CMCSA,2017/2/21,38.03,38.03,37.41,37.89,13556274,0.0,2,37.56505235,37.56505235,36.95263235,37.42676396,13556274,-1
4449,CMCSA,2017/2/22,37.87,38.22,37.82,37.94,13126051,0.0,1,37.40700848,37.75272945,37.35761977,37.47615267,13126051,1
4450,CMCSA,2017/2/23,38.12,38.16,37.56,37.65,13258356,0.0,1,37.65395203,37.693463,37.10079848,37.18969816,13258356,-1
4451,CMCSA,2017/2/24,37.72,37.9,37.47,37.89,11557826,0.0,1,37.25884235,37.43664171,37.01189881,37.42676396,11557826,1
4452,CMCSA,2017/2/27,37.76,37.795,37.5,37.53,9563628,0.0,1,37.29835332,37.33292542,37.04153203,37.07116526,9563628,-1
4453,CMCSA,2017/2/28,37.62,37.62,37.18,37.42,16872258,0.0,1,37.16006493,37.16006493,36.72544429,36.9625101,16872258,-1
4454,CMCSA,2017/3/1,37.72,37.83,37.52,37.59,16486480,0.0,1,37.25884235,37.36749751,37.06128752,37.13043171,16486480,1
4455,CMCSA,2017/3/2,37.52,37.55,37.19,37.45,11116071,0.0,1,37.06128752,37.09092074,36.73532203,36.99214332,11116071,-1
4456,CMCSA,2017/3/3,37.46,37.5,37.18,37.22,11069227,0.0,1,37.00202106,37.04153203,36.72544429,36.76495526,11069227,-1
4457,CMCSA,2017/3/6,37.07,37.5,36.9037,37.44,13181617,0.0,1,36.61678913,37.04153203,36.45252228,36.98226558,13181617,1
