None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
4686,CMG,2016/12/27,388.52,392.33,388.02,388.75,557712,0.0,1,388.52,392.33,388.02,388.75,557712,0
4687,CMG,2016/12/28,389.6,390.88,385.16,385.37,504863,0.0,1,389.6,390.88,385.16,385.37,504863,-1
4688,CMG,2016/12/29,385.57,387.0,375.13,376.61,894298,0.0,1,385.57,387.0,375.13,376.61,894298,-1
4689,CMG,2016/12/30,376.52,382.49,375.16,377.32,889913,0.0,1,376.52,382.49,375.16,377.32,889913,1
4690,CMG,2017/1/3,379.11,380.38,374.08,374.77,868896,0.0,1,379.11,380.38,374.08,374.77,868896,-1
4691,CMG,2017/1/4,374.91,383.9,372.87,381.86,984373,0.0,1,374.91,383.9,372.87,381.86,984373,1
4692,CMG,2017/1/5,382.62,392.67,379.05,391.89,1316727,0.0,1,382.62,392.67,379.05,391.89,1316727,1
4693,CMG,2017/1/6,391.5,399.8,390.3564,398.44,1149646,0.0,1,391.5,399.8,390.3564,398.44,1149646,1
4694,CMG,2017/1/9,398.7,399.25,392.11,395.06,793405,0.0,1,398.7,399.25,392.11,395.06,793405,-1
4695,CMG,2017/1/10,412.64,420.23,408.201,414.48,3214128,0.0,1,412.64,420.23,408.201,414.48,3214128,1
4696,CMG,2017/1/11,412.85,418.32,410.35,413.93,1273917,0.0,1,412.85,418.32,410.35,413.93,1273917,-1
4697,CMG,2017/1/12,411.63,414.0,407.8,409.35,850428,0.0,1,411.63,414.0,407.8,409.35,850428,-1
4698,CMG,2017/1/13,409.93,413.95,409.01,410.75,572404,0.0,1,409.93,413.95,409.01,410.75,572404,1
4699,CMG,2017/1/17,406.41,411.87,404.41,405.87,833798,0.0,1,406.41,411.87,404.41,405.87,833798,-1
4700,CMG,2017/1/18,407.35,411.0,399.03,409.74,823736,0.0,1,407.35,411.0,399.03,409.74,823736,1
4701,CMG,2017/1/19,409.7,410.95,406.0,408.87,503020,0.0,1,409.7,410.95,406.0,408.87,503020,-1
4702,CMG,2017/1/20,408.91,409.98,404.81,405.2,581261,0.0,1,408.91,409.98,404.81,405.2,581261,-1
4703,CMG,2017/1/23,405.71,409.26,402.01,407.72,632364,0.0,1,405.71,409.26,402.01,407.72,632364,1
4704,CMG,2017/1/24,407.72,419.57,405.781,417.88,687911,0.0,1,407.72,419.57,405.781,417.88,687911,1
4705,CMG,2017/1/25,419.0,425.61,418.57,419.54,732060,0.0,1,419.0,425.61,418.57,419.54,732060,1
4706,CMG,2017/1/26,421.0,425.1,417.5,418.73,470387,0.0,1,421.0,425.1,417.5,418.73,470387,-1
4707,CMG,2017/1/27,419.06,419.5,412.17,416.6,553445,0.0,1,419.06,419.5,412.17,416.6,553445,-1
4708,CMG,2017/1/30,416.21,421.7,414.735,417.95,587732,0.0,1,416.21,421.7,414.735,417.95,587732,1
4709,CMG,2017/1/31,416.73,422.25,415.48,421.44,737616,0.0,1,416.73,422.25,415.48,421.44,737616,1
4710,CMG,2017/2/1,420.31,422.58,417.61,420.23,749782,0.0,1,420.31,422.58,417.61,420.23,749782,-1
4711,CMG,2017/2/2,420.0,427.6699,413.67,423.3,1316199,0.0,1,420.0,427.6699,413.67,423.3,1316199,1
4712,CMG,2017/2/3,430.945,434.585,402.892,404.08,3570510,0.0,1,430.945,434.585,402.892,404.08,3570510,-1
4713,CMG,2017/2/6,398.81,402.0,395.08,395.59,1498528,0.0,1,398.81,402.0,395.08,395.59,1498528,-1
4714,CMG,2017/2/7,396.25,401.5,395.72,398.64,1270291,0.0,1,396.25,401.5,395.72,398.64,1270291,1
4715,CMG,2017/2/8,400.5,408.23,398.69,402.94,1075651,0.0,1,400.5,408.23,398.69,402.94,1075651,1
4716,CMG,2017/2/9,404.35,417.51,403.63,415.31,1292887,0.0,1,404.35,417.51,403.63,415.31,1292887,1
4717,CMG,2017/2/10,416.26,420.76,412.77,413.36,880002,0.0,1,416.26,420.76,412.77,413.36,880002,-1
4718,CMG,2017/2/13,415.72,419.47,413.55,414.14,586649,0.0,1,415.72,419.47,413.55,414.14,586649,1
4719,CMG,2017/2/14,414.15,420.98,413.51,419.54,640046,0.0,1,414.15,420.98,413.51,419.54,640046,1
4720,CMG,2017/2/15,420.05,425.5909,419.01,423.34,822293,0.0,1,420.05,425.5909,419.01,423.34,822293,1
4721,CMG,2017/2/16,423.36,426.54,421.33,424.76,560368,0.0,1,423.36,426.54,421.33,424.76,560368,1
4722,CMG,2017/2/17,424.46,428.52,423.19,427.61,543944,0.0,1,424.46,428.52,423.19,427.61,543944,1
4723,CMG,2017/2/21,429.0,434.69,428.73,432.36,911527,0.0,1,429.0,434.69,428.73,432.36,911527,1
4724,CMG,2017/2/22,432.0,434.3699,426.99,427.61,666071,0.0,1,432.0,434.3699,426.99,427.61,666071,-1
4725,CMG,2017/2/23,427.14,429.87,420.71,422.38,573631,0.0,1,427.14,429.87,420.71,422.38,573631,-1
4726,CMG,2017/2/24,419.47,421.436,411.62,420.9,942294,0.0,1,419.47,421.436,411.62,420.9,942294,-1
4727,CMG,2017/2/27,421.71,424.23,419.31,421.67,545109,0.0,1,421.71,424.23,419.31,421.67,545109,1
4728,CMG,2017/2/28,419.53,425.585,417.67,418.74,496656,0.0,1,419.53,425.585,417.67,418.74,496656,-1
4729,CMG,2017/3/1,422.51,424.0,416.25,419.15,715598,0.0,1,422.51,424.0,416.25,419.15,715598,1
4730,CMG,2017/3/2,419.26,420.21,415.37,416.29,474632,0.0,1,419.26,420.21,415.37,416.29,474632,-1
4731,CMG,2017/3/3,415.38,417.25,412.41,416.09,538769,0.0,1,415.38,417.25,412.41,416.09,538769,-1
4732,CMG,2017/3/6,411.1,417.5663,410.01,411.68,699850,0.0,1,411.1,417.5663,410.01,411.68,699850,-1
4733,CMG,2017/3/7,410.51,412.57,402.16,404.9,933124,0.0,1,410.51,412.57,402.16,404.9,933124,-1
4734,CMG,2017/3/8,404.01,407.0,402.851,406.5,507884,0.0,1,404.01,407.0,402.851,406.5,507884,1
4735,CMG,2017/3/9,407.08,412.68,406.25,410.48,543234,0.0,1,407.08,412.68,406.25,410.48,543234,1
4736,CMG,2017/3/10,411.35,412.98,404.41,407.75,615068,0.0,1,411.35,412.98,404.41,407.75,615068,-1
4737,CMG,2017/3/13,408.0,409.76,403.57,405.87,642089,0.0,1,408.0,409.76,403.57,405.87,642089,-1
4738,CMG,2017/3/14,404.85,404.85,397.81,403.1,733285,0.0,1,404.85,404.85,397.81,403.1,733285,-1
4739,CMG,2017/3/15,403.11,405.39,399.04,400.96,834651,0.0,1,403.11,405.39,399.04,400.96,834651,-1
4740,CMG,2017/3/16,400.96,402.49,399.63,400.95,578752,0.0,1,400.96,402.49,399.63,400.95,578752,-1
4741,CMG,2017/3/17,400.9,403.47,400.03,402.58,555933,0.0,1,400.9,403.47,400.03,402.58,555933,1
4742,CMG,2017/3/20,402.55,402.9,394.19,396.37,773731,0.0,1,402.55,402.9,394.19,396.37,773731,-1
4743,CMG,2017/3/21,403.34,408.6,400.5,407.52,1160461,0.0,1,403.34,408.6,400.5,407.52,1160461,1
4744,CMG,2017/3/22,405.99,417.76,405.151,416.31,975180,0.0,1,405.99,417.76,405.151,416.31,975180,1
4745,CMG,2017/3/23,417.0,418.669,413.38,414.88,590620,0.0,1,417.0,418.669,413.38,414.88,590620,-1
4746,CMG,2017/3/24,414.82,417.78,412.67,414.02,463051,0.0,1,414.82,417.78,412.67,414.02,463051,-1
4747,CMG,2017/3/27,409.87,415.44,409.49,414.96,584043,0.0,1,409.87,415.44,409.49,414.96,584043,1
4748,CMG,2017/3/28,415.71,428.31,415.11,426.23,941717,0.0,1,415.71,428.31,415.11,426.23,941717,1
4749,CMG,2017/3/29,426.58,439.88,426.35,434.34,1439434,0.0,1,426.58,439.88,426.35,434.34,1439434,1
4750,CMG,2017/3/30,436.77,450.0,435.95,443.92,1715512,0.0,1,436.77,450.0,435.95,443.92,1715512,1
4751,CMG,2017/3/31,447.13,453.08,444.15,445.52,914420,0.0,1,447.13,453.08,444.15,445.52,914420,1
4752,CMG,2017/4/3,449.2,459.45,447.75,452.75,1353403,0.0,1,449.2,459.45,447.75,452.75,1353403,1
4753,CMG,2017/4/4,455.25,459.36,448.4,449.41,974139,0.0,1,455.25,459.36,448.4,449.41,974139,-1
4754,CMG,2017/4/5,454.69,458.8275,447.07,452.44,793631,0.0,1,454.69,458.8275,447.07,452.44,793631,1
4755,CMG,2017/4/6,452.85,455.18,448.79,450.29,486115,0.0,1,452.85,455.18,448.79,450.29,486115,-1
4756,CMG,2017/4/7,449.75,450.6731,446.76,447.34,532292,0.0,1,449.75,450.6731,446.76,447.34,532292,-1
4757,CMG,2017/4/10,447.24,456.89,445.4,454.28,692190,0.0,1,447.24,456.89,445.4,454.28,692190,1
4758,CMG,2017/4/11,454.99,459.932,445.2501,453.0,825045,0.0,1,454.99,459.932,445.2501,453.0,825045,-1
4759,CMG,2017/4/12,451.89,459.24,450.4677,458.35,831583,0.0,1,451.89,459.24,450.4677,458.35,831583,1
4760,CMG,2017/4/13,457.03,466.77,455.51,463.62,974206,0.0,1,457.03,466.77,455.51,463.62,974206,1
4761,CMG,2017/4/17,465.0,471.5,461.7,469.89,735729,0.0,1,465.0,471.5,461.7,469.89,735729,1
4762,CMG,2017/4/18,471.0,471.57,464.14,468.51,486863,0.0,1,471.0,471.57,464.14,468.51,486863,-1
4763,CMG,2017/4/19,474.05,481.77,473.0,476.96,1101858,0.0,1,474.05,481.77,473.0,476.96,1101858,1
4764,CMG,2017/4/20,477.48,483.5,475.488,478.39,628962,0.0,1,477.48,483.5,475.488,478.39,628962,1
4765,CMG,2017/4/21,479.0,481.99,476.42,479.09,798700,0.0,1,479.0,481.99,476.42,479.09,798700,1
4766,CMG,2017/4/24,482.75,482.82,465.2,468.79,1145091,0.0,1,482.75,482.82,465.2,468.79,1145091,-1
4767,CMG,2017/4/25,471.1,474.27,468.27,471.19,873029,0.0,1,471.1,474.27,468.27,471.19,873029,1
4768,CMG,2017/4/26,474.655,497.48,474.6,482.99,3895205,0.0,1,474.655,497.48,474.6,482.99,3895205,1
4769,CMG,2017/4/27,485.23,488.0,481.05,482.0,976928,0.0,1,485.23,488.0,481.05,482.0,976928,-1
