None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
4962,CSCO,2016/12/27,30.64,30.82,30.6,30.68,14175488,0.0,1,29.58151107,29.7552928,29.54289291,29.62012923,14175488,0
4963,CSCO,2016/12/28,30.7,30.77,30.35,30.42,12022231,0.0,1,29.63943831,29.70702009,29.30152941,29.36911119,12022231,-1
4964,CSCO,2016/12/29,30.37,30.55,30.33,30.46,10995584,0.0,1,29.32083849,29.49462021,29.28222033,29.40772935,10995584,1
4965,CSCO,2016/12/30,30.56,30.6,30.13,30.22,20190029,0.0,1,29.50427475,29.54289291,29.08912952,29.17602039,20190029,-1
4966,CSCO,2017/1/3,30.37,30.56,30.21,30.54,22370578,0.0,1,29.32083849,29.50427475,29.16636585,29.48496567,22370578,1
4967,CSCO,2017/1/4,30.235,30.42,30.02,30.1,22280992,0.26,1,29.44264607,29.62279786,29.23328047,29.31118395,22280992,-1
4968,CSCO,2017/1/5,30.1,30.355,30.07,30.17,18372532,0.0,1,29.31118395,29.55950129,29.28197014,29.37934949,18372532,1
4969,CSCO,2017/1/6,30.17,30.35,30.03,30.23,15923243,0.0,1,29.37934949,29.55463232,29.2430184,29.4377771,15923243,1
4970,CSCO,2017/1/9,30.22,30.33,30.08,30.18,17178503,0.0,1,29.42803917,29.53515645,29.29170808,29.38908743,17178503,-1
4971,CSCO,2017/1/10,30.19,30.55,30.1,30.38,21046041,0.0,1,29.39882536,29.74939102,29.31118395,29.58384612,21046041,1
4972,CSCO,2017/1/11,30.33,30.41,30.03,30.15,22291322,0.0,1,29.53515645,29.61305993,29.2430184,29.35987362,22291322,-1
4973,CSCO,2017/1/12,30.15,30.155,29.8,30.04,18611107,0.0,1,29.35987362,29.36474259,29.0190459,29.25275634,18611107,-1
4974,CSCO,2017/1/13,30.1,30.22,30.01,30.07,17136585,0.0,1,29.31118395,29.42803917,29.22354253,29.28197014,17136585,1
4975,CSCO,2017/1/17,30.0,30.25,29.84,29.99,21983537,0.0,1,29.2138046,29.45725297,29.05799764,29.20406666,21983537,-1
4976,CSCO,2017/1/18,30.12,30.18,29.95,30.03,15724040,0.0,1,29.33065982,29.38908743,29.16511493,29.2430184,15724040,1
4977,CSCO,2017/1/19,30.01,30.19,29.915,29.98,16866005,0.0,1,29.22354253,29.39882536,29.13103215,29.19432873,16866005,-1
4978,CSCO,2017/1/20,30.12,30.25,30.0,30.1,22754366,0.0,1,29.33065982,29.45725297,29.2138046,29.31118395,22754366,1
4979,CSCO,2017/1/23,30.14,30.3,30.085,30.27,17155297,0.0,1,29.35013569,29.50594265,29.29657705,29.47672884,17155297,1
4980,CSCO,2017/1/24,30.34,30.75,30.29,30.6,24934210,0.0,1,29.54489438,29.94414971,29.49620471,29.79808069,24934210,1
4981,CSCO,2017/1/25,31.04,31.05,30.65,30.7,25095890,0.0,1,30.22654983,30.23628776,29.84677037,29.89546004,25095890,1
4982,CSCO,2017/1/26,30.76,30.84,30.56,30.74,20116824,0.0,1,29.95388765,30.03179113,29.75912895,29.93441178,20116824,1
4983,CSCO,2017/1/27,30.76,30.98,30.63,30.98,18461937,0.0,1,29.95388765,30.16812222,29.8272945,30.16812222,18461937,1
4984,CSCO,2017/1/30,30.94,30.995,30.63,30.83,15481798,0.0,1,30.12917048,30.18272912,29.8272945,30.02205319,15481798,-1
4985,CSCO,2017/1/31,30.68,30.89,30.58,30.72,16603050,0.0,1,29.87598417,30.0804808,29.77860482,29.91493591,16603050,-1
4986,CSCO,2017/2/1,30.847,30.847,30.42,30.5,19504565,0.0,1,30.03860768,30.03860768,29.62279786,29.70070134,19504565,-1
4987,CSCO,2017/2/2,30.69,31.26,30.525,31.18,27456740,0.0,1,29.88572211,30.44078439,29.72504618,30.36288091,27456740,1
4988,CSCO,2017/2/3,31.27,31.35,31.12,31.32,21288832,0.0,1,30.45052233,30.52842581,30.3044533,30.499212,21288832,1
4989,CSCO,2017/2/6,31.29,31.305,31.12,31.3,16774244,0.0,1,30.4699982,30.4846051,30.3044533,30.47973613,16774244,-1
4990,CSCO,2017/2/7,31.38,31.6399,31.33,31.45,18420153,0.0,1,30.55763961,30.81072854,30.50894994,30.62580516,18420153,1
4991,CSCO,2017/2/8,31.46,31.55,31.25,31.27,20434263,0.0,1,30.63554309,30.7231845,30.43104646,30.45052233,20434263,-1
4992,CSCO,2017/2/9,31.35,31.69,31.3,31.5,18706857,0.0,1,30.52842581,30.85951559,30.47973613,30.67449483,18706857,1
4993,CSCO,2017/2/10,31.48,31.63,31.24,31.51,21557725,0.0,1,30.65501896,30.80108798,30.42130852,30.68423276,21557725,1
4994,CSCO,2017/2/13,31.67,31.995,31.55,31.97,26518836,0.0,1,30.84003972,31.15652261,30.7231845,31.13217777,26518836,1
4995,CSCO,2017/2/14,31.9,32.31,31.77,32.31,31463500,0.0,1,31.06401222,31.46326755,30.93741907,31.46326755,31463500,1
4996,CSCO,2017/2/15,32.35,32.84,32.29,32.82,41169445,0.0,1,31.50221929,31.9793781,31.44379168,31.95990223,41169445,1
4997,CSCO,2017/2/16,33.26,33.97,33.25,33.6,50143661,0.0,1,32.38837137,33.07976474,32.37863343,32.71946115,50143661,1
4998,CSCO,2017/2/17,33.52,33.77,33.43,33.74,31841239,0.0,1,32.64155767,32.88500604,32.55391626,32.85579224,31841239,1
4999,CSCO,2017/2/21,33.69,34.21,33.66,34.13,26992666,0.0,1,32.80710257,33.31347518,32.77788876,33.2355717,26992666,1
5000,CSCO,2017/2/22,34.04,34.1485,33.66,34.09,26632725,0.0,1,33.14793029,33.25358688,32.77788876,33.19661996,26632725,-1
5001,CSCO,2017/2/23,34.28,34.28,33.95,34.04,17450074,0.0,1,33.38164072,33.38164072,33.06028887,33.14793029,17450074,-1
5002,CSCO,2017/2/24,33.98,34.32,33.8,34.32,21137311,0.0,1,33.08950268,33.42059246,32.91421985,33.42059246,21137311,1
5003,CSCO,2017/2/27,34.21,34.32,34.12,34.26,15625416,0.0,1,33.31347518,33.42059246,33.22583376,33.36216485,15625416,-1
5004,CSCO,2017/2/28,34.16,34.2869,34.04,34.18,23093057,0.0,1,33.2647855,33.3883599,33.14793029,33.28426137,23093057,-1
5005,CSCO,2017/3/1,34.28,34.51,34.18,34.44,22754181,0.0,1,33.38164072,33.60561322,33.28426137,33.53744768,22754181,1
5006,CSCO,2017/3/2,34.41,34.53,34.21,34.39,16137699,0.0,1,33.50823388,33.62508909,33.31347518,33.48875801,16137699,-1
5007,CSCO,2017/3/3,34.42,34.44,34.23,34.29,14206428,0.0,1,33.51797181,33.53744768,33.33295105,33.39137866,14206428,-1
5008,CSCO,2017/3/6,34.04,34.28,33.96,34.19,17605072,0.0,1,33.14793029,33.38164072,33.07002681,33.29399931,17605072,-1
5009,CSCO,2017/3/7,34.0,34.25,33.99,34.2,21033740,0.0,1,33.10897855,33.35242692,33.09924061,33.30373724,21033740,1
5010,CSCO,2017/3/8,34.18,34.23,33.93,34.02,18686747,0.0,1,33.28426137,33.33295105,33.040813,33.12845442,18686747,-1
5011,CSCO,2017/3/9,34.04,34.11,33.87,34.07,17490190,0.0,1,33.14793029,33.21609583,32.98238539,33.17714409,17490190,1
5012,CSCO,2017/3/10,34.24,34.295,34.08,34.26,19038351,0.0,1,33.34268898,33.39624762,33.18688202,33.36216485,19038351,1
5013,CSCO,2017/3/13,34.22,34.33,34.0,34.1,16164809,0.0,1,33.32321311,33.4303304,33.10897855,33.20635789,16164809,-1
5014,CSCO,2017/3/14,33.94,34.14,33.84,34.12,14578391,0.0,1,33.05055094,33.24530963,32.95317159,33.22583376,14578391,1
5015,CSCO,2017/3/15,34.07,34.35,34.05,34.24,14961684,0.0,1,33.17714409,33.44980627,33.15766822,33.34268898,14961684,1
5016,CSCO,2017/3/16,34.25,34.48,34.1,34.23,14521636,0.0,1,33.35242692,33.57639942,33.20635789,33.33295105,14521636,-1
5017,CSCO,2017/3/17,34.35,34.38,34.19,34.23,26787248,0.0,1,33.44980627,33.47902007,33.29399931,33.33295105,26787248,-1
5018,CSCO,2017/3/20,34.2,34.385,34.2,34.28,14974096,0.0,1,33.30373724,33.48388904,33.30373724,33.38164072,14974096,1
