None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
5238,CVS,2016/12/27,78.95,79.72,78.9,79.29,2947682,0.0,1,76.95916858,77.70975199,76.9104294,77.29059502,2947682,0
5239,CVS,2016/12/28,79.3,79.37,78.64,79.04,3390691,0.0,1,77.30034286,77.36857771,76.65698566,77.04689911,3390691,-1
5240,CVS,2016/12/29,78.89,79.469,78.805,79.0,3580026,0.0,1,76.90068157,77.4650813,76.81782496,77.00790777,3580026,-1
5241,CVS,2016/12/30,78.96,79.31,78.46,78.91,4326699,0.0,1,76.96891642,77.3100907,76.4815246,76.92017724,4326699,-1
5242,CVS,2017/1/3,79.58,80.45,78.97,80.35,5922807,0.0,1,77.57328228,78.42134405,76.97866426,78.32386568,5922807,1
5243,CVS,2017/1/4,80.34,80.42,79.44,79.75,7101759,0.0,1,78.31411785,78.39210054,77.43681257,77.7389955,7101759,-1
5244,CVS,2017/1/5,79.85,81.52,78.8,81.42,8805321,0.0,1,77.83647386,79.46436255,76.81295104,79.36688418,8805321,1
5245,CVS,2017/1/6,81.41,82.46,80.94,82.2,7087061,0.0,1,79.35713635,80.38065917,78.89898803,80.12721542,7087061,1
5246,CVS,2017/1/9,82.2,82.38,81.16,81.7,6847689,0.0,1,80.12721542,80.30267648,79.11344044,79.6398236,6847689,-1
5247,CVS,2017/1/10,81.72,82.89,81.51,82.67,7053260,0.0,1,79.65931928,80.79981614,79.45461471,80.58536374,7053260,1
5248,CVS,2017/1/11,82.22,83.11,81.73,82.77,6404156,0.0,1,80.1467111,81.01426854,79.66906711,80.6828421,6404156,1
5249,CVS,2017/1/12,82.92,83.21,82.38,82.6,5774678,0.0,1,80.82905965,81.1117469,80.30267648,80.51712888,5774678,-1
5250,CVS,2017/1/13,82.7,82.91,81.75,81.98,4809097,0.0,1,80.61460724,80.81931181,79.68856278,79.91276302,4809097,-1
5251,CVS,2017/1/17,81.96,83.98,81.91,83.92,7292726,0.0,1,79.89326735,81.86233031,79.84452817,81.80384329,7292726,1
5252,CVS,2017/1/18,84.49,84.72,83.2,83.54,5263133,0.0,1,82.35946997,82.5836702,81.10199907,81.4334255,5263133,-1
5253,CVS,2017/1/19,83.17,83.86,82.32,83.2,5220710,0.0,1,81.07275556,81.74535627,80.24418946,81.10199907,5220710,-1
5254,CVS,2017/1/20,83.29,83.43,81.31,81.56,7872097,0.5,1,81.68745967,81.824766,79.74555584,79.99074571,7872097,-1
5255,CVS,2017/1/23,81.5,81.93,81.02,81.25,6305901,0.0,1,79.93190014,80.35362673,79.46113558,79.68671027,6305901,-1
5256,CVS,2017/1/24,81.35,82.15,81.12,81.78,4743742,0.0,1,79.78478622,80.56939382,79.55921153,80.20651281,4743742,1
5257,CVS,2017/1/25,81.92,82.2,79.42,79.49,10652194,0.0,1,80.34381914,80.6184318,77.89192036,77.96057353,10652194,-1
5258,CVS,2017/1/26,79.08,80.42,78.44,79.33,7627041,0.0,1,77.55846213,78.87267987,76.93077604,77.803652,7627041,-1
5259,CVS,2017/1/27,79.83,79.89,77.03,77.75,10924374,0.0,1,78.29403176,78.35287733,75.54790513,76.25405198,10924374,-1
5260,CVS,2017/1/30,77.46,79.02,77.32,78.68,7488549,0.0,1,75.96963172,77.49961656,75.83232539,77.16615832,7488549,1
5261,CVS,2017/1/31,78.55,79.3,78.511,78.81,6428244,0.0,1,77.03865959,77.77422922,77.00040996,77.29365706,6428244,1
5262,CVS,2017/2/1,78.65,79.1,77.69,77.97,6463085,0.0,1,77.13673554,77.57807732,76.19520641,76.46981907,6463085,-1
5263,CVS,2017/2/2,76.35,76.35,74.05,74.8,18840243,0.0,1,74.88098866,74.88098866,72.62524179,73.36081142,18840243,-1
5264,CVS,2017/2/3,75.34,76.415,75.28,75.46,11936203,0.0,1,73.89042156,74.94473803,73.83157598,74.0081127,11936203,1
5265,CVS,2017/2/6,75.6,76.82,75.53,76.07,9559179,0.0,1,74.14541903,75.34194563,74.07676586,74.606376,9559179,1
5266,CVS,2017/2/7,76.12,76.73,75.5,76.36,5739937,0.0,1,74.65541397,75.25367728,74.04734308,74.89079626,5739937,1
5267,CVS,2017/2/8,76.21,77.145,76.13,77.03,6788446,0.0,1,74.74368233,75.66069247,74.66522157,75.54790513,6788446,1
5268,CVS,2017/2/9,77.8,77.8,75.21,77.31,13943993,0.0,1,76.30308995,76.30308995,73.76292282,75.82251779,13943993,1
5269,CVS,2017/2/10,77.44,79.12,76.95,78.53,9366970,0.0,1,75.95001653,77.59769251,75.46944437,77.0190444,9366970,1
5270,CVS,2017/2/13,78.98,79.23,78.35,78.7,5645832,0.0,1,77.46038618,77.70557605,76.84250768,77.18577351,5645832,1
5271,CVS,2017/2/14,78.76,78.95,78.06,78.67,5507494,0.0,1,77.24461908,77.43096339,76.55808743,77.15635073,5507494,-1
5272,CVS,2017/2/15,78.88,79.52,78.83,79.41,5626296,0.0,1,77.36231022,77.98999631,77.31327225,77.88211276,5626296,1
5273,CVS,2017/2/16,79.5,80.2,79.26,79.45,4957509,0.0,1,77.97038112,78.65691278,77.73499884,77.92134315,4957509,1
5274,CVS,2017/2/17,79.45,79.99,79.32,79.69,6215697,0.0,1,77.92134315,78.45095328,77.79384441,78.15672543,6215697,1
5275,CVS,2017/2/21,79.61,80.39,79.13,79.76,6273816,0.0,1,78.07826467,78.84325709,77.6075001,78.22537859,6273816,1
5276,CVS,2017/2/22,79.75,80.47,79.45,80.16,5003351,0.0,1,78.215571,78.92171785,77.92134315,78.6176824,5003351,1
5277,CVS,2017/2/23,80.22,81.43,80.013,80.86,6403537,0.0,1,78.67652797,79.86324698,78.47351075,79.30421406,6403537,1
5278,CVS,2017/2/24,80.83,81.75,80.64,81.48,5189170,0.0,1,79.27479127,80.17709002,79.08844696,79.91228495,5189170,1
5279,CVS,2017/2/27,81.55,81.86,81.31,81.41,4696152,0.0,1,79.98093812,80.28497357,79.74555584,79.84363179,4696152,-1
5280,CVS,2017/2/28,80.8,81.1299,80.18,80.58,7274737,0.0,1,79.24536849,79.56892105,78.63729759,79.02960139,7274737,-1
