None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
5514,CVX,2016/12/27,118.5,118.9,118.11,118.22,2986715,0.0,1,115.0124366,115.4006642,114.6339146,114.7406772,2986715,0
5515,CVX,2016/12/28,118.31,118.86,117.75,117.91,4086018,0.0,1,114.8280284,115.3618414,114.2845097,114.4398008,4086018,-1
5516,CVX,2016/12/29,118.01,118.42,117.48,117.82,3214528,0.0,1,114.5368577,114.934791,114.0224561,114.3524496,3214528,-1
5517,CVX,2016/12/30,117.44,118.2419,117.31,117.7,5018961,0.0,1,113.9836333,114.7619327,113.8574593,114.2359813,5018961,-1
5518,CVX,2017/1/3,118.38,119.0,116.59,117.85,7404774,0.0,1,114.8959683,115.4977211,113.1586496,114.3815667,7404774,1
5519,CVX,2017/1/4,118.41,118.65,117.6,117.82,6679943,0.0,1,114.9250853,115.1580219,114.1389244,114.3524496,6679943,-1
5520,CVX,2017/1/5,118.0,118.48,116.72,117.31,5928032,0.0,1,114.527152,114.9930252,113.2848236,113.8574593,5928032,-1
5521,CVX,2017/1/6,117.45,117.58,116.38,116.84,4762474,0.0,1,113.993339,114.119513,112.9548301,113.4012919,4762474,-1
5522,CVX,2017/1/9,116.29,116.36,115.11,115.84,6891540,0.0,1,112.8674789,112.9354187,111.7222074,112.4307228,6891540,-1
5523,CVX,2017/1/10,115.56,116.39,114.89,114.96,6184401,0.0,1,112.1589634,112.9645358,111.5086822,111.576622,6184401,-1
5524,CVX,2017/1/11,115.15,116.45,114.86,115.93,6158217,0.0,1,111.7610301,113.0227699,111.4795651,112.518074,6158217,1
5525,CVX,2017/1/12,116.5,116.99,115.41,116.16,4940021,0.0,1,113.0712984,113.5468772,112.0133781,112.7413049,4940021,1
5526,CVX,2017/1/13,115.86,116.88,115.61,116.38,4952867,0.0,1,112.4501342,113.4401146,112.2074919,112.9548301,4952867,1
5527,CVX,2017/1/17,116.4,116.77,116.11,116.28,4669684,0.0,1,112.9742415,113.333352,112.6927764,112.8577732,4669684,-1
5528,CVX,2017/1/18,115.68,116.04,115.3986,115.94,4855334,0.0,1,112.2754317,112.6248366,112.0023136,112.5277797,4855334,-1
5529,CVX,2017/1/19,115.89,115.96,115.29,115.58,3427849,0.0,1,112.4792512,112.5471911,111.8969098,112.1783748,3427849,-1
5530,CVX,2017/1/20,116.32,116.75,115.34,115.6,6708628,0.0,1,112.896596,113.3139407,111.9454382,112.1977862,6708628,1
5531,CVX,2017/1/23,115.12,115.96,114.99,115.39,5104033,0.0,1,111.7319131,112.5471911,111.6057391,111.9939667,5104033,-1
5532,CVX,2017/1/24,115.85,117.108,115.61,116.37,5024409,0.0,1,112.4404285,113.6614044,112.2074919,112.9451244,5024409,1
5533,CVX,2017/1/25,116.9,117.43,116.34,117.24,5276756,0.0,1,113.459526,113.9739276,112.9160073,113.7895195,5276756,1
5534,CVX,2017/1/26,117.5,117.82,116.5,116.55,6924578,0.0,1,114.0418675,114.3524496,113.0712984,113.1198268,6924578,-1
5535,CVX,2017/1/27,113.53,114.7,112.85,113.79,11698297,0.0,1,110.1887082,111.324274,109.5287212,110.4410562,11698297,-1
5536,CVX,2017/1/30,113.15,113.8,110.72,111.82,8266321,0.0,1,109.819892,110.4507619,107.4614091,108.5290351,8266321,-1
5537,CVX,2017/1/31,111.89,112.2,110.76,111.35,7945005,0.0,1,108.5969749,108.8978513,107.5002318,108.0728676,7945005,-1
5538,CVX,2017/2/1,111.2,111.78,110.8428,111.0,5888275,0.0,1,107.9272822,108.4902123,107.580595,107.7331684,5888275,-1
5539,CVX,2017/2/2,111.17,112.24,110.71,112.21,6289020,0.0,1,107.8981652,108.9366741,107.4517034,108.907557,6289020,1
5540,CVX,2017/2/3,112.41,114.28,112.14,113.57,6623332,0.0,1,109.1016708,110.916635,108.8396172,110.227531,6623332,1
5541,CVX,2017/2/6,113.28,113.5,112.45,112.98,5637256,0.0,1,109.9460659,110.1595911,109.1404936,109.6548952,5637256,-1
5542,CVX,2017/2/7,112.98,113.1,111.11,111.39,6036670,0.0,1,109.6548952,109.7713635,107.839931,108.1116904,6036670,-1
5543,CVX,2017/2/8,111.13,111.79,110.32,111.58,5188785,0.0,1,107.8593424,108.499918,107.0731814,108.2960985,5188785,1
5544,CVX,2017/2/9,111.91,112.63,111.69,112.26,4607757,0.0,1,108.6163863,109.315196,108.4028611,108.9560855,4607757,1
5545,CVX,2017/2/10,112.75,113.45,112.37,113.05,6194334,0.0,1,109.4316643,110.1110627,109.0628481,109.722835,6194334,1
5546,CVX,2017/2/13,113.36,113.99,113.05,113.91,4858511,0.0,1,110.0237115,110.63517,109.722835,110.5575245,4858511,1
5547,CVX,2017/2/14,112.68,113.07,111.78,112.52,5811058,1.08,1,110.4134296,110.7955847,109.5315332,110.256648,5811058,-1
5548,CVX,2017/2/15,112.21,113.24,112.21,112.57,7048099,0.0,1,109.9528837,110.9621652,109.9528837,110.3056423,7048099,1
5549,CVX,2017/2/16,112.99,112.99,110.43,110.68,9478223,0.0,1,110.7171939,110.7171939,108.2086886,108.4536598,9478223,-1
5550,CVX,2017/2/17,110.42,110.57,109.27,110.33,8110738,0.0,1,108.1988898,108.3458725,107.0720221,108.1107001,8110738,-1
5551,CVX,2017/2/21,110.73,112.31,110.6,111.72,6618607,0.0,1,108.5026541,110.0508722,108.375269,109.4727401,6618607,1
5552,CVX,2017/2/22,111.19,111.78,110.31,110.38,5732048,0.0,1,108.9534011,109.5315332,108.0911024,108.1596944,5732048,-1
5553,CVX,2017/2/23,111.34,111.83,110.75,111.02,8659712,0.0,1,109.1003839,109.5805275,108.5222518,108.7868207,8659712,1
5554,CVX,2017/2/24,110.9,111.02,109.47,110.12,6188919,0.0,1,108.6692345,108.7868207,107.2679991,107.9049243,6188919,-1
5555,CVX,2017/2/27,110.65,112.2697,110.37,111.75,7276325,0.0,1,108.4242633,110.0113829,108.1498955,109.5021367,7276325,1
5556,CVX,2017/2/28,111.66,112.76,111.49,112.5,7030208,0.0,1,109.413947,110.4918204,109.2473666,110.2370503,7030208,1
5557,CVX,2017/3/1,112.92,114.3932,112.88,113.88,7353829,0.0,1,110.648602,112.0921684,110.6094066,111.5892915,7353829,1
