None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
5790,DIS,2016/12/27,104.85,105.556,104.78,105.17,3639539,0.0,1,104.0646067,104.7653184,103.9951311,104.3822097,3639539,0
5791,DIS,2016/12/28,104.99,105.32,104.06,104.3,5178595,0.0,1,104.2035581,104.5310861,103.2805243,103.5187266,5178595,-1
5792,DIS,2016/12/29,104.23,104.77,103.87,104.56,5896763,0.0,1,103.4492509,103.985206,103.0919476,103.776779,5896763,1
5793,DIS,2016/12/30,104.57,105.0,103.96,104.22,6982680,0.0,1,103.7867041,104.2134831,103.1812734,103.4393258,6982680,-1
5794,DIS,2017/1/3,105.3,106.9,105.205,106.08,8884273,0.0,1,104.511236,106.0992509,104.4169476,105.2853933,8884273,1
5795,DIS,2017/1/4,106.64,107.5,106.25,107.44,8321566,0.0,1,105.8411985,106.6947566,105.4541199,106.635206,8321566,1
5796,DIS,2017/1/5,107.17,107.6171,106.79,107.38,6301645,0.0,1,106.3672285,106.8109794,105.9900749,106.5756554,6301645,-1
5797,DIS,2017/1/6,108.015,109.35,107.75,108.98,9551309,0.0,1,107.2058989,108.5308989,106.9428839,108.1636704,9551309,1
5798,DIS,2017/1/9,108.58,108.83,108.11,108.36,6194980,0.0,1,107.7666667,108.014794,107.3001873,107.5483146,6194980,-1
5799,DIS,2017/1/10,107.9,108.82,107.35,108.38,7901886,0.0,1,107.0917603,108.0048689,106.5458801,107.5681648,7901886,1
5800,DIS,2017/1/11,108.54,109.4901,108.38,109.44,7616804,0.0,1,107.7269663,108.6699494,107.5681648,108.6202247,7616804,1
5801,DIS,2017/1/12,108.12,109.0,107.43,107.53,8218590,0.0,1,107.3101124,108.1835206,106.6252809,106.7245318,8218590,-1
5802,DIS,2017/1/13,107.16,108.35,106.9,108.06,6488323,0.0,1,106.3573034,107.5383895,106.0992509,107.2505618,6488323,1
5803,DIS,2017/1/17,107.91,108.93,107.65,107.97,7586483,0.0,1,107.1016854,108.1140449,106.843633,107.161236,7586483,-1
5804,DIS,2017/1/18,106.93,108.4,106.81,108.16,7162759,0.0,1,106.1290262,107.588015,106.0099251,107.3498127,7162759,1
5805,DIS,2017/1/19,107.92,108.01,107.08,107.28,5350191,0.0,1,107.1116105,107.2009363,106.2779026,106.4764045,5350191,-1
5806,DIS,2017/1/20,107.35,107.82,107.18,107.66,5648910,0.0,1,106.5458801,107.0123596,106.3771536,106.8535581,5648910,1
5807,DIS,2017/1/23,107.34,107.68,106.57,107.12,5716282,0.0,1,106.5359551,106.8734082,105.7717228,106.317603,5716282,-1
5808,DIS,2017/1/24,107.2,108.06,107.08,107.9,5456146,0.0,1,106.3970037,107.2505618,106.2779026,107.0917603,5456146,1
5809,DIS,2017/1/25,108.23,108.42,108.0,108.04,6180212,0.0,1,107.4192884,107.6078652,107.1910112,107.2307116,6180212,1
5810,DIS,2017/1/26,108.21,108.62,107.98,108.06,6079494,0.0,1,107.3994382,107.806367,107.171161,107.2505618,6079494,1
5811,DIS,2017/1/27,108.49,109.4,108.15,109.3,5577657,0.0,1,107.6773408,108.5805243,107.3398876,108.4812734,5577657,1
5812,DIS,2017/1/30,109.86,111.05,108.96,110.94,13792322,0.0,1,109.0370787,110.2181648,108.1438202,110.1089888,13792322,1
5813,DIS,2017/1/31,110.59,110.8,109.98,110.65,8484214,0.0,1,109.7616105,109.9700375,109.1561798,109.821161,8484214,-1
5814,DIS,2017/2/1,110.71,111.99,110.675,111.3,10497859,0.0,1,109.8807116,111.1511236,109.8459738,110.4662921,10497859,1
5815,DIS,2017/2/2,111.21,111.54,110.55,110.61,6515922,0.0,1,110.3769663,110.7044944,109.7219101,109.7814607,6515922,-1
5816,DIS,2017/2/3,110.9,111.15,110.21,110.3,7923085,0.0,1,110.0692884,110.3174157,109.3844569,109.4737828,7923085,-1
5817,DIS,2017/2/6,109.92,110.15,109.3,109.57,6892699,0.0,1,109.0966292,109.3249064,108.4812734,108.7492509,6892699,-1
5818,DIS,2017/2/7,109.65,109.73,108.7739,109.0,10157451,0.0,1,108.8286517,108.9080524,107.9591142,108.1835206,10157451,-1
5819,DIS,2017/2/8,109.56,111.42,108.98,109.0,13613377,0.0,1,108.7393258,110.5853933,108.1636704,108.1835206,13613377,-1
5820,DIS,2017/2/9,109.07,109.85,109.0,109.49,6369737,0.0,1,108.2529963,109.0271536,108.1835206,108.6698502,6369737,1
5821,DIS,2017/2/10,109.35,109.8,108.5814,109.26,7671800,0.0,1,108.5308989,108.9775281,107.7680562,108.441573,7671800,-1
5822,DIS,2017/2/13,108.95,109.9,108.9,109.65,5654040,0.0,1,108.1338951,109.076779,108.0842697,108.8286517,5654040,1
5823,DIS,2017/2/14,109.8,110.33,109.53,110.33,4768197,0.0,1,108.9775281,109.5035581,108.7095506,109.5035581,4768197,1
5824,DIS,2017/2/15,109.91,110.68,109.801,110.18,7087135,0.0,1,109.0867041,109.8509363,108.9785206,109.3546816,7087135,-1
5825,DIS,2017/2/16,110.34,110.87,110.09,110.71,7179625,0.0,1,109.5134831,110.0395131,109.2653558,109.8807116,7179625,1
5826,DIS,2017/2/17,110.24,110.5,109.52,110.06,6349061,0.0,1,109.4142322,109.6722846,108.6996255,109.2355805,6349061,-1
5827,DIS,2017/2/21,109.94,110.21,109.8,110.01,5431830,0.0,1,109.1164794,109.3844569,108.9775281,109.1859551,5431830,-1
5828,DIS,2017/2/22,109.69,110.28,109.53,110.12,5478398,0.0,1,108.8683521,109.4539326,108.7095506,109.2951311,5478398,1
5829,DIS,2017/2/23,110.3,110.49,109.59,109.73,5470661,0.0,1,109.4737828,109.6623596,108.7691011,108.9080524,5470661,-1
