None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
6066,F,2016/12/27,12.43,12.51,12.36,12.39,19458565,0.0,1,11.77161001,11.84737258,11.70531775,11.73372872,19458565,0
6067,F,2016/12/28,12.37,12.45,12.22,12.25,26868724,0.0,1,11.71478808,11.79055065,11.57273325,11.60114421,26868724,-1
6068,F,2016/12/29,12.25,12.31,12.22,12.23,19819081,0.0,1,11.60114421,11.65796615,11.57273325,11.58220357,19819081,-1
6069,F,2016/12/30,12.24,12.28,12.08,12.13,27401012,0.0,1,11.59167389,11.62955518,11.44014874,11.48750035,27401012,-1
6070,F,2017/1/3,12.2,12.6,12.13,12.59,40510821,0.0,1,11.55379261,11.93260548,11.48750035,11.92313516,40510821,1
6071,F,2017/1/4,12.77,13.27,12.74,13.17,77631929,0.0,1,12.09360095,12.56711704,12.06518998,12.47241382,77631929,1
6072,F,2017/1/5,13.21,13.22,12.63,12.77,75614823,0.0,1,12.51029511,12.51976543,11.96101644,12.09360095,75614823,-1
6073,F,2017/1/6,12.8,12.84,12.64,12.76,40315887,0.0,1,12.12201191,12.1598932,11.97048676,12.08413063,40315887,-1
6074,F,2017/1/9,12.79,12.86,12.63,12.63,39425043,0.0,1,12.11254159,12.17883384,11.96101644,11.96101644,39425043,-1
6075,F,2017/1/10,12.7,13.02,12.66,12.85,58703537,0.0,1,12.0273087,12.33035899,11.98942741,12.16936352,58703537,1
6076,F,2017/1/11,12.71,12.72,12.51,12.67,49718725,0.0,1,12.03677902,12.04624934,11.84737258,11.99889773,49718725,-1
6077,F,2017/1/12,12.66,12.68,12.35,12.59,36485524,0.0,1,11.98942741,12.00836805,11.69584743,11.92313516,36485524,-1
6078,F,2017/1/13,12.62,12.67,12.5,12.63,29192045,0.0,1,11.95154612,11.99889773,11.83790226,11.96101644,29192045,1
6079,F,2017/1/17,12.65,12.73,12.54,12.61,49069459,0.0,1,11.97995709,12.05571966,11.87578355,11.9420758,49069459,-1
6080,F,2017/1/18,12.43,12.45,12.3,12.41,33825245,0.2,1,11.96132169,11.98056758,11.83622339,11.9420758,33825245,-1
6081,F,2017/1/19,12.4,12.56,12.34,12.43,30135566,0.0,1,11.93245285,12.08641999,11.87471518,11.96132169,30135566,1
6082,F,2017/1/20,12.45,12.48,12.31,12.36,29241669,0.0,1,11.98056758,12.00943642,11.84584634,11.89396107,29241669,-1
6083,F,2017/1/23,12.35,12.38,12.22,12.31,31661525,0.0,1,11.88433812,11.91320696,11.75923983,11.84584634,31661525,-1
6084,F,2017/1/24,12.35,12.61,12.335,12.61,34625204,0.0,1,11.88433812,12.13453472,11.86990371,12.13453472,34625204,1
6085,F,2017/1/25,12.71,12.8,12.64,12.79,46747840,0.0,1,12.23076417,12.31737069,12.16340355,12.30774774,46747840,1
6086,F,2017/1/26,12.65,12.68,12.35,12.37,55623649,0.0,1,12.1730265,12.20189534,11.88433812,11.90358402,55623649,-1
6087,F,2017/1/27,12.48,12.54,12.38,12.49,34613088,0.0,1,12.00943642,12.0671741,11.91320696,12.01905937,34613088,1
6088,F,2017/1/30,12.46,12.46,12.28,12.37,39253063,0.0,1,11.99019053,11.99019053,11.8169775,11.90358402,39253063,-1
6089,F,2017/1/31,12.31,12.39,12.19,12.36,46963079,0.0,1,11.84584634,11.92282991,11.73037099,11.89396107,46963079,-1
6090,F,2017/2/1,12.45,12.58,12.22,12.32,44389482,0.0,1,11.98056758,12.10566588,11.75923983,11.85546929,44389482,-1
6091,F,2017/2/2,12.3,12.37,12.23,12.28,29035383,0.0,1,11.83622339,11.90358402,11.76886277,11.8169775,29035383,-1
6092,F,2017/2/3,12.42,12.62,12.39,12.56,38236151,0.0,1,11.95169875,12.14415766,11.92282991,12.08641999,38236151,1
6093,F,2017/2/6,12.55,12.615,12.46,12.52,26916382,0.0,1,12.07679704,12.13934619,11.99019053,12.0479282,26916382,-1
6094,F,2017/2/7,12.5,12.52,12.31,12.34,32913338,0.0,1,12.02868231,12.0479282,11.84584634,11.87471518,32913338,-1
6095,F,2017/2/8,12.34,12.45,12.27,12.38,26400517,0.0,1,11.87471518,11.98056758,11.80735456,11.91320696,26400517,1
6096,F,2017/2/9,12.4,12.47,12.35,12.38,32924624,0.0,1,11.93245285,11.99981347,11.88433812,11.91320696,32924624,-1
6097,F,2017/2/10,12.44,12.51,12.37,12.51,32996465,0.0,1,11.97094464,12.03830526,11.90358402,12.03830526,32996465,1
6098,F,2017/2/13,12.54,12.62,12.48,12.56,24473996,0.0,1,12.0671741,12.14415766,12.00943642,12.08641999,24473996,1
6099,F,2017/2/14,12.64,12.7,12.59,12.65,28352567,0.0,1,12.16340355,12.22114123,12.11528882,12.1730265,28352567,1
6100,F,2017/2/15,12.62,12.64,12.55,12.63,25114438,0.0,1,12.14415766,12.16340355,12.07679704,12.15378061,25114438,-1
6101,F,2017/2/16,12.61,12.64,12.48,12.54,22896525,0.0,1,12.13453472,12.16340355,12.00943642,12.0671741,22896525,-1
6102,F,2017/2/17,12.5,12.58,12.42,12.58,26401755,0.0,1,12.02868231,12.10566588,11.95169875,12.10566588,26401755,1
6103,F,2017/2/21,12.61,12.72,12.61,12.69,29155281,0.0,1,12.13453472,12.24038712,12.13453472,12.21151828,29155281,1
6104,F,2017/2/22,12.66,12.765,12.65,12.67,24787512,0.0,1,12.18264945,12.28369038,12.1730265,12.19227239,24787512,-1
6105,F,2017/2/23,12.7,12.715,12.55,12.56,22520597,0.0,1,12.22114123,12.23557565,12.07679704,12.08641999,22520597,-1
6106,F,2017/2/24,12.51,12.51,12.38,12.47,40817295,0.0,1,12.03830526,12.03830526,11.91320696,11.99981347,40817295,-1
6107,F,2017/2/27,12.49,12.68,12.43,12.66,41706811,0.0,1,12.01905937,12.20189534,11.96132169,12.18264945,41706811,1
6108,F,2017/2/28,12.63,12.659,12.45,12.53,36086533,0.0,1,12.15378061,12.18168715,11.98056758,12.05755115,36086533,-1
6109,F,2017/3/1,12.66,12.75,12.65,12.69,36178588,0.0,1,12.18264945,12.26925596,12.1730265,12.21151828,36178588,1
6110,F,2017/3/2,12.72,12.745,12.58,12.66,33244226,0.0,1,12.24038712,12.26444449,12.10566588,12.18264945,33244226,-1
6111,F,2017/3/3,12.66,12.71,12.53,12.65,30493532,0.0,1,12.18264945,12.23076417,12.05755115,12.1730265,30493532,-1
6112,F,2017/3/6,12.58,12.6,12.5,12.52,28753623,0.0,1,12.10566588,12.12491177,12.02868231,12.0479282,28753623,-1
6113,F,2017/3/7,12.51,12.525,12.42,12.46,25875059,0.0,1,12.03830526,12.05273968,11.95169875,11.99019053,25875059,-1
6114,F,2017/3/8,12.5,12.64,12.46,12.53,27327834,0.0,1,12.02868231,12.16340355,11.99019053,12.05755115,27327834,1
6115,F,2017/3/9,12.54,12.54,12.4,12.5,29149095,0.0,1,12.0671741,12.0671741,11.93245285,12.02868231,29149095,-1
6116,F,2017/3/10,12.55,12.63,12.47,12.53,34862876,0.0,1,12.07679704,12.15378061,11.99981347,12.05755115,34862876,1
6117,F,2017/3/13,12.56,12.63,12.5,12.54,22625831,0.0,1,12.08641999,12.15378061,12.02868231,12.0671741,22625831,1
6118,F,2017/3/14,12.51,12.56,12.45,12.55,26956658,0.0,1,12.03830526,12.08641999,11.98056758,12.07679704,26956658,1
6119,F,2017/3/15,12.56,12.65,12.52,12.65,34296197,0.0,1,12.08641999,12.1730265,12.0479282,12.1730265,34296197,1
6120,F,2017/3/16,12.65,12.72,12.59,12.7,28954694,0.0,1,12.1730265,12.24038712,12.11528882,12.22114123,28954694,1
6121,F,2017/3/17,12.74,12.74,12.45,12.48,54929115,0.0,1,12.25963301,12.25963301,11.98056758,12.00943642,54929115,-1
6122,F,2017/3/20,12.48,12.49,12.25,12.28,45329650,0.0,1,12.00943642,12.01905937,11.78810867,11.8169775,45329650,-1
6123,F,2017/3/21,12.3,12.32,11.7,11.72,101559879,0.0,1,11.83622339,11.85546929,11.25884664,11.27809254,101559879,-1
6124,F,2017/3/22,11.78,11.83,11.62,11.77,71107861,0.0,1,11.33583021,11.38394494,11.18186308,11.32620726,71107861,1
6125,F,2017/3/23,11.57,11.75,11.5,11.67,71209260,0.0,1,11.13374835,11.30696137,11.06638773,11.22997781,71209260,-1
6126,F,2017/3/24,11.66,11.765,11.55,11.62,43769957,0.0,1,11.22035486,11.32139579,11.11450246,11.18186308,43769957,-1
6127,F,2017/3/27,11.51,11.55,11.41,11.46,57713419,0.0,1,11.07601067,11.11450246,10.97978121,11.02789594,57713419,-1
6128,F,2017/3/28,11.51,11.8,11.48,11.65,57621015,0.0,1,11.07601067,11.3550761,11.04714184,11.21073191,57621015,1
6129,F,2017/3/29,11.73,11.76,11.64,11.68,35795737,0.0,1,11.28771548,11.31658432,11.20110897,11.23960075,35795737,1
