None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
6342,FB,2016/12/27,116.96,118.68,116.864,118.01,12051481,0.0,1,116.96,118.68,116.864,118.01,12051481,0
6343,FB,2016/12/28,118.19,118.25,116.65,116.92,12087377,0.0,1,118.19,118.25,116.65,116.92,12087377,-1
6344,FB,2016/12/29,117.0,117.531,116.06,116.35,9934873,0.0,1,117.0,117.531,116.06,116.35,9934873,-1
6345,FB,2016/12/30,116.595,116.83,114.7739,115.05,18684106,0.0,1,116.595,116.83,114.7739,115.05,18684106,-1
6346,FB,2017/1/3,116.03,117.84,115.51,116.86,20663912,0.0,1,116.03,117.84,115.51,116.86,20663912,1
6347,FB,2017/1/4,117.55,119.66,117.29,118.69,19630932,0.0,1,117.55,119.66,117.29,118.69,19630932,1
6348,FB,2017/1/5,118.86,120.95,118.3209,120.67,19492150,0.0,1,118.86,120.95,118.3209,120.67,19492150,1
6349,FB,2017/1/6,120.98,123.88,120.03,123.41,28545263,0.0,1,120.98,123.88,120.03,123.41,28545263,1
6350,FB,2017/1/9,123.55,125.43,123.04,124.9,22880360,0.0,1,123.55,125.43,123.04,124.9,22880360,1
6351,FB,2017/1/10,124.82,125.5,124.28,124.35,17324590,0.0,1,124.82,125.5,124.28,124.35,17324590,-1
6352,FB,2017/1/11,124.35,126.12,124.06,126.09,18356523,0.0,1,124.35,126.12,124.06,126.09,18356523,1
6353,FB,2017/1/12,125.61,126.73,124.8,126.62,18653914,0.0,1,125.61,126.73,124.8,126.62,18653914,1
6354,FB,2017/1/13,127.49,129.27,127.37,128.34,24884325,0.0,1,127.49,129.27,127.37,128.34,24884325,1
6355,FB,2017/1/17,128.04,128.34,127.4,127.87,15294460,0.0,1,128.04,128.34,127.4,127.87,15294460,-1
6356,FB,2017/1/18,128.41,128.43,126.84,127.92,13145852,0.0,1,128.41,128.43,126.84,127.92,13145852,1
6357,FB,2017/1/19,128.23,128.35,127.45,127.55,12195465,0.0,1,128.23,128.35,127.45,127.55,12195465,-1
6358,FB,2017/1/20,128.1,128.48,126.78,127.04,19097223,0.0,1,128.1,128.48,126.78,127.04,19097223,-1
6359,FB,2017/1/23,127.31,129.25,126.95,128.93,16593563,0.0,1,127.31,129.25,126.95,128.93,16593563,1
6360,FB,2017/1/24,129.38,129.9,128.38,129.37,15162724,0.0,1,129.38,129.9,128.38,129.37,15162724,1
6361,FB,2017/1/25,130.0,131.74,129.77,131.48,18777314,0.0,1,130.0,131.74,129.77,131.48,18777314,1
6362,FB,2017/1/26,131.63,133.14,131.4401,132.78,20020141,0.0,1,131.63,133.14,131.4401,132.78,20020141,1
6363,FB,2017/1/27,132.68,132.95,131.08,132.18,19539514,0.0,1,132.68,132.95,131.08,132.18,19539514,-1
6364,FB,2017/1/30,131.58,131.58,129.6,130.98,18956095,0.0,1,131.58,131.58,129.6,130.98,18956095,-1
6365,FB,2017/1/31,130.17,130.66,129.5157,130.32,19790484,0.0,1,130.17,130.66,129.5157,130.32,19790484,-1
6366,FB,2017/2/1,132.25,133.49,130.68,133.23,50139775,0.0,1,132.25,133.49,130.68,133.23,50139775,1
6367,FB,2017/2/2,133.22,135.49,130.4,130.84,54366447,0.0,1,133.22,135.49,130.4,130.84,54366447,-1
6368,FB,2017/2/3,131.24,132.85,130.76,130.98,24804890,0.0,1,131.24,132.85,130.76,130.98,24804890,1
6369,FB,2017/2/6,130.98,132.06,130.3,132.06,17058494,0.0,1,130.98,132.06,130.3,132.06,17058494,1
6370,FB,2017/2/7,132.24,133.0,131.661,131.84,14596449,0.0,1,132.24,133.0,131.661,131.84,14596449,-1
6371,FB,2017/2/8,132.6,134.44,132.44,134.2,22390556,0.0,1,132.6,134.44,132.44,134.2,22390556,1
6372,FB,2017/2/9,134.49,134.5,133.31,134.14,16470609,0.0,1,134.49,134.5,133.31,134.14,16470609,-1
6373,FB,2017/2/10,134.1,134.94,133.68,134.19,15061939,0.0,1,134.1,134.94,133.68,134.19,15061939,1
6374,FB,2017/2/13,134.6975,134.6975,133.7,134.05,13526221,0.0,1,134.6975,134.6975,133.7,134.05,13526221,-1
6375,FB,2017/2/14,134.1,134.23,132.55,133.85,14364877,0.0,1,134.1,134.23,132.55,133.85,14364877,-1
6376,FB,2017/2/15,133.45,133.7,132.66,133.44,13226534,0.0,1,133.45,133.7,132.66,133.44,13226534,-1
6377,FB,2017/2/16,133.07,133.87,133.022,133.84,12831092,0.0,1,133.07,133.87,133.022,133.84,12831092,1
6378,FB,2017/2/17,133.5,134.0912,133.17,133.53,12276490,0.0,1,133.5,134.0912,133.17,133.53,12276490,-1
6379,FB,2017/2/21,133.5,133.91,132.9,133.72,14759109,0.0,1,133.5,133.91,132.9,133.72,14759109,1
6380,FB,2017/2/22,133.6,136.79,133.46,136.12,27360092,0.0,1,133.6,136.79,133.46,136.12,27360092,1
