None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
6894,GE,2016/12/27,31.89,32.045,31.85,31.9,15655819,0.0,1,31.06530135,31.21629294,31.02633578,31.07504275,15655819,0
6895,GE,2016/12/28,31.84,31.97,31.67,31.7,18885134,0.0,1,31.01659439,31.14323249,30.85099071,30.88021489,18885134,-1
6896,GE,2016/12/29,31.74,31.8769,31.7,31.71,16092077,0.0,1,30.91918046,31.05254013,30.88021489,30.88995628,16092077,1
6897,GE,2016/12/30,31.63,31.795,31.51,31.6,25452804,0.0,1,30.81202514,30.97275812,30.69512843,30.78280096,25452804,-1
6898,GE,2017/1/3,31.67,31.835,31.4,31.69,32149537,0.0,1,30.85099071,31.01172369,30.58797311,30.8704735,32149537,1
6899,GE,2017/1/4,31.75,31.83,31.62,31.7,21438996,0.0,1,30.92892185,31.006853,30.80228375,30.88021489,21438996,1
6900,GE,2017/1/5,31.57,31.75,31.31,31.52,25856523,0.0,1,30.75357679,30.92892185,30.50030058,30.70486982,25856523,-1
6901,GE,2017/1/6,31.58,31.77,31.36,31.61,22120800,0.0,1,30.76331818,30.94840464,30.54900754,30.79254236,22120800,1
6902,GE,2017/1/9,31.64,31.66,31.43,31.46,21262120,0.0,1,30.82176653,30.84124932,30.61719729,30.64642147,21262120,-1
6903,GE,2017/1/10,31.46,31.62,31.37,31.37,27202526,0.0,1,30.64642147,30.80228375,30.55874893,30.55874893,27202526,-1
6904,GE,2017/1/11,31.24,31.52,31.24,31.47,28385102,0.0,1,30.43211083,30.70486982,30.43211083,30.65616286,28385102,1
6905,GE,2017/1/12,31.45,31.47,31.13,31.39,29915878,0.0,1,30.63668007,30.65616286,30.32495551,30.57823172,29915878,-1
6906,GE,2017/1/13,31.36,31.45,31.25,31.36,24319257,0.0,1,30.54900754,30.63668007,30.44185222,30.54900754,24319257,-1
6907,GE,2017/1/17,31.17,31.45,31.16,31.27,28827307,0.0,1,30.36392108,30.63668007,30.35417968,30.461335,28827307,-1
6908,GE,2017/1/18,31.21,31.335,31.13,31.23,24701160,0.0,1,30.40288665,30.52465406,30.32495551,30.42236943,24701160,-1
6909,GE,2017/1/19,31.25,31.34,31.05,31.21,37697856,0.0,1,30.44185222,30.52952475,30.24702436,30.40288665,37697856,-1
6910,GE,2017/1/20,30.76,30.9,30.3,30.53,83262893,0.0,1,29.96452398,30.10090347,29.51641991,29.74047194,83262893,-1
6911,GE,2017/1/23,30.5,30.51,29.58,29.75,59089325,0.0,1,29.71124777,29.72098916,28.81503964,28.98064331,59089325,-1
6912,GE,2017/1/24,29.86,30.06,29.82,30.0,33686501,0.0,1,29.08779863,29.28262649,29.04883306,29.22417813,33686501,1
6913,GE,2017/1/25,30.42,30.47,30.215,30.37,38131702,0.0,1,29.63331662,29.68202359,29.43361807,29.58460966,38131702,1
6914,GE,2017/1/26,30.44,30.49,30.13,30.32,26766037,0.0,1,29.65279941,29.70150637,29.35081624,29.5359027,26766037,-1
6915,GE,2017/1/27,30.4,30.44,29.935,30.01,30001614,0.0,1,29.61383384,29.65279941,29.16085908,29.23391952,30001614,-1
6916,GE,2017/1/30,29.96,30.1,29.77,29.96,26211305,0.0,1,29.18521256,29.32159206,29.0001261,29.18521256,26211305,-1
6917,GE,2017/1/31,29.85,29.9,29.5,29.7,38700781,0.0,1,29.07805724,29.1267642,28.73710849,28.93193635,38700781,-1
6918,GE,2017/2/1,29.73,29.81,29.56,29.69,25681087,0.0,1,28.96116053,29.03909167,28.79555685,28.92219496,25681087,-1
6919,GE,2017/2/2,29.58,29.71,29.5,29.68,21709543,0.0,1,28.81503964,28.94167774,28.73710849,28.91245356,21709543,-1
6920,GE,2017/2/3,29.79,29.8,29.54,29.7,31103665,0.0,1,29.01960888,29.02935028,28.77607407,28.93193635,31103665,1
6921,GE,2017/2/6,29.68,29.75,29.57,29.66,23722777,0.0,1,28.91245356,28.98064331,28.80529824,28.89297078,23722777,-1
6922,GE,2017/2/7,29.75,29.81,29.53,29.56,23775769,0.0,1,28.98064331,29.03909167,28.76633267,28.79555685,23775769,-1
6923,GE,2017/2/8,29.51,29.54,29.26,29.43,32160231,0.0,1,28.74684989,28.77607407,28.50331507,28.66891875,32160231,-1
6924,GE,2017/2/9,29.52,29.7,29.46,29.59,21665972,0.0,1,28.75659128,28.93193635,28.69814292,28.82478103,21665972,1
6925,GE,2017/2/10,29.74,29.75,29.55,29.72,22787056,0.0,1,28.97090192,28.98064331,28.78581546,28.95141913,22787056,1
6926,GE,2017/2/13,29.88,30.06,29.73,30.04,37020015,0.0,1,29.10728142,29.28262649,28.96116053,29.2631437,37020015,1
6927,GE,2017/2/14,30.13,30.28,29.92,30.28,35026059,0.0,1,29.35081624,29.49693713,29.14624699,29.49693713,35026059,1
6928,GE,2017/2/15,30.29,30.35,30.18,30.35,25472282,0.0,1,29.50667852,29.56512688,29.3995232,29.56512688,25472282,1
6929,GE,2017/2/16,30.35,30.47,30.3,30.45,25932515,0.0,1,29.56512688,29.68202359,29.51641991,29.6625408,25932515,1
6930,GE,2017/2/17,30.41,30.44,30.2,30.37,21847825,0.0,1,29.62357523,29.65279941,29.41900598,29.58460966,21847825,-1
6931,GE,2017/2/21,30.41,30.59,30.34,30.52,30238000,0.0,1,29.62357523,29.7989203,29.55538548,29.73073055,30238000,1
6932,GE,2017/2/22,30.52,30.55,30.26,30.33,30124503,0.0,1,29.73073055,29.75995473,29.47745434,29.54564409,30124503,-1
6933,GE,2017/2/23,30.04,30.08,29.85,30.02,28947909,0.24,1,29.49709288,29.53636997,29.31052672,29.47745434,28947909,-1
6934,GE,2017/2/24,29.84,30.19,29.78,30.19,27320073,0.0,1,29.30070745,29.64438196,29.24179181,29.64438196,27320073,1
6935,GE,2017/2/27,30.05,30.1489,29.9,29.94,23551151,0.0,1,29.50691216,29.60402476,29.35962308,29.39890017,23551151,-1
6936,GE,2017/2/28,29.99,30.08,29.67,29.81,39106735,0.0,1,29.44799653,29.53636997,29.13377982,29.27124963,39106735,-1
6937,GE,2017/3/1,29.98,30.35,29.82,30.19,36882966,0.0,1,29.43817725,29.80149031,29.2810689,29.64438196,36882966,1
6938,GE,2017/3/2,30.23,30.23,30.0,30.19,27640045,0.0,1,29.68365905,29.68365905,29.4578158,29.64438196,27640045,-1
6939,GE,2017/3/3,30.19,30.215,30.05,30.12,19994647,0.0,1,29.64438196,29.66893014,29.50691216,29.57564706,19994647,-1
6940,GE,2017/3/6,30.0,30.08,29.92,30.0,23420603,0.0,1,29.4578158,29.53636997,29.37926162,29.4578158,23420603,-1
6941,GE,2017/3/7,29.93,29.985,29.79,29.86,29968418,0.0,1,29.38908089,29.44308689,29.25161109,29.32034599,29968418,-1
6942,GE,2017/3/8,29.89,29.94,29.73,29.8,32308399,0.0,1,29.34980381,29.39890017,29.19269545,29.26143036,32308399,-1
6943,GE,2017/3/9,29.75,29.83,29.56,29.66,25940215,0.0,1,29.212334,29.29088817,29.02576783,29.12396055,25940215,-1
6944,GE,2017/3/10,29.84,30.43,29.63,30.28,59201785,0.0,1,29.30070745,29.88004449,29.09450274,29.73275541,59201785,1
6945,GE,2017/3/13,30.23,30.26,29.79,29.86,30187808,0.0,1,29.68365905,29.71311687,29.25161109,29.32034599,30187808,-1
6946,GE,2017/3/14,29.76,29.79,29.47,29.54,22801581,0.0,1,29.22215327,29.25161109,28.93739438,29.00612929,22801581,-1
6947,GE,2017/3/15,29.55,29.83,29.47,29.76,25142833,0.0,1,29.01594856,29.29088817,28.93739438,29.22215327,25142833,1
6948,GE,2017/3/16,29.8,29.82,29.62,29.75,21207002,0.0,1,29.26143036,29.2810689,29.08468346,29.212334,21207002,-1
6949,GE,2017/3/17,29.85,30.04,29.77,29.88,43638968,0.0,1,29.31052672,29.49709288,29.23197254,29.33998453,43638968,1
6950,GE,2017/3/20,29.9,29.92,29.69,29.74,18877431,0.0,1,29.35962308,29.37926162,29.15341837,29.20251473,18877431,-1
6951,GE,2017/3/21,29.86,29.86,29.34,29.39,26834807,0.0,1,29.32034599,29.32034599,28.80974385,28.85884021,26834807,-1
6952,GE,2017/3/22,29.56,29.71,29.31,29.53,26000688,0.0,1,29.02576783,29.17305691,28.78028603,28.99631002,26000688,1
6953,GE,2017/3/23,29.5,29.73,29.38,29.62,24674960,0.0,1,28.9668522,29.19269545,28.84902094,29.08468346,24674960,1
6954,GE,2017/3/24,29.59,29.81,29.53,29.72,27877534,0.0,1,29.05522565,29.27124963,28.99631002,29.18287618,27877534,1
6955,GE,2017/3/27,29.45,29.51,29.25,29.44,28986703,0.0,1,28.91775584,28.97667147,28.7213704,28.90793657,28986703,-1
6956,GE,2017/3/28,29.31,29.73,29.25,29.62,27833722,0.0,1,28.78028603,29.19269545,28.7213704,29.08468346,27833722,1
6957,GE,2017/3/29,29.52,29.71,29.46,29.68,27558771,0.0,1,28.98649074,29.17305691,28.92757511,29.1435991,27558771,1
6958,GE,2017/3/30,29.66,29.99,29.63,29.87,35961302,0.0,1,29.12396055,29.44799653,29.09450274,29.33016526,35961302,1
6959,GE,2017/3/31,29.86,30.04,29.74,29.8,50796542,0.0,1,29.32034599,29.49709288,29.20251473,29.26143036,50796542,-1
6960,GE,2017/4/3,29.76,30.0,29.745,29.88,29912225,0.0,1,29.22215327,29.4578158,29.20742436,29.33998453,29912225,1
6961,GE,2017/4/4,29.9,30.09,29.7,30.02,25056918,0.0,1,29.35962308,29.54618924,29.16323764,29.47745434,25056918,1
6962,GE,2017/4/5,30.09,30.42,29.95,29.97,25837471,0.0,1,29.54618924,29.87022522,29.40871944,29.42835798,25837471,-1
6963,GE,2017/4/6,30.0,30.175,29.92,29.93,21549950,0.0,1,29.4578158,29.62965306,29.37926162,29.38908089,21549950,-1
6964,GE,2017/4/7,29.92,30.19,29.92,29.99,18973172,0.0,1,29.37926162,29.64438196,29.37926162,29.44799653,18973172,1
6965,GE,2017/4/10,30.07,30.23,29.96,30.01,18505150,0.0,1,29.5265507,29.68365905,29.41853871,29.46763507,18505150,1
6966,GE,2017/4/11,30.0,30.1,29.84,30.04,22035123,0.0,1,29.4578158,29.55600852,29.30070745,29.49709288,22035123,1
6967,GE,2017/4/12,29.88,29.9,29.65,29.77,27041348,0.0,1,29.33998453,29.35962308,29.11414128,29.23197254,27041348,-1
6968,GE,2017/4/13,29.7,29.8,29.55,29.56,19998013,0.0,1,29.16323764,29.26143036,29.01594856,29.02576783,19998013,-1
6969,GE,2017/4/17,29.62,29.7,29.55,29.64,21776555,0.0,1,29.08468346,29.16323764,29.01594856,29.10432201,21776555,1
6970,GE,2017/4/18,29.6,29.9,29.58,29.84,25706585,0.0,1,29.06504492,29.35962308,29.04540638,29.30070745,25706585,1
6971,GE,2017/4/19,29.89,30.06,29.87,30.0,26594394,0.0,1,29.34980381,29.51673143,29.33016526,29.4578158,26594394,1
6972,GE,2017/4/20,30.05,30.54,30.03,30.27,37066028,0.0,1,29.50691216,29.98805648,29.48727361,29.72293614,37066028,1
6973,GE,2017/4/21,30.27,30.38,29.45,29.55,72351353,0.0,1,29.72293614,29.83094813,28.91775584,29.01594856,72351353,-1
6974,GE,2017/4/24,29.85,29.93,29.49,29.55,48585162,0.0,1,29.31052672,29.38908089,28.95703293,29.01594856,48585162,-1
6975,GE,2017/4/25,29.45,29.6,29.32,29.45,39022608,0.0,1,28.91775584,29.06504492,28.79010531,28.91775584,39022608,-1
6976,GE,2017/4/26,29.52,29.55,29.26,29.26,36606030,0.0,1,28.98649074,29.01594856,28.73118967,28.73118967,36606030,-1
6977,GE,2017/4/27,29.29,29.31,29.02,29.08,32777918,0.0,1,28.76064749,28.78028603,28.49552715,28.55444278,32777918,-1
6978,GE,2017/4/28,29.1,29.16,28.93,28.99,23929082,0.0,1,28.57408132,28.63299695,28.4071537,28.46606933,23929082,-1
6979,GE,2017/5/1,29.01,29.17,28.93,28.94,23695689,0.0,1,28.48570788,28.64281623,28.4071537,28.41697297,23695689,-1
