None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
7170,GILD,2016/12/27,73.52,74.8,73.51,73.73,6632942,0.0,1,71.9265263,73.17878356,71.91674304,72.13197476,6632942,0
7171,GILD,2016/12/28,73.61,73.7,72.62,72.77,6387643,0.0,1,72.01457564,72.10262498,71.04603292,71.19278181,6387643,-1
7172,GILD,2016/12/29,72.77,72.85,71.9367,72.13,7533582,0.0,1,71.19278181,71.27104789,70.37754277,70.56665319,7533582,-1
7173,GILD,2016/12/30,72.03,72.26,71.3,71.61,9220862,0.0,1,70.46882059,70.69383556,69.75464262,70.05792367,9220862,-1
7174,GILD,2017/1/3,72.34,74.23,72.18,74.16,10953724,0.0,1,70.77210164,72.62113775,70.61556948,72.55265493,10953724,1
7175,GILD,2017/1/4,74.53,76.98,74.377,76.38,14914161,0.0,1,72.91463555,75.3115342,72.76495167,74.72453861,14914161,1
7176,GILD,2017/1/5,76.84,76.85,75.57,76.01,9413125,0.0,1,75.17456857,75.18435183,73.93209457,74.362558,9413125,-1
7177,GILD,2017/1/6,76.45,76.5,75.41,75.49,8979989,0.0,1,74.79302143,74.84193773,73.77556241,73.85382849,8979989,-1
7178,GILD,2017/1/9,75.93,76.09,75.27,75.84,10165306,0.0,1,74.28429192,74.44082408,73.63859677,74.19624258,10165306,1
7179,GILD,2017/1/10,76.46,76.5,74.93,75.01,8869808,0.0,1,74.80280469,74.84193773,73.30596594,73.38423202,8869808,-1
7180,GILD,2017/1/11,75.52,75.55,73.01,73.77,14165686,0.0,1,73.88317827,73.91252805,71.42758005,72.1711078,14165686,-1
7181,GILD,2017/1/12,73.53,73.68,72.93,73.36,7057690,0.0,1,71.93630956,72.08305846,71.34931397,71.76999414,7057690,-1
7182,GILD,2017/1/13,73.63,73.78,73.0,73.07,8269090,0.0,1,72.03414216,72.18089106,71.41779679,71.48627961,8269090,-1
7183,GILD,2017/1/17,72.92,72.92,71.73,71.91,11706566,0.0,1,71.33953071,71.33953071,70.17532279,70.35142147,11706566,-1
7184,GILD,2017/1/18,72.24,72.47,71.5,72.13,9910026,0.0,1,70.67426904,70.89928402,69.95030782,70.56665319,9910026,1
7185,GILD,2017/1/19,71.816,72.25,71.23,71.57,9810909,0.0,1,70.25945883,70.6840523,69.6861598,70.01879063,9810909,-1
7186,GILD,2017/1/20,71.97,72.0,70.58,71.01,10270332,0.0,1,70.41012103,70.43947081,69.05024791,69.47092808,10270332,-1
7187,GILD,2017/1/23,70.87,71.29,70.3,70.69,9657611,0.0,1,69.33396245,69.74485936,68.77631664,69.15786377,9657611,-1
7188,GILD,2017/1/24,70.6,70.98,69.78,70.25,10912814,0.0,1,69.06981443,69.4415783,68.26758712,68.72740034,10912814,-1
7189,GILD,2017/1/25,70.82,72.34,70.72,71.91,14026510,0.0,1,69.28504615,70.77210164,69.18721355,70.35142147,14026510,1
7190,GILD,2017/1/26,71.78,71.85,71.15,71.22,8580128,0.0,1,70.22423909,70.29272191,69.60789372,69.67637654,8580128,-1
7191,GILD,2017/1/27,71.43,72.1698,71.161,71.26,6939722,0.0,1,69.881825,70.60559056,69.61865531,69.71550958,6939722,1
7192,GILD,2017/1/30,71.0,71.67,70.745,71.51,7242500,0.0,1,69.46114482,70.11662323,69.2116717,69.96009108,7242500,1
7193,GILD,2017/1/31,71.13,72.58,70.99,72.45,10365481,0.0,1,69.5883272,71.00689988,69.45136156,70.8797175,10365481,1
7194,GILD,2017/2/1,72.72,72.88,72.06,72.82,7441835,0.0,1,71.14386552,71.30039767,70.49817037,71.24169811,7441835,1
7195,GILD,2017/2/2,72.61,72.83,71.78,72.25,8814249,0.0,1,71.03624966,71.25148137,70.22423909,70.6840523,8814249,-1
7196,GILD,2017/2/3,72.74,72.75,71.77,72.34,8034271,0.0,1,71.16343203,71.17321529,70.21445583,70.77210164,8034271,1
7197,GILD,2017/2/6,72.02,72.669,71.44,72.39,7634966,0.0,1,70.45903733,71.09397089,69.89160826,70.82101794,7634966,1
7198,GILD,2017/2/7,72.56,73.3,72.41,73.13,13325377,0.0,1,70.98733336,71.71129459,70.84058446,71.54497917,13325377,1
7199,GILD,2017/2/8,67.27,67.27,65.75,66.83,51547414,0.0,1,65.81198891,65.81198891,64.32493341,65.38152547,51547414,-1
7200,GILD,2017/2/9,66.34,66.79,65.38,65.59,23070617,0.0,1,64.90214574,65.34239243,63.9629528,64.16840125,23070617,-1
7201,GILD,2017/2/10,65.85,66.78,65.43,66.36,16208423,0.0,1,64.42276601,65.33260917,64.0118691,64.92171226,16208423,1
7202,GILD,2017/2/13,66.81,67.785,66.5,67.65,15885076,0.0,1,65.36195895,66.31582679,65.0586779,66.18375278,15885076,1
7203,GILD,2017/2/14,68.6,68.67,67.33,67.55,14972621,0.0,1,67.11316246,67.18164528,65.87068846,66.08592018,14972621,-1
7204,GILD,2017/2/15,67.7,69.98,67.6625,69.8,16656620,0.0,1,66.23266908,68.46325232,66.19598185,68.28715364,16656620,1
7205,GILD,2017/2/16,70.0,70.67,69.2601,70.31,10965471,0.0,1,68.48281884,69.13829725,67.75895545,68.7860999,10965471,1
7206,GILD,2017/2/17,70.18,70.79,69.71,69.85,11186926,0.0,1,68.65891752,69.25569637,68.19910431,68.33606994,11186926,-1
7207,GILD,2017/2/21,70.0,70.0,68.83,69.29,11190406,0.0,1,68.48281884,68.48281884,67.33817744,67.78820739,11190406,-1
7208,GILD,2017/2/22,69.11,69.73,68.66,68.83,10073355,0.0,1,67.61210872,68.21867082,67.17186202,67.33817744,10073355,-1
7209,GILD,2017/2/23,68.74,69.525,68.43,69.37,7529059,0.0,1,67.2501281,68.018114,66.94684705,67.86647347,7529059,1
7210,GILD,2017/2/24,69.32,70.07,69.05,69.94,7382357,0.0,1,67.81755717,68.55130166,67.55340916,68.42411928,7382357,1
7211,GILD,2017/2/27,69.82,70.5375,69.8,70.5,6354158,0.0,1,68.30672016,69.00866906,68.28715364,68.97198183,6354158,1
7212,GILD,2017/2/28,70.37,70.94,70.01,70.48,8828777,0.0,1,68.84479945,69.40244526,68.4926021,68.95241531,8828777,-1
7213,GILD,2017/3/1,70.82,70.99,70.02,70.19,9629398,0.0,1,69.28504615,69.45136156,68.50238536,68.66870078,9629398,-1
7214,GILD,2017/3/2,70.0,70.89,70.0,70.53,8672850,0.0,1,68.48281884,69.35352897,68.48281884,69.00133161,8672850,1
7215,GILD,2017/3/3,70.67,70.81,70.22,70.74,6626058,0.0,1,69.13829725,69.27526289,68.69805056,69.20678007,6626058,1
7216,GILD,2017/3/6,70.56,70.6,69.7,70.12,7335858,0.0,1,69.03068139,69.06981443,68.18932105,68.60021796,7335858,-1
7217,GILD,2017/3/7,69.59,69.96,68.78,69.02,9044155,0.0,1,68.08170519,68.4436858,67.28926114,67.52405938,9044155,-1
7218,GILD,2017/3/8,69.02,69.995,68.88,69.7,7379483,0.0,1,67.52405938,68.47792721,67.38709374,68.18932105,7379483,1
7219,GILD,2017/3/9,69.21,69.25,67.81,68.39,13597006,0.0,1,67.70994131,67.74907435,66.34028494,66.90771401,13597006,-1
7220,GILD,2017/3/10,68.57,68.61,67.45,68.19,14480510,0.0,1,67.08381268,67.12294572,65.98808758,66.71204881,14480510,-1
7221,GILD,2017/3/13,68.32,68.35,67.53,68.1,8493496,0.0,1,66.83923119,66.86858097,66.06635366,66.62399947,8493496,-1
7222,GILD,2017/3/14,67.41,68.1,67.4,67.77,6109500,0.52,1,66.45498164,67.1352062,66.44512331,66.80988141,6109500,-1
7223,GILD,2017/3/15,67.97,68.78,67.61,68.47,8312632,0.0,1,67.00704795,67.80557243,66.65214818,67.49996429,8312632,1
7224,GILD,2017/3/16,68.74,68.78,68.21,68.54,6854991,0.0,1,67.76613912,67.80557243,67.24364779,67.56897258,6854991,1
7225,GILD,2017/3/17,68.76,69.88,68.25,69.06,18240956,0.0,1,67.78585577,68.88998838,67.2830811,68.08160558,18240956,1
7226,GILD,2017/3/20,68.94,69.21,68.64,68.71,6287436,0.0,1,67.96330566,68.22948048,67.66755585,67.73656414,6287436,-1
7227,GILD,2017/3/21,68.8,69.075,67.43,67.74,8691531,0.0,1,67.82528908,68.09639307,66.47469829,66.78030643,8691531,-1
7228,GILD,2017/3/22,67.795,68.05,67.505,67.83,5402777,0.0,1,66.83452723,67.08591456,66.54863575,66.86903137,5402777,1
7229,GILD,2017/3/23,67.61,67.92,67.26,67.49,6174908,0.0,1,66.65214818,66.95775631,66.30710674,66.53384826,6174908,-1
7230,GILD,2017/3/24,67.57,67.87,67.2014,67.51,6037791,0.0,1,66.61271487,66.90846468,66.24933694,66.55356491,6037791,1
