None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
7446,GS,2016/12/27,241.95,242.5899,240.4,241.56,1988884,0.0,1,239.6746565,240.3085388,238.139233,239.2883242,1988884,0
7447,GS,2016/12/28,243.69,244.5,240.44,240.65,3052787,0.0,1,241.3982933,242.2006759,238.1788569,238.386882,3052787,-1
7448,GS,2016/12/29,240.75,241.07,236.64,238.18,2619021,0.0,1,238.4859416,238.8029322,234.4145928,235.9401103,2619021,-1
7449,GS,2016/12/30,238.51,240.5,237.4,239.45,2355444,0.0,1,236.2670069,238.2382926,235.1674456,237.198167,2355444,1
7450,GS,2017/1/3,242.7,244.97,237.97,241.57,4384246,0.0,1,240.4176034,242.6662559,235.7320852,239.2982301,4384246,1
7451,GS,2017/1/4,241.44,243.32,240.03,243.13,2728709,0.0,1,239.1694527,241.0317728,237.7727126,240.8435596,2728709,1
7452,GS,2017/1/5,242.72,243.2324,236.78,241.32,3562065,0.0,1,240.4374153,240.9449966,234.5532762,239.0505812,3562065,-1
7453,GS,2017/1/6,242.29,246.2,241.37,244.9,3591079,0.0,1,240.0114591,243.8846887,239.100111,242.5969142,3591079,1
7454,GS,2017/1/9,243.25,244.69,241.47,242.89,3022091,0.0,1,240.9624311,242.3888891,239.1991706,240.6058166,3022091,-1
7455,GS,2017/1/10,240.87,243.44,239.05,242.57,3432904,0.0,1,238.6048131,241.1506443,236.8019287,240.2888259,3432904,-1
7456,GS,2017/1/11,242.77,245.84,242.0,245.76,3532563,0.0,1,240.4869451,243.5280742,239.7241863,243.4488266,3532563,1
7457,GS,2017/1/12,245.06,245.4669,241.57,243.84,4022228,0.0,1,242.7554095,243.1584829,239.2982301,241.5468826,4022228,-1
7458,GS,2017/1/13,245.43,247.77,242.91,244.3,4185828,0.0,1,243.12193,245.4399242,240.6256285,242.0025567,4185828,1
7459,GS,2017/1/17,242.94,243.06,235.61,235.74,6277192,0.0,1,240.6553464,240.7742179,233.3942791,233.5230566,6277192,-1
7460,GS,2017/1/18,236.0,237.69,231.52,234.29,7587514,0.0,1,233.7806115,235.4547184,229.3427422,232.0866926,7587514,-1
7461,GS,2017/1/19,234.07,234.75,230.62,231.41,4561821,0.0,1,231.8687615,232.5423667,228.451206,229.2337767,4561821,-1
7462,GS,2017/1/20,231.62,233.23,230.54,232.2,5207057,0.0,1,229.4418018,231.0366611,228.3719583,230.0163474,5207057,1
7463,GS,2017/1/23,231.86,233.752,230.75,232.67,3135704,0.0,1,229.6795448,231.5537521,228.5799835,230.4819274,3135704,1
7464,GS,2017/1/24,231.86,236.06,230.84,233.68,4448152,0.0,1,229.6795448,233.8400472,228.6691371,231.4824292,4448152,1
7465,GS,2017/1/25,235.53,237.33,234.485,237.25,3716771,0.0,1,233.3150314,235.0981039,232.2798588,235.0188562,3716771,1
7466,GS,2017/1/26,237.47,240.79,237.47,239.58,4194469,0.0,1,235.2367873,238.5255654,235.2367873,237.3269445,4194469,1
7467,GS,2017/1/27,236.9,237.97,236.01,236.95,3253002,0.0,1,234.6721477,235.7320852,233.7905174,234.7216775,3253002,-1
7468,GS,2017/1/30,235.58,236.29,231.52,233.9,3802918,0.0,1,233.3645612,234.0678842,229.3427422,231.7003603,3802918,-1
7469,GS,2017/1/31,232.85,234.35,228.16,229.32,5151196,0.0,1,230.6602347,232.1461284,226.0143403,227.1634314,5151196,-1
7470,GS,2017/2/1,230.51,232.86,229.52,230.67,4024127,0.0,1,228.3422405,230.6701406,227.3615506,228.5007358,4024127,1
7471,GS,2017/2/2,228.51,232.33,227.05,230.41,2775736,0.0,1,226.3610488,230.1451248,224.914779,228.2431809,2775736,-1
7472,GS,2017/2/3,234.52,241.11,234.2,240.95,7377056,0.0,1,232.3145297,238.8425561,231.997539,238.6840607,7377056,1
7473,GS,2017/2/6,239.6,243.65,239.17,239.98,4638555,0.0,1,237.3467564,241.3586694,236.9208002,237.7231828,4638555,-1
7474,GS,2017/2/7,241.15,241.44,239.39,239.62,2660079,0.0,1,238.8821799,239.1694527,237.1387313,237.3665683,2660079,-1
7475,GS,2017/2/8,238.3,238.94,236.31,237.73,2743424,0.0,1,236.0589818,236.6929631,234.0876962,235.4943422,2743424,-1
7476,GS,2017/2/9,238.8,243.2906,237.42,241.55,3550836,0.0,1,236.5542797,241.0026493,235.1872575,239.2784182,3550836,1
7477,GS,2017/2/10,243.37,244.16,241.23,242.72,3072771,0.0,1,241.0813026,241.8638733,238.9614276,240.4374153,3072771,1
7478,GS,2017/2/13,244.49,247.48,244.49,246.27,2998225,0.0,1,242.1907699,245.1526514,242.1907699,243.9540304,2998225,1
