None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
7722,HD,2016/12/27,134.76,135.72,134.71,135.26,2254748,0.0,1,132.3870327,133.3301282,132.3379131,132.8782282,2254748,0
7723,HD,2016/12/28,135.57,135.86,134.66,135.07,3369386,0.0,1,133.1827695,133.4676629,132.2887935,132.6915739,3369386,-1
7724,HD,2016/12/29,135.02,135.8499,134.63,135.1,2777885,0.0,1,132.6424544,133.4577408,132.2593218,132.7210457,2777885,1
7725,HD,2016/12/30,135.64,135.82,133.83,134.08,4149140,0.0,1,133.2515369,133.4283673,131.4734089,131.7190067,4149140,-1
7726,HD,2017/1/3,135.1,135.51,133.589,134.31,5300410,0.0,1,132.7210457,133.123826,131.2366526,131.9449566,5300410,1
7727,HD,2017/1/4,134.34,135.94,134.21,135.5,4055284,0.0,1,131.9744284,133.5462542,131.8467175,133.1140021,4055284,1
7728,HD,2017/1/5,134.98,135.46,133.7801,133.9,3821073,0.0,1,132.6031587,133.0747065,131.4243876,131.5421763,3821073,-1
7729,HD,2017/1/6,133.97,134.33,133.05,133.53,3827482,0.0,1,131.6109436,131.9646045,130.7071438,131.1786915,3827482,-1
7730,HD,2017/1/9,133.22,134.76,133.14,134.31,4310227,0.0,1,130.8741503,132.3870327,130.795559,131.9449566,4310227,1
7731,HD,2017/1/10,134.0,136.38,133.77,136.1,5928339,0.0,1,131.6404154,133.9785063,131.4144654,133.7034368,5928339,1
7732,HD,2017/1/11,136.1,136.385,134.74,135.7,4643728,0.0,1,133.7034368,133.9834183,132.3673848,133.3104803,4643728,-1
7733,HD,2017/1/12,135.51,135.53,133.94,135.07,3600181,0.0,1,133.123826,133.1434739,131.5814719,132.6915739,3600181,-1
7734,HD,2017/1/13,134.92,135.75,134.76,135.04,3117703,0.0,1,132.5442152,133.3595999,132.3870327,132.6621022,3117703,-1
7735,HD,2017/1/17,135.09,136.48,134.76,135.93,3976936,0.0,1,132.7112217,134.0767455,132.3870327,133.5364303,3976936,1
7736,HD,2017/1/18,135.9,136.295,134.92,136.16,3869678,0.0,1,133.5069586,133.8950031,132.5442152,133.7623803,3869678,1
7737,HD,2017/1/19,136.0,136.78,134.93,135.39,5078666,0.0,1,133.6051977,134.3714628,132.5540392,133.0059391,5078666,-1
7738,HD,2017/1/20,135.26,136.0,134.6,135.6,4853702,0.0,1,132.8782282,133.6051977,132.2298501,133.2122412,4853702,1
7739,HD,2017/1/23,135.31,138.27,135.0,138.07,7055951,0.0,1,132.9273478,135.8352256,132.6228065,135.6387474,7055951,1
7740,HD,2017/1/24,137.88,138.38,137.3,138.06,4055080,0.0,1,135.4520931,135.9432887,134.8823062,135.6289235,4055080,-1
7741,HD,2017/1/25,138.45,139.37,137.43,137.48,3631714,0.0,1,136.012056,136.9158559,135.0100171,135.0591366,3631714,-1
7742,HD,2017/1/26,138.01,139.18,137.71,138.46,2931491,0.0,1,135.5798039,136.7292016,135.2850866,136.0218799,2931491,1
7743,HD,2017/1/27,138.8,138.83,137.7,138.33,3149024,0.0,1,136.3558929,136.3853647,135.2752627,135.8941691,3149024,-1
7744,HD,2017/1/30,137.99,138.49,136.86,138.47,2704899,0.0,1,135.5601561,136.0513517,134.4500541,136.0317039,2704899,1
7745,HD,2017/1/31,137.63,138.615,136.85,137.58,3226774,0.0,1,135.2064953,136.1741506,134.4402302,135.1573757,3226774,-1
7746,HD,2017/2/1,137.66,137.96,136.53,137.44,2968601,0.0,1,135.235967,135.5306844,134.125865,135.019841,2968601,-1
7747,HD,2017/2/2,137.47,137.55,136.56,136.95,2197649,0.0,1,135.0493127,135.127904,134.1553367,134.5384693,2197649,-1
7748,HD,2017/2/3,137.26,138.47,136.97,137.98,2653721,0.0,1,134.8430106,136.0317039,134.5581171,135.5503322,2653721,1
7749,HD,2017/2/6,137.43,137.9,136.45,136.49,3863165,0.0,1,135.0100171,135.4717409,134.0472737,134.0865694,3863165,-1
7750,HD,2017/2/7,137.16,137.7,136.33,136.65,3239029,0.0,1,134.7447714,135.2752627,133.9293868,134.2437519,3239029,1
7751,HD,2017/2/8,136.89,137.91,136.82,137.88,2882742,0.0,1,134.4795258,135.4815648,134.4107584,135.4520931,2882742,1
7752,HD,2017/2/9,137.78,139.15,137.41,138.71,2931873,0.0,1,135.353854,136.6997298,134.9903692,136.2674777,2931873,1
7753,HD,2017/2/10,138.6,140.57,138.245,139.85,3296963,0.0,1,136.1594147,138.0947253,135.8106658,137.3874037,3296963,1
7754,HD,2017/2/13,140.48,140.65,139.05,139.87,2753068,0.0,1,138.0063101,138.1733166,136.6014907,137.4070515,2753068,1
7755,HD,2017/2/14,139.95,141.365,139.34,141.36,4775167,0.0,1,137.4856428,138.8757263,136.8863842,138.8708143,4775167,1
7756,HD,2017/2/15,141.27,142.66,140.95,142.19,4343541,0.0,1,138.7823991,140.1479228,138.4680339,139.686199,4343541,1
7757,HD,2017/2/16,142.39,142.985,140.9,141.54,4295811,0.0,1,139.8826772,140.4671999,138.4189144,139.0476447,4295811,-1
7758,HD,2017/2/17,141.36,143.12,141.0,143.0,5105647,0.0,1,138.8708143,140.5998228,138.5171535,140.4819358,5105647,1
7759,HD,2017/2/21,145.6,145.65,143.25,145.02,9274668,0.0,1,143.0361528,143.0852724,140.7275336,142.466366,9274668,1
7760,HD,2017/2/22,145.05,145.47,143.97,145.25,5037762,0.0,1,142.4958377,142.908442,141.4348552,142.6923159,5037762,1
7761,HD,2017/2/23,146.11,146.33,144.51,144.71,4184046,0.0,1,143.5371723,143.7532984,141.9653465,142.1618247,4184046,-1
7762,HD,2017/2/24,144.65,146.0799,144.65,145.95,3516680,0.0,1,142.1028812,143.5076023,142.1028812,143.3799897,3516680,1
7763,HD,2017/2/27,145.87,146.01,144.8,145.3,4388414,0.0,1,143.3013984,143.4389332,142.2502399,142.7414355,4388414,-1
7764,HD,2017/2/28,144.98,145.63,144.465,144.91,4211949,0.0,1,142.4270703,143.0656246,141.9211389,142.3583029,4211949,-1
7765,HD,2017/3/1,146.72,147.6999,145.891,146.68,6213540,0.0,1,144.1364309,145.099076,143.3220287,144.0971353,6213540,1
7766,HD,2017/3/2,147.08,148.23,146.3886,147.95,4053352,0.0,1,144.4900917,145.6198416,143.8108665,145.3447721,4053352,1
7767,HD,2017/3/3,148.12,148.26,146.82,147.81,3413398,0.0,1,145.5117785,145.6493133,144.23467,145.2072373,3413398,-1
7768,HD,2017/3/6,147.13,147.51,146.58,147.13,3998026,0.0,1,144.5392113,144.9125199,143.9988962,144.5392113,3998026,-1
7769,HD,2017/3/7,146.33,146.95,145.83,146.02,3995889,0.89,1,144.6294827,145.2422776,144.1352933,144.3230852,3995889,-1
7770,HD,2017/3/8,146.22,147.12,145.92,146.92,3614479,0.0,1,144.520761,145.410302,144.2242474,145.2126262,3614479,1
7771,HD,2017/3/9,147.08,147.16,146.53,146.62,3594694,0.0,1,145.3707669,145.4498372,144.8271585,144.9161126,3594694,-1
7772,HD,2017/3/10,147.24,147.46,146.45,146.85,3122443,0.0,1,145.5289075,145.7463508,144.7480882,145.1434397,3122443,1
7773,HD,2017/3/13,147.33,147.67,146.5,147.43,2933276,0.0,1,145.6178616,145.9539104,144.7975071,145.7166995,2933276,1
7774,HD,2017/3/14,147.27,147.59,146.46,147.16,3272706,0.0,1,145.5585589,145.8748401,144.757972,145.4498372,3272706,-1
7775,HD,2017/3/15,147.35,148.38,146.76,147.95,3670513,0.0,1,145.6376292,146.6556594,145.0544856,146.2306565,3670513,1
7776,HD,2017/3/16,148.4,149.19,148.01,148.73,3544464,0.0,1,146.675427,147.4562463,146.2899592,147.001592,3544464,1
7777,HD,2017/3/17,149.4,149.99,148.13,149.6,9001961,0.0,1,147.6638059,148.2469494,146.4085647,147.8614817,9001961,1
7778,HD,2017/3/20,149.38,149.59,147.7,147.8,5906058,0.0,1,147.6440383,147.8515979,145.9835618,146.0823997,5906058,-1
7779,HD,2017/3/21,148.33,148.7,146.26,146.61,4530019,0.0,1,146.6062405,146.9719407,144.5602962,144.9062288,4530019,-1
7780,HD,2017/3/22,146.73,147.93,146.06,147.36,3169038,0.0,1,145.0248343,146.2108889,144.3626204,145.647513,3169038,1
7781,HD,2017/3/23,147.28,148.41,147.03,147.99,3219352,0.0,1,145.5684426,146.6853108,145.3213479,146.2701917,3219352,1
7782,HD,2017/3/24,147.85,150.15,147.01,147.71,4735350,0.0,1,146.1318186,148.4050901,145.3015803,145.9934456,4735350,-1
7783,HD,2017/3/27,147.07,147.68,146.26,146.87,2943006,0.0,1,145.3608831,145.9637942,144.5602962,145.1632073,2943006,-1
7784,HD,2017/3/28,147.29,147.35,145.94,147.2,4635519,0.0,1,145.5783264,145.6376292,144.2440149,145.4893723,4635519,1
7785,HD,2017/3/29,146.37,147.42,145.96,147.04,3729973,0.0,1,144.6690179,145.7068157,144.2637825,145.3312317,3729973,-1
7786,HD,2017/3/30,146.72,147.38,146.43,146.95,2450781,0.0,1,145.0149505,145.6672805,144.7283206,145.2422776,2450781,-1
7787,HD,2017/3/31,146.87,147.18,146.65,146.83,3248666,0.0,1,145.1632073,145.4696048,144.9457639,145.1236721,3248666,-1
7788,HD,2017/4/3,146.94,147.2005,146.09,146.62,3775283,0.0,1,145.2323938,145.4898665,144.3922718,144.9161126,3775283,-1
7789,HD,2017/4/4,146.5,146.9,146.05,146.34,3124200,0.0,1,144.7975071,145.1928587,144.3527366,144.6393665,3124200,-1
7790,HD,2017/4/5,146.63,148.44,146.58,146.64,3390363,0.0,1,144.9259964,146.7149622,144.8765774,144.9358802,3390363,1
7791,HD,2017/4/6,147.04,147.96,147.0,147.24,2699679,0.0,1,145.3312317,146.2405403,145.2916966,145.5289075,2699679,1
7792,HD,2017/4/7,147.1,147.8,146.9,147.13,2869120,0.0,1,145.3905344,146.0823997,145.1928587,145.4201858,2869120,-1
7793,HD,2017/4/10,146.96,148.995,146.75,148.21,5044458,0.0,1,145.2521614,147.2635124,145.0446018,146.487635,5044458,1
7794,HD,2017/4/11,147.91,148.65,147.1,148.2,2844794,0.0,1,146.1911213,146.9225217,145.3905344,146.4777512,2844794,-1
7795,HD,2017/4/12,147.42,147.57,146.367,146.54,4445599,0.0,1,145.7068157,145.8550725,144.6660527,144.8370423,4445599,-1
7796,HD,2017/4/13,146.42,147.01,145.87,145.91,2346886,0.0,1,144.7184368,145.3015803,144.1748284,144.2143636,2346886,-1
7797,HD,2017/4/17,145.9,147.31,145.76,147.31,3467650,0.0,1,144.2044798,145.598094,144.0661067,145.598094,3467650,1
7798,HD,2017/4/18,147.06,148.18,146.77,147.76,2969413,0.0,1,145.3509993,146.4579836,145.0643694,146.0428645,2969413,1
7799,HD,2017/4/19,147.93,148.4,147.02,147.22,3460975,0.0,1,146.2108889,146.675427,145.3114641,145.5091399,3460975,-1
7800,HD,2017/4/20,147.66,149.05,147.44,148.72,3700195,0.0,1,145.9440266,147.3178733,145.7265833,146.9917082,3700195,1
7801,HD,2017/4/21,148.49,150.146,148.4,150.0,5019927,0.0,1,146.7643811,148.4011365,146.675427,148.2568332,5019927,1
7802,HD,2017/4/24,151.08,152.0601,150.85,151.89,5077174,0.0,1,149.3242824,150.2929926,149.0969553,150.1248693,5077174,1
7803,HD,2017/4/25,152.79,154.65,152.79,153.03,5481462,0.0,1,151.0144103,152.8527951,151.0144103,151.2516213,5481462,1
7804,HD,2017/4/26,153.11,154.8076,152.4,154.22,4825708,0.0,1,151.3306916,153.0085636,150.6289426,152.4277921,4825708,1
7805,HD,2017/4/27,154.69,156.27,153.89,156.12,5352201,0.0,1,152.8923302,154.4539688,152.1016271,154.305712,5352201,1
7806,HD,2017/4/28,156.01,156.25,154.102,156.1,4959594,0.0,1,154.1969903,154.4342013,152.3111634,154.2859444,4959594,-1
7807,HD,2017/5/1,156.22,156.27,154.21,154.21,3126074,0.0,1,154.4045499,154.4539688,152.4179083,152.4179083,3126074,-1
7808,HD,2017/5/2,154.49,155.16,153.76,154.95,3176250,0.0,1,152.6946544,153.3568683,151.9731378,153.1493087,3176250,1
7809,HD,2017/5/3,155.16,155.39,154.59,155.0,2417489,0.0,1,153.3568683,153.5841954,152.7934923,153.1987277,2417489,1
7810,HD,2017/5/4,155.46,155.64,154.26,154.86,3228483,0.0,1,153.653382,153.8312902,152.4673273,153.0603546,3228483,-1
7811,HD,2017/5/5,155.34,155.75,154.09,155.73,2469270,0.0,1,153.5347765,153.9400118,152.2993029,153.9202443,2469270,1
7812,HD,2017/5/8,155.85,157.16,155.49,156.89,3181370,0.0,1,154.0388497,155.3336261,153.6830333,155.0667638,3181370,1
7813,HD,2017/5/9,157.04,157.74,156.29,157.68,2990161,0.0,1,155.2150206,155.9068858,154.4737364,155.8475831,2990161,1
7814,HD,2017/5/10,157.52,158.15,157.3,158.13,2602623,0.0,1,155.6894425,156.3121212,155.4719991,156.2923536,2602623,1
7815,HD,2017/5/11,157.35,157.7,155.33,156.2,3621071,0.0,1,155.521418,155.8673507,153.5248927,154.3847823,3621071,-1
7816,HD,2017/5/12,156.39,157.2,155.75,156.92,2865427,0.0,1,154.5725743,155.3731612,153.9400118,155.0964151,2865427,1
7817,HD,2017/5/15,157.28,157.84,156.66,157.33,5830734,0.0,1,155.4522315,156.0057237,154.8394366,155.5016505,5830734,1
7818,HD,2017/5/16,160.11,160.86,158.05,158.26,10088813,0.0,1,158.2493438,158.9906279,156.2132833,156.4208428,10088813,1
7819,HD,2017/5/17,157.08,157.3,155.89,156.09,5901399,0.0,1,155.2545557,155.4719991,154.0783849,154.2760606,5901399,-1
7820,HD,2017/5/18,155.48,156.665,155.24,155.7,4579011,0.0,1,153.6731495,154.8443785,153.4359386,153.8905929,4579011,-1
7821,HD,2017/5/19,156.04,156.74,155.32,156.3,4744466,0.0,1,154.2266417,154.9185069,153.5150089,154.4836202,4744466,1
7822,HD,2017/5/22,156.49,157.0,155.8,155.96,3773230,0.0,1,154.6714122,155.1754854,153.9894308,154.1475714,3773230,-1
7823,HD,2017/5/23,155.91,156.43,154.68,154.83,4506292,0.0,1,154.0981524,154.6121095,152.8824464,153.0307033,4506292,-1
7824,HD,2017/5/24,154.7,155.43,153.29,155.0,4558682,0.0,1,152.902214,153.6237306,151.5085998,153.1987277,4558682,1
7825,HD,2017/5/25,156.2,156.69,155.35,156.46,3101440,0.0,1,154.3847823,154.869088,153.5446603,154.6417608,3101440,1
7826,HD,2017/5/26,156.1,156.42,154.64,154.9,4269347,0.0,1,154.2859444,154.6022257,152.8429113,153.0998898,4269347,-1
7827,HD,2017/5/30,154.0,154.56,153.52,153.88,3453667,0.89,1,153.090692,153.6473854,152.6135262,152.9714005,3453667,-1
7828,HD,2017/5/31,154.36,154.38,153.28,153.51,6735024,0.0,1,153.4485663,153.4684482,152.3749433,152.6035852,6735024,-1
7829,HD,2017/6/1,153.52,155.16,152.74,155.15,3366635,0.0,1,152.6135262,154.2438426,151.8381318,154.2339017,3366635,1
7830,HD,2017/6/2,154.79,155.86,154.42,155.35,3477573,0.0,1,153.8760273,154.9397094,153.508212,154.4327208,3477573,1
7831,HD,2017/6/5,155.53,155.62,154.23,154.79,2649720,0.0,1,154.6116579,154.7011265,153.3193339,153.8760273,2649720,-1
7832,HD,2017/6/6,154.44,154.66,153.65,154.2,3248568,0.0,1,153.5280939,153.7467949,152.7427586,153.289511,3248568,-1
7833,HD,2017/6/7,154.69,155.3,154.35,154.96,3158036,0.0,1,153.7766178,154.383016,153.4386254,154.0450236,3158036,1
7834,HD,2017/6/8,155.16,155.2335,153.3801,153.5,4013999,0.0,1,154.2438426,154.3169086,152.4744522,152.5936443,4013999,-1
7835,HD,2017/6/9,154.0,154.0,152.78,152.96,4704273,0.0,1,153.090692,153.090692,151.8778956,152.0568327,4704273,-1
7836,HD,2017/6/12,152.8,153.3,151.73,152.18,4468847,0.0,1,151.8977775,152.3948252,150.8340954,151.2814383,4468847,-1
7837,HD,2017/6/13,152.31,154.04,152.06,153.99,3739824,0.0,1,151.4106707,153.1304558,151.1621469,153.080751,3739824,1
7838,HD,2017/6/14,154.5,157.28,153.96,156.76,5945705,0.0,1,153.5877397,156.3513249,153.0509281,155.8343953,5945705,1
7839,HD,2017/6/15,156.13,157.27,154.92,156.77,3965581,0.0,1,155.2081152,156.3413839,154.0052597,155.8443362,3965581,1
7840,HD,2017/6/16,156.25,156.69,155.41,156.64,9056422,0.0,1,155.3274066,155.7648086,154.4923665,155.7151038,9056422,-1
7841,HD,2017/6/19,156.91,159.03,156.39,158.81,5086916,0.0,1,155.9835096,158.0909918,155.46658,157.8722909,5086916,1
