None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
7998,IBM,2016/12/27,166.98,167.98,166.85,167.14,1397455,0.0,1,160.7377024,161.7003189,160.6125623,160.8917211,1397455,0
7999,IBM,2016/12/28,167.29,167.74,166.0,166.19,1757500,0.0,1,161.0361136,161.469291,159.7943383,159.9772354,1757500,-1
8000,IBM,2016/12/29,166.02,166.99,166.0,166.6,1663542,0.0,1,159.8135906,160.7473286,159.7943383,160.3719082,1663542,1
8001,IBM,2016/12/30,166.44,166.7,165.5,165.99,2952200,0.0,1,160.2178895,160.4681698,159.31303,159.7847121,2952200,-1
8002,IBM,2017/1/3,167.0,167.87,166.01,167.19,2934299,0.0,1,160.7569548,161.5944311,159.8039644,160.9398519,2934299,1
8003,IBM,2017/1/4,167.77,169.87,167.36,169.26,3381232,0.0,1,161.4981695,163.5196641,161.1034967,162.932468,3381232,1
8004,IBM,2017/1/5,169.25,169.39,167.26,168.7,2682181,0.0,1,162.9228419,163.0576082,161.0072351,162.3934028,2682181,-1
8005,IBM,2017/1/6,168.69,169.92,167.52,169.53,2945536,0.0,1,162.3837766,163.5677949,161.2575153,163.1923745,2945536,1
8006,IBM,2017/1/9,169.47,169.8,167.62,167.65,3189413,0.0,1,163.1346175,163.452281,161.353777,161.3826555,3189413,-1
8007,IBM,2017/1/10,167.98,168.09,165.34,165.52,4118694,0.0,1,161.7003189,161.8062067,159.1590114,159.3322824,4118694,-1
8008,IBM,2017/1/11,166.05,167.76,165.6,167.75,3599464,0.0,1,159.8424691,161.4885433,159.4092917,161.4789171,3599464,1
8009,IBM,2017/1/12,167.77,168.01,165.56,167.95,2927953,0.0,1,161.4981695,161.7291974,159.370787,161.6714404,2927953,1
8010,IBM,2017/1/13,167.97,168.48,166.875,167.34,2875319,0.0,1,161.6906928,162.1816272,160.6366277,161.0842444,2875319,-1
8011,IBM,2017/1/17,166.69,168.18,166.1201,167.89,3315655,0.0,1,160.4585437,161.8928422,159.9099485,161.6136834,3315655,1
8012,IBM,2017/1/18,167.45,168.59,166.69,166.8,4005626,0.0,1,161.1901322,162.287515,160.4585437,160.5644315,4005626,-1
8013,IBM,2017/1/19,166.96,167.45,165.8,166.81,6963386,0.0,1,160.7184501,161.1901322,159.601815,160.5740576,6963386,1
8014,IBM,2017/1/20,167.81,170.64,166.0,170.55,12606847,0.0,1,161.5366741,164.2608788,159.7943383,164.1742433,12606847,1
8015,IBM,2017/1/23,170.08,171.25,170.01,171.03,5477314,0.0,1,163.7218136,164.8480749,163.6544304,164.6362992,5477314,1
8016,IBM,2017/1/24,171.36,176.0,171.16,175.9,6952369,0.0,1,164.9539627,169.4205032,164.7614394,169.3242416,6952369,1
8017,IBM,2017/1/25,176.26,179.25,176.13,178.29,5922462,0.0,1,169.6707835,172.5490068,169.5456434,171.624895,5922462,1
