None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
8274,INTC,2016/12/27,36.91,37.33,36.91,37.07,9033706,0.0,1,35.69169017,36.09782699,35.69169017,35.84640896,9033706,0
8275,INTC,2016/12/28,37.1,37.2,36.58,36.63,12868584,0.0,1,35.87541873,35.97211798,35.37258268,35.4209323,12868584,-1
8276,INTC,2016/12/29,36.51,36.72,36.43,36.66,8447998,0.0,1,35.30489321,35.50796162,35.22753381,35.44994207,8447998,1
8277,INTC,2016/12/30,36.79,36.8,36.2,36.27,17467984,0.0,1,35.57565108,35.58532101,35.00512556,35.07281503,17467984,-1
8278,INTC,2017/1/3,36.61,36.93,36.27,36.6,20196466,0.0,1,35.40159245,35.71103002,35.07281503,35.39192252,20196466,1
8279,INTC,2017/1/4,36.71,36.77,36.34,36.41,15915729,0.0,1,35.49829169,35.55631124,35.1405045,35.20819397,15915729,-1
8280,INTC,2017/1/5,36.45,36.72,36.305,36.35,13986002,0.0,1,35.24687366,35.50796162,35.10665976,35.15017442,13986002,-1
8281,INTC,2017/1/6,36.59,36.68,36.19,36.48,15113998,0.0,1,35.3822526,35.46928192,34.99545563,35.27588343,15113998,1
8282,INTC,2017/1/9,36.48,36.885,36.4776,36.61,19461422,0.0,1,35.27588343,35.66751536,35.27356265,35.40159245,19461422,1
8283,INTC,2017/1/10,36.55,36.93,36.53,36.54,15918766,0.0,1,35.3435729,35.71103002,35.32423306,35.33390298,15918766,-1
8284,INTC,2017/1/11,36.51,37.0,36.51,36.95,22398426,0.0,1,35.30489321,35.77871949,35.30489321,35.73036987,22398426,1
8285,INTC,2017/1/12,36.83,36.83,36.32,36.71,20391946,0.0,1,35.61433078,35.61433078,35.12116465,35.49829169,20391946,-1
8286,INTC,2017/1/13,36.71,36.86,36.62,36.79,15072235,0.0,1,35.49829169,35.64334055,35.41126237,35.57565108,15072235,1
8287,INTC,2017/1/17,36.67,36.83,36.59,36.8,20195202,0.0,1,35.45961199,35.61433078,35.3822526,35.58532101,20195202,1
8288,INTC,2017/1/18,36.89,37.01,36.61,36.76,15382452,0.0,1,35.67235033,35.78838942,35.40159245,35.54664131,15382452,-1
8289,INTC,2017/1/19,36.51,36.91,36.51,36.57,13654522,0.0,1,35.30489321,35.69169017,35.30489321,35.36291275,13654522,-1
8290,INTC,2017/1/20,36.76,37.03,36.58,36.94,23950936,0.0,1,35.54664131,35.80772926,35.37258268,35.72069995,23950936,1
8291,INTC,2017/1/23,37.07,37.21,36.55,36.77,27752565,0.0,1,35.84640896,35.9817879,35.3435729,35.55631124,27752565,-1
8292,INTC,2017/1/24,36.84,37.74,36.81,37.62,35140871,0.0,1,35.62400071,36.49429388,35.59499093,36.37825479,35140871,1
