None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
8549,JNJ,2016/12/27,115.89,116.0,115.38,115.91,3232942,0.0,1,112.9738291,113.0810611,112.4766624,112.9933258,3232942,0
8550,JNJ,2016/12/28,115.88,116.16,115.05,115.1,3278292,0.0,1,112.9640807,113.237035,112.1549662,112.2037081,3278292,-1
8551,JNJ,2016/12/29,115.23,115.87,115.01,115.49,2993622,0.0,1,112.3304369,112.9543324,112.1159728,112.5838944,2993622,1
8552,JNJ,2016/12/30,115.8,115.99,114.975,115.21,5506734,0.0,1,112.8860938,113.0713128,112.0818535,112.3109401,5506734,-1
8553,JNJ,2017/1/3,115.78,116.0,115.23,115.84,5953048,0.0,1,112.8665971,113.0810611,112.3304369,112.9250873,5953048,1
8554,JNJ,2017/1/4,115.5,116.23,115.31,115.65,5828946,0.0,1,112.5936428,113.3052736,112.4084238,112.7398683,5828946,-1
8555,JNJ,2017/1/5,116.0,116.97,115.4401,116.86,6217169,0.0,1,113.0810611,114.0266528,112.5352501,113.9194207,6217169,1
8556,JNJ,2017/1/6,116.67,117.0,115.76,116.3,5221381,0.0,1,113.7342018,114.0558979,112.8471003,113.3735122,5221381,-1
8557,JNJ,2017/1/9,116.35,116.61,115.89,116.28,5457459,0.0,1,113.422254,113.6757115,112.9738291,113.3540154,5457459,-1
8558,JNJ,2017/1/10,116.03,117.0,115.87,116.16,5312812,0.0,1,113.1103062,114.0558979,112.9543324,113.237035,5312812,-1
8559,JNJ,2017/1/11,116.08,116.25,114.02,114.73,8887197,0.0,1,113.1590481,113.3247703,111.1508844,111.8430185,8887197,-1
8560,JNJ,2017/1/12,114.27,114.73,113.37,114.62,6627250,0.0,1,111.3945936,111.8430185,110.5172405,111.7357864,6627250,-1
8561,JNJ,2017/1/13,114.94,115.02,114.44,114.6,4935038,0.0,1,112.0477342,112.1257211,111.5603158,111.7162897,4935038,-1
8562,JNJ,2017/1/17,113.94,115.05,113.67,114.87,6255447,0.0,1,111.0728975,112.1549662,110.8096915,111.9794956,6255447,1
8563,JNJ,2017/1/18,114.94,115.1,114.41,114.7,5014570,0.0,1,112.0477342,112.2037081,111.5310707,111.8137734,5014570,-1
8564,JNJ,2017/1/19,114.68,114.9,113.92,114.2,5540831,0.0,1,111.7942767,112.0087407,111.0534007,111.326355,5540831,-1
8565,JNJ,2017/1/20,114.49,115.03,114.08,114.15,7502425,0.0,1,111.6090577,112.1354695,111.2093746,111.2776132,7502425,-1
8566,JNJ,2017/1/23,114.51,114.77,113.8,113.91,7987709,0.0,1,111.6285544,111.882012,110.9364203,111.0436524,7987709,-1
8567,JNJ,2017/1/24,112.91,113.3,111.15,111.76,12450307,0.0,1,110.0688156,110.449002,108.353103,108.9477534,12450307,-1
8568,JNJ,2017/1/25,111.93,112.8,110.76,112.8,9385502,0.0,1,109.1134756,109.9615836,107.9729167,109.9615836,9385502,1
8569,JNJ,2017/1/26,112.0,112.84,111.6,111.84,10164311,0.0,1,109.1817142,110.0005771,108.7917795,109.0257403,10164311,-1
8570,JNJ,2017/1/27,112.0,113.5398,111.9,113.38,8885867,0.0,1,109.1817142,110.6827678,109.0842305,110.5269889,8885867,1
