None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
8825,JPM,2016/12/27,87.05,87.16,86.75,87.13,6945935,0.0,1,85.12637274,85.23394196,84.83300213,85.2046049,6945935,0
8826,JPM,2016/12/28,87.16,87.39,86.35,86.5,9454499,0.0,1,85.23394196,85.45885943,84.44184131,84.58852662,9454499,-1
8827,JPM,2016/12/29,86.58,86.67,85.04,85.89,14689042,0.0,1,84.66675878,84.75476996,83.16078964,83.99200637,14689042,-1
8828,JPM,2016/12/30,86.1,86.42,85.66,86.29,13616146,0.0,1,84.1973658,84.51029445,83.7670889,84.38316719,13616146,1
8829,JPM,2017/1/3,87.34,87.76,85.98,87.23,20550714,0.0,1,85.40996433,85.82068319,84.08001755,85.30239511,20550714,1
8830,JPM,2017/1/4,86.96,87.18,86.4,86.91,15265665,0.48,1,85.50802458,85.72435123,84.95737493,85.45885943,15265665,-1
8831,JPM,2017/1/5,86.81,87.11,85.2589,86.11,14300638,0.0,1,85.36052914,85.65552002,83.83532793,84.67221707,14300638,-1
8832,JPM,2017/1/6,86.39,86.62,85.94,86.12,12893298,0.0,1,84.9475419,85.17370158,84.50505557,84.6820501,12893298,1
8833,JPM,2017/1/9,85.73,86.77,85.52,86.18,12795648,0.0,1,84.29856195,85.32119702,84.09206833,84.74104828,12795648,1
8834,JPM,2017/1/10,86.07,86.9,85.72,86.43,13989033,0.0,1,84.63288495,85.4490264,84.28872892,84.98687402,13989033,1
8835,JPM,2017/1/11,86.43,87.08,85.91,87.08,14713067,0.0,1,84.98687402,85.62602094,84.47555648,85.62602094,14713067,1
8836,JPM,2017/1/12,86.76,87.27,86.02,86.24,21326337,0.0,1,85.31136399,85.8128485,84.58371981,84.80004646,21326337,-1
8837,JPM,2017/1/13,87.11,88.17,86.1,86.7,28284855,0.0,1,85.65552002,86.69782115,84.66238404,85.25236581,28284855,1
8838,JPM,2017/1/17,84.93,85.22,83.28,83.55,30024625,0.0,1,83.51191959,83.79707745,81.88946972,82.15496152,30024625,-1
8839,JPM,2017/1/18,83.63,84.23,83.03,83.94,21265303,0.0,1,82.23362576,82.82360753,81.64364399,82.53844967,21265303,1
8840,JPM,2017/1/19,84.06,84.67,83.12,83.3,16555554,0.0,1,82.65644602,83.25626082,81.73214125,81.90913578,16555554,-1
8841,JPM,2017/1/20,83.43,83.83,83.285,83.67,18430684,0.0,1,82.03696517,82.43028635,81.89438624,82.27295787,18430684,1
8842,JPM,2017/1/23,83.3,84.0,83.205,83.71,12174801,0.0,1,81.90913578,82.59744785,81.815722,82.31228999,12174801,1
8843,JPM,2017/1/24,83.92,85.0,83.56,84.72,15175319,0.0,1,82.51878361,83.5807508,82.16479455,83.30542597,15175319,1
