None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
9101,KO,2016/12/27,41.56,41.76,41.54,41.61,6998769,0.0,1,40.53630596,40.73137962,40.51679859,40.58507437,6998769,0
9102,KO,2016/12/28,41.49,41.67,41.39,41.39,8987984,0.0,1,40.46803018,40.64359647,40.37049335,40.37049335,8987984,-1
9103,KO,2016/12/29,41.38,41.69,41.38,41.6,6875301,0.0,1,40.36073967,40.66310384,40.36073967,40.57532069,6875301,1
9104,KO,2016/12/30,41.69,41.84,41.35,41.46,11470189,0.0,1,40.66310384,40.80940908,40.33147862,40.43876913,11470189,-1
9105,KO,2017/1/3,41.5,41.81,41.28,41.8,14711049,0.0,1,40.47778386,40.78014803,40.26320284,40.77039435,14711049,1
9106,KO,2017/1/4,41.88,41.97,41.59,41.65,9959390,0.0,1,40.84842381,40.93620696,40.56556701,40.6240891,9959390,-1
9107,KO,2017/1/5,41.66,41.86,41.525,41.75,8968208,0.0,1,40.63384279,40.82891644,40.50216807,40.72162593,8968208,1
9108,KO,2017/1/6,41.7,41.81,41.54,41.74,10247235,0.0,1,40.67285752,40.78014803,40.51679859,40.71187225,10247235,-1
9109,KO,2017/1/9,41.23,41.58,41.21,41.32,14822173,0.0,1,40.21443442,40.55581332,40.19492706,40.30221757,14822173,-1
9110,KO,2017/1/10,41.44,41.44,40.86,41.04,19706782,0.0,1,40.41926176,40.41926176,39.85354816,40.02911445,19706782,-1
9111,KO,2017/1/11,40.85,41.12,40.83,41.05,9266213,0.0,1,39.84379447,40.10714391,39.82428711,40.03886813,9266213,1
9112,KO,2017/1/12,41.01,41.04,40.8,40.95,8541181,0.0,1,39.9998534,40.02911445,39.79502606,39.9413313,8541181,-1
9113,KO,2017/1/13,41.0,41.04,40.69,40.88,8123494,0.0,1,39.99009972,40.02911445,39.68773555,39.87305552,8123494,-1
9114,KO,2017/1/17,40.84,41.3,40.8,41.22,12469432,0.0,1,39.83404079,40.2827102,39.79502606,40.20468074,12469432,1
9115,KO,2017/1/18,41.25,41.379,41.14,41.29,10390464,0.0,1,40.23394179,40.3597643,40.12665128,40.27295652,10390464,1
9116,KO,2017/1/19,41.14,41.29,41.03,41.14,10987072,0.0,1,40.12665128,40.27295652,40.01936077,40.12665128,10987072,-1
9117,KO,2017/1/20,41.27,41.44,41.13,41.32,14695409,0.0,1,40.25344915,40.41926176,40.11689759,40.30221757,14695409,1
9118,KO,2017/1/23,41.31,41.5,41.21,41.43,11628909,0.0,1,40.29246389,40.47778386,40.19492706,40.40950808,11628909,1
9119,KO,2017/1/24,41.47,41.97,41.47,41.9,17040102,0.0,1,40.44852281,40.93620696,40.44852281,40.86793118,17040102,1
9120,KO,2017/1/25,41.94,42.25,41.9,42.12,12538163,0.0,1,40.90694591,41.20931008,40.86793118,41.0825122,12538163,1
9121,KO,2017/1/26,42.03,42.11,41.79,41.81,8977135,0.0,1,40.99472905,41.07275852,40.76064066,40.78014803,8977135,-1
9122,KO,2017/1/27,41.91,41.95,41.42,41.45,12967305,0.0,1,40.87768486,40.91669959,40.3997544,40.42901545,12967305,-1
9123,KO,2017/1/30,41.3,41.48,41.205,41.38,11626225,0.0,1,40.2827102,40.4582765,40.19005022,40.36073967,11626225,-1
9124,KO,2017/1/31,41.39,41.685,41.36,41.57,12665523,0.0,1,40.37049335,40.65822699,40.3412323,40.54605964,12665523,1
9125,KO,2017/2/1,41.52,41.66,41.25,41.26,11135792,0.0,1,40.49729123,40.63384279,40.23394179,40.24369547,11135792,-1
9126,KO,2017/2/2,41.41,41.49,41.25,41.4,9459722,0.0,1,40.39000072,40.46803018,40.23394179,40.38024703,9459722,1
9127,KO,2017/2/3,41.58,41.79,41.455,41.54,11881790,0.0,1,40.55581332,40.76064066,40.43389229,40.51679859,11881790,1
9128,KO,2017/2/6,41.53,41.67,41.4,41.56,15742810,0.0,1,40.50704491,40.64359647,40.38024703,40.53630596,15742810,1
9129,KO,2017/2/7,41.7,41.98,41.67,41.9,13314785,0.0,1,40.67285752,40.94596064,40.64359647,40.86793118,13314785,1
9130,KO,2017/2/8,41.91,42.15,41.84,42.02,14209112,0.0,1,40.87768486,41.11177325,40.80940908,40.98497537,14209112,1
9131,KO,2017/2/9,41.52,41.68,40.72,41.25,27240268,0.0,1,40.49729123,40.65335015,39.7169966,40.23394179,27240268,-1
9132,KO,2017/2/10,41.02,41.2,40.55,40.58,28847307,0.0,1,40.00960708,40.18517337,39.55118399,39.58044504,28847307,-1
9133,KO,2017/2/13,40.77,40.83,40.5,40.62,23617075,0.0,1,39.76576501,39.82428711,39.50241557,39.61945977,23617075,1
9134,KO,2017/2/14,40.38,40.6,40.22,40.53,32177511,0.0,1,39.38537138,39.5999524,39.22931245,39.53167662,32177511,-1
9135,KO,2017/2/15,40.42,40.63,40.395,40.44,26600788,0.0,1,39.42438611,39.62921345,39.4000019,39.44389348,26600788,-1
9136,KO,2017/2/16,40.55,41.28,40.5,41.2,22214839,0.0,1,39.55118399,40.26320284,39.50241557,40.18517337,22214839,1
9137,KO,2017/2/17,41.13,41.36,41.05,41.23,15064898,0.0,1,40.11689759,40.3412323,40.03886813,40.21443442,15064898,1
9138,KO,2017/2/21,41.2,41.5,41.2,41.46,17072526,0.0,1,40.18517337,40.47778386,40.18517337,40.43876913,17072526,1
9139,KO,2017/2/22,41.51,41.68,41.4,41.6,11186823,0.0,1,40.48753754,40.65335015,40.38024703,40.57532069,11186823,1
9140,KO,2017/2/23,41.67,42.0,41.62,41.66,12856844,0.0,1,40.64359647,40.965468,40.59482806,40.63384279,12856844,1
9141,KO,2017/2/24,41.7,41.91,41.6,41.78,13215239,0.0,1,40.67285752,40.87768486,40.57532069,40.75088698,13215239,1
9142,KO,2017/2/27,41.75,41.75,41.585,41.67,12186122,0.0,1,40.72162593,40.72162593,40.56069017,40.64359647,12186122,-1
9143,KO,2017/2/28,41.68,42.07,41.64,41.96,15946431,0.0,1,40.65335015,41.03374378,40.61433542,40.92645327,15946431,1
9144,KO,2017/3/1,42.01,42.35,41.88,42.16,14662016,0.0,1,40.97522169,41.3068469,40.84842381,41.12152693,14662016,1
9145,KO,2017/3/2,42.08,42.56,42.07,42.47,15507294,0.0,1,41.04349747,41.51167424,41.03374378,41.4238911,15507294,1
9146,KO,2017/3/3,42.44,42.49,42.25,42.48,11743030,0.0,1,41.39463005,41.44339846,41.20931008,41.43364478,11743030,1
9147,KO,2017/3/6,42.34,42.43,42.12,42.18,16307783,0.0,1,41.29709322,41.38487637,41.0825122,41.1410343,16307783,-1
9148,KO,2017/3/7,42.0,42.24,41.95,41.99,11273704,0.0,1,40.965468,41.19955639,40.91669959,40.95571432,11273704,-1
9149,KO,2017/3/8,42.0,42.025,41.74,41.99,14641689,0.0,1,40.965468,40.98985221,40.71187225,40.95571432,14641689,-1
9150,KO,2017/3/9,42.09,42.11,41.92,42.03,14496447,0.0,1,41.05325115,41.07275852,40.88743854,40.99472905,14496447,1
9151,KO,2017/3/10,42.23,42.4,42.15,42.29,16366201,0.0,1,41.18980271,41.35561532,41.11177325,41.24832481,16366201,1
9152,KO,2017/3/13,41.92,42.12,41.84,42.03,12831543,0.37,1,41.2473803,41.44417124,41.16866393,41.35561532,12831543,-1
9153,KO,2017/3/14,41.98,42.1,41.83,41.97,9844453,0.0,1,41.30641758,41.42449215,41.15882438,41.29657804,9844453,-1
9154,KO,2017/3/15,41.98,42.275,41.97,42.12,22757762,0.0,1,41.30641758,41.59668422,41.29657804,41.44417124,22757762,1
9155,KO,2017/3/16,42.03,42.39,41.9,42.25,16004192,0.0,1,41.35561532,41.709839,41.22770121,41.57208535,16004192,1
9156,KO,2017/3/17,42.28,42.35,42.01,42.03,37526506,0.0,1,41.60160399,41.67048082,41.33593622,41.35561532,37526506,-1
9157,KO,2017/3/20,42.1,42.34,42.0701,42.18,11484233,0.0,1,41.42449215,41.66064127,41.3950719,41.50320852,11484233,1
9158,KO,2017/3/21,42.31,42.63,42.21,42.5,17187257,0.0,1,41.63112263,41.94598813,41.53272716,41.81807402,17187257,1
9159,KO,2017/3/22,42.56,42.7,42.25,42.38,11605453,0.0,1,41.8771113,42.01486496,41.57208535,41.69999946,11605453,-1
9160,KO,2017/3/23,42.21,42.39,42.06,42.17,11503322,0.0,1,41.53272716,41.709839,41.38513396,41.49336897,11503322,-1
9161,KO,2017/3/24,42.23,42.25,41.91,42.12,13804411,0.0,1,41.55240625,41.57208535,41.23754076,41.44417124,13804411,-1
9162,KO,2017/3/27,42.11,42.34,42.05,42.32,12387364,0.0,1,41.43433169,41.66064127,41.37529441,41.64096218,12387364,1
9163,KO,2017/3/28,42.24,42.56,42.24,42.43,14123756,0.0,1,41.5622458,41.8771113,41.5622458,41.74919719,14123756,1
