None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
9377,MCD,2016/12/27,123.3,123.65,122.97,123.07,1919649,0.0,1,120.9311119,121.2743875,120.6074519,120.7055307,1919649,0
9378,MCD,2016/12/28,122.93,123.35,122.61,122.68,1980189,0.0,1,120.5682204,120.9801512,120.2543684,120.3230235,1980189,-1
9379,MCD,2016/12/29,122.76,123.36,122.76,122.79,1943461,0.0,1,120.4014866,120.9899591,120.4014866,120.4309102,1943461,1
9380,MCD,2016/12/30,122.79,123.16,121.44,121.72,3573909,0.0,1,120.4309102,120.7938016,119.1068469,119.3814674,3573909,-1
9381,MCD,2017/1/3,121.86,122.0,118.96,119.62,5123752,0.0,1,119.5187777,119.656088,116.6744936,117.3218135,5123752,-1
9382,MCD,2017/1/4,119.0,119.74,118.18,119.48,3780783,0.0,1,116.7137252,117.439508,115.9094793,117.1845032,3780783,-1
9383,MCD,2017/1/5,119.34,120.2,119.1,119.7,4261070,0.0,1,117.0471929,117.8906703,116.8118039,117.4002765,4261070,1
9384,MCD,2017/1/6,118.93,121.5,118.52,120.76,4089186,0.0,1,116.64507,119.1656942,116.2429471,118.4399113,4089186,1
9385,MCD,2017/1/9,120.76,121.06,120.33,120.43,3021809,0.0,1,118.4399113,118.7341476,118.0181727,118.1162514,3021809,-1
9386,MCD,2017/1/10,120.46,120.85,119.73,120.25,3108394,0.0,1,118.1456751,118.5281822,117.4297001,117.9397097,3108394,-1
9387,MCD,2017/1/11,120.93,121.5,120.62,120.88,3565185,0.0,1,118.6066452,119.1656942,118.3026011,118.5576059,3565185,1
9388,MCD,2017/1/12,120.3,122.31,120.2,122.1,3480802,0.0,1,117.988749,119.9601321,117.8906703,119.7541667,3480802,1
9389,MCD,2017/1/13,122.24,122.24,121.1,121.5,2877498,0.0,1,119.891477,119.891477,118.7733791,119.1656942,2877498,-1
9390,MCD,2017/1/17,120.75,122.8,120.7,122.75,4077567,0.0,1,118.4301035,120.4407181,118.3810641,120.3916787,4077567,1
9391,MCD,2017/1/18,122.81,123.0,121.8,122.71,3394703,0.0,1,120.4505259,120.6368756,119.4599305,120.3524472,3394703,-1
9392,MCD,2017/1/19,122.24,123.0,122.04,122.18,3155158,0.0,1,119.891477,120.6368756,119.6953195,119.8326297,3155158,-1
9393,MCD,2017/1/20,122.26,122.95,122.015,122.26,4884521,0.0,1,119.9110927,120.5878362,119.6707998,119.9110927,4884521,1
9394,MCD,2017/1/23,121.69,122.08,119.82,121.38,7022521,0.0,1,119.3520438,119.734551,117.517971,119.0479997,7022521,-1
9395,MCD,2017/1/24,121.97,122.06,120.52,121.05,3495211,0.0,1,119.6266643,119.7149352,118.2045223,118.7243397,3495211,-1
9396,MCD,2017/1/25,121.49,121.92,120.95,121.79,3968263,0.0,1,119.1558863,119.577625,118.626261,119.4501226,3968263,1
9397,MCD,2017/1/26,121.86,122.38,121.76,121.88,2497470,0.0,1,119.5187777,120.0287873,119.4206989,119.5383935,2497470,1
9398,MCD,2017/1/27,122.27,122.99,121.48,122.86,3592676,0.0,1,119.9209006,120.6270677,119.1460784,120.4995653,3592676,1
9399,MCD,2017/1/30,122.81,123.21,122.3,123.02,3777994,0.0,1,120.4505259,120.842841,119.9503243,120.6564913,3777994,1
9400,MCD,2017/1/31,123.02,123.34,122.095,122.57,3733323,0.0,1,120.6564913,120.9703434,119.7492628,120.2151369,3733323,-1
9401,MCD,2017/2/1,121.9,122.5,121.7,122.42,3233576,0.0,1,119.5580092,120.1464818,119.3618517,120.0680188,3233576,-1
9402,MCD,2017/2/2,122.54,123.98,122.26,123.22,3236564,0.0,1,120.1857133,121.5980474,119.9110927,120.8526489,3236564,1
9403,MCD,2017/2/3,123.31,124.51,123.28,124.24,3183378,0.0,1,120.9409197,122.1178649,120.9114961,121.8530522,3183378,1
9404,MCD,2017/2/6,124.09,124.9,123.95,124.45,2760096,0.0,1,121.7059341,122.500372,121.5686238,122.0590176,2760096,1
9405,MCD,2017/2/7,124.95,125.42,124.59,124.59,2847175,0.0,1,122.5494114,123.0103816,122.1963279,122.1963279,2847175,1
9406,MCD,2017/2/8,124.58,125.36,124.49,124.67,2835161,0.0,1,122.18652,122.9515343,122.0982491,122.2747909,2835161,1
9407,MCD,2017/2/9,124.47,125.0,124.36,124.48,2493605,0.0,1,122.0786334,122.5984508,121.9707467,122.0884412,2493605,-1
9408,MCD,2017/2/10,124.68,126.1124,124.5201,125.82,3681436,0.0,1,122.2845988,123.6894789,122.1277708,123.4026966,3681436,1
9409,MCD,2017/2/13,126.02,126.68,125.49,125.54,2993779,0.0,1,123.5988541,124.246174,123.0790367,123.1280761,2993779,-1
9410,MCD,2017/2/14,125.5,126.07,125.27,125.81,2663074,0.0,1,123.0888446,123.6478935,122.8632634,123.3928888,2663074,1
9411,MCD,2017/2/15,125.66,126.79,125.45,126.48,2974932,0.0,1,123.2457706,124.3540606,123.0398052,124.0500164,2974932,1
9412,MCD,2017/2/16,126.75,127.82,126.31,126.7,3006011,0.0,1,124.3148291,125.3642718,123.8832826,124.2657897,3006011,1
9413,MCD,2017/2/17,126.78,127.875,126.68,127.8,3676882,0.0,1,124.3442527,125.4182152,124.246174,125.3446561,3676882,1
9414,MCD,2017/2/21,127.16,128.32,127.16,128.04,4494973,0.0,1,124.716952,125.8546656,124.716952,125.5800451,4494973,1
9415,MCD,2017/2/22,127.52,128.11,126.4,127.85,3670720,0.0,1,125.0700356,125.6487002,123.9715534,125.3936955,3670720,-1
9416,MCD,2017/2/23,127.93,128.9,127.44,128.27,3177951,0.0,1,125.4721585,126.4235225,124.9915725,125.8056263,3177951,1
9417,MCD,2017/2/24,128.36,128.74,127.75,128.65,3537175,0.0,1,125.8938971,126.2665964,125.2956167,126.1783256,3537175,1
9418,MCD,2017/2/27,127.68,127.75,126.78,126.99,5183814,0.94,1,126.1539113,126.2230746,125.2646685,125.4721585,5183814,-1
9419,MCD,2017/2/28,127.08,127.93,126.58,127.65,4619263,0.0,1,125.5610828,126.4009232,125.067059,126.1242699,4619263,1
9420,MCD,2017/3/1,128.02,130.0,127.62,129.05,5471550,0.0,1,126.4898475,128.4461816,126.0946284,127.5075364,5471550,1
9421,MCD,2017/3/2,129.05,129.81,128.15,128.23,6737968,0.0,1,127.5075364,128.2584526,126.6182936,126.6973374,6737968,-1
9422,MCD,2017/3/3,128.19,128.66,127.44,127.9,4071613,0.0,1,126.6578155,127.1221979,125.9167799,126.3712817,4071613,-1
9423,MCD,2017/3/6,127.9,128.34,127.4,128.03,3271529,0.0,1,126.3712817,126.8060227,125.877258,126.4997279,3271529,1
9424,MCD,2017/3/7,128.06,128.31,127.34,128.07,3332350,0.0,1,126.5293694,126.7763812,125.8179751,126.5392498,3332350,1
9425,MCD,2017/3/8,128.07,128.36,127.47,128.09,3571805,0.0,1,126.5392498,126.8257836,125.9464213,126.5590108,3571805,1
9426,MCD,2017/3/9,127.95,128.72,127.69,128.14,3266027,0.0,1,126.4206841,127.1814807,126.1637918,126.6084132,3266027,1
9427,MCD,2017/3/10,128.56,128.59,127.72,127.98,3178923,0.0,1,127.0233931,127.0530346,126.1934332,126.4503256,3178923,-1
