None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
9653,MMM,2016/12/27,178.66,179.2,178.57,178.92,651000,0.0,1,175.430918,175.9611581,175.3425446,175.6862188,651000,0
9654,MMM,2016/12/28,178.88,179.45,178.02,178.08,1287918,0.0,1,175.6469417,176.2066396,174.8024853,174.8614009,1287918,-1
9655,MMM,2016/12/29,178.29,179.1444,178.03,178.41,1101983,0.0,1,175.0676053,175.906563,174.8123046,175.1854365,1101983,1
9656,MMM,2016/12/30,179.0,179.48,178.285,178.57,1594245,0.0,1,175.7647729,176.2360974,175.0626957,175.3425446,1594245,1
9657,MMM,2017/1/3,178.83,180.0,177.22,178.05,2510055,0.0,1,175.5978454,176.746699,174.0169444,174.8319431,2510055,-1
9658,MMM,2017/1/4,178.03,178.9,177.61,178.32,1541985,0.0,1,174.8123046,175.6665803,174.3998956,175.0970631,1541985,1
9659,MMM,2017/1/5,178.26,179.14,176.89,177.71,1447568,0.0,1,175.0381476,175.9022425,173.6929088,174.4980882,1447568,-1
9660,MMM,2017/1/6,177.29,178.6,175.8,178.23,1625049,0.0,1,174.0856792,175.3720024,172.6226093,175.0086898,1625049,1
9661,MMM,2017/1/9,178.37,178.38,177.2,177.27,1622625,0.0,1,175.1461594,175.1559787,173.9973059,174.0660407,1622625,-1
9662,MMM,2017/1/10,177.36,177.49,176.3101,176.58,2030149,0.0,1,174.1544141,174.2820645,173.1234898,173.3885117,2030149,-1
9663,MMM,2017/1/11,176.63,178.45,176.39,177.89,1579593,0.0,1,173.437608,175.2247135,173.2019457,174.6748349,1579593,1
9664,MMM,2017/1/12,176.97,177.7,175.75,177.44,1321766,0.0,1,173.7714629,174.4882689,172.573513,174.2329681,1321766,-1
9665,MMM,2017/1/13,177.58,177.91,176.83,177.39,1265593,0.0,1,174.3704378,174.6944734,173.6339932,174.1838718,1265593,-1
