None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
9880,MRK,2016/12/27,59.87,60.14,59.56,59.79,5815612,0.0,1,58.57989252,58.84407443,58.27657255,58.5016164,5815612,0
9881,MRK,2016/12/28,59.72,59.86,59.21,59.27,6174639,0.0,1,58.43312479,58.570108,57.93411451,57.99282161,6174639,-1
9882,MRK,2016/12/29,59.29,59.585,58.98,59.04,6520112,0.0,1,58.01239064,58.30103383,57.70907066,57.76777776,6520112,-1
9883,MRK,2016/12/30,58.78,58.95,58.56,58.87,10772542,0.0,1,57.51338036,57.67971712,57.29812103,57.601441,10772542,-1
9884,MRK,2017/1/3,59.15,60.38,59.05,60.15,11988657,0.0,1,57.87540742,59.07890279,57.77756227,58.85385894,11988657,1
9885,MRK,2017/1/4,60.5,60.79,60.04,60.13,9411941,0.0,1,59.19631698,59.48006792,58.74622928,58.83428991,9411941,-1
9886,MRK,2017/1/5,60.22,60.58,60.0,60.11,10096429,0.0,1,58.92235055,59.2745931,58.70709122,58.81472088,10096429,-1
9887,MRK,2017/1/6,60.09,60.46,59.53,60.27,10238738,0.0,1,58.79515185,59.15717891,58.247219,58.97127313,10238738,1
9888,MRK,2017/1/9,60.3,61.48,60.08,61.1,9734337,0.0,1,59.00062667,60.15519947,58.78536734,59.78338789,9734337,1
9889,MRK,2017/1/10,61.2,61.24,59.89,59.92,15302218,0.0,1,59.88123304,59.9203711,58.59946155,58.62881509,15302218,-1
9890,MRK,2017/1/11,62.34,63.16,60.75,61.63,32711722,0.0,1,60.99666777,61.79899802,59.44092986,60.30196719,32711722,1
9891,MRK,2017/1/12,62.53,63.24,62.12,62.21,24885363,0.0,1,61.18257356,61.87727414,60.78140844,60.86946908,24885363,1
9892,MRK,2017/1/13,62.33,62.68,62.1,62.34,9968905,0.0,1,60.98688326,61.32934129,60.76183941,60.99666777,9968905,1
9893,MRK,2017/1/17,61.92,62.07,61.2,61.48,10592686,0.0,1,60.58571813,60.73248586,59.88123304,60.15519947,10592686,-1
9894,MRK,2017/1/18,61.38,61.78,61.08,61.17,8131512,0.0,1,60.05735431,60.44873492,59.76381886,59.85187949,8131512,-1
9895,MRK,2017/1/19,61.05,61.08,60.07,60.33,11397928,0.0,1,59.73446531,59.76381886,58.77558282,59.02998022,11397928,-1
9896,MRK,2017/1/20,62.4,62.92,62.15,62.53,25239797,0.0,1,61.05537486,61.56416965,60.81076198,61.18257356,25239797,1
9897,MRK,2017/1/23,61.81,62.4,61.63,61.81,10200796,0.0,1,60.47808847,61.05537486,60.30196719,60.47808847,10200796,-1
9898,MRK,2017/1/24,61.59,61.69,60.7339,61.21,10487452,0.0,1,60.26282913,60.36067428,59.42517679,59.89101755,10487452,-1
9899,MRK,2017/1/25,61.32,61.38,60.76,61.08,14556969,0.0,1,59.99864722,60.05735431,59.45071437,59.76381886,14556969,-1
9900,MRK,2017/1/26,61.02,61.355,60.54,61.2,12707418,0.0,1,59.70511177,60.03289303,59.23545504,59.88123304,12707418,1
9901,MRK,2017/1/27,61.38,61.99,61.3,61.75,6652609,0.0,1,60.05735431,60.65420974,59.97907819,60.41938138,6652609,1
9902,MRK,2017/1/30,61.52,61.71,60.925,61.43,7853564,0.0,1,60.19433753,60.38024331,59.61215887,60.10627689,7853564,-1
9903,MRK,2017/1/31,61.06,62.24,60.92,61.99,9819784,0.0,1,59.74424983,60.89882262,59.60726661,60.65420974,9819784,1
9904,MRK,2017/2/1,62.06,62.27,61.56,62.1,11017245,0.0,1,60.72270135,60.92817617,60.23347559,60.76183941,11017245,1
9905,MRK,2017/2/2,62.64,64.21,62.53,64.18,18990180,0.0,1,61.29020323,62.82637212,61.18257356,62.79701857,18990180,1
9906,MRK,2017/2/3,63.86,64.33,63.27,64.29,11650328,0.0,1,62.48391408,62.9437863,61.90662769,62.90464824,11650328,1
9907,MRK,2017/2/6,63.92,64.95,63.9,64.94,9158765,0.0,1,62.54262117,63.55042624,62.52305214,63.54064173,9158765,1
9908,MRK,2017/2/7,64.76,64.93,64.05,64.2,8435219,0.0,1,63.36452045,63.53085721,62.66981987,62.8165876,8435219,-1
9909,MRK,2017/2/8,63.9,64.48,63.83,64.32,5906828,0.0,1,62.52305214,63.09055403,62.45456054,62.93400178,5906828,1
9910,MRK,2017/2/9,64.34,64.82,64.295,64.39,7052880,0.0,1,62.95357081,63.42322754,62.90954049,63.00249339,7052880,1
9911,MRK,2017/2/10,64.32,64.57,63.96,64.15,8531370,0.0,1,62.93400178,63.17861466,62.58175924,62.76766502,8531370,-1
9912,MRK,2017/2/13,64.25,64.83,64.22,64.77,7151139,0.0,1,62.86551018,63.43301206,62.83615663,63.37430497,7151139,1
9913,MRK,2017/2/14,64.64,65.72,64.43,65.66,10135864,0.0,1,63.24710627,64.30383391,63.04163145,64.24512682,10135864,1
9914,MRK,2017/2/15,64.9,65.87,64.85,65.16,17807287,0.0,1,63.50150366,64.45060164,63.45258109,63.75590106,17807287,-1
9915,MRK,2017/2/16,65.14,65.41,64.46,65.26,12346265,0.0,1,63.73633203,64.00051394,63.070985,63.85374621,12346265,1
9916,MRK,2017/2/17,65.2,65.56,64.86,65.39,9048256,0.0,1,63.79503912,64.14728167,63.4623656,63.98094491,9048256,1
9917,MRK,2017/2/21,64.9,65.78,64.9,65.48,7386072,0.0,1,63.50150366,64.362541,63.50150366,64.06900555,7386072,1
9918,MRK,2017/2/22,65.5,65.75,65.09,65.29,8679633,0.0,1,64.08857458,64.33318746,63.68740945,63.88309976,8679633,-1
9919,MRK,2017/2/23,65.52,66.11,65.345,65.85,6855571,0.0,1,64.10814361,64.68543,63.93691459,64.43103261,6855571,1
9920,MRK,2017/2/24,65.65,66.16,65.63,66.16,8444253,0.0,1,64.2353423,64.73435258,64.21577327,64.73435258,8444253,1
9921,MRK,2017/2/27,65.78,65.94,65.56,65.85,7134363,0.0,1,64.362541,64.51909325,64.14728167,64.43103261,7134363,-1
9922,MRK,2017/2/28,65.81,66.15,65.65,65.87,7740372,0.0,1,64.39189455,64.72456806,64.2353423,64.45060164,7740372,1
9923,MRK,2017/3/1,66.07,66.8,65.89,66.21,10680729,0.0,1,64.64629194,65.36056155,64.47017067,64.78327516,10680729,1
9924,MRK,2017/3/2,66.38,66.58,66.0,66.08,8647430,0.0,1,64.94961191,65.14530222,64.57780034,64.65607646,8647430,-1
9925,MRK,2017/3/3,65.86,66.62,65.81,66.58,8322960,0.0,1,64.44081712,65.18444028,64.39189455,65.14530222,8322960,1
9926,MRK,2017/3/6,66.08,66.78,65.9,66.47,8687456,0.0,1,64.65607646,65.34099252,64.47995518,65.03767255,8687456,-1
9927,MRK,2017/3/7,65.43,66.31,65.19,65.96,8328169,0.0,1,64.02008297,64.88112031,63.78525461,64.53866228,8328169,-1
9928,MRK,2017/3/8,65.96,66.12,65.27,65.8,8418318,0.0,1,64.53866228,64.69521452,63.86353073,64.38211003,8418318,-1
9929,MRK,2017/3/9,65.97,66.03,65.515,65.89,7735152,0.0,1,64.54844679,64.60715388,64.10325135,64.47017067,7735152,1
9930,MRK,2017/3/10,66.07,66.1969,65.5,65.6,8822705,0.0,1,64.64629194,64.77045744,64.08857458,64.18641973,8822705,-1
9931,MRK,2017/3/13,65.24,65.29,64.01,64.15,14198551,0.47,1,64.30186328,64.35114429,63.08955041,63.22753724,14198551,-1
9932,MRK,2017/3/14,64.13,64.51,64.05,64.2,7893626,0.0,1,63.20782483,63.58236052,63.12897522,63.27681825,7893626,1
9933,MRK,2017/3/15,64.4,64.97,64.22,64.7,9024954,0.0,1,63.47394229,64.03574582,63.29653065,63.76962836,9024954,1
9934,MRK,2017/3/16,64.57,64.79,63.99,64.18,9613228,0.0,1,63.64149773,63.85833418,63.069838,63.25710585,9613228,-1
9935,MRK,2017/3/17,64.25,64.6953,63.89,63.9,14449174,0.0,1,63.32609926,63.76499595,62.97127598,62.98113218,14449174,-1
9936,MRK,2017/3/20,64.14,64.3,64.0,64.11,12971169,0.0,1,63.21768104,63.37538027,63.07969421,63.18811243,12971169,1
9937,MRK,2017/3/21,64.28,64.605,63.62,63.91,10550684,0.0,1,63.35566787,63.67599444,62.70515852,62.99098839,10550684,-1
9938,MRK,2017/3/22,63.98,64.11,63.25,63.5,9549029,0.0,1,63.0599818,63.18811243,62.34047904,62.58688409,9549029,-1
9939,MRK,2017/3/23,63.36,63.82,63.19,63.28,9461008,0.0,1,62.44889726,62.90228257,62.28134183,62.37004765,9461008,-1
9940,MRK,2017/3/24,63.16,63.53,62.86,63.18,9136520,0.0,1,62.25177322,62.6164527,61.95608715,62.27148562,9136520,-1
9941,MRK,2017/3/27,62.92,63.4099,62.81,63.19,8015894,0.0,1,62.01522437,62.49807971,61.90680614,62.28134183,8015894,1
9942,MRK,2017/3/28,63.2,63.4,62.88,63.34,10184989,0.0,1,62.29119803,62.48832207,61.97579956,62.42918486,10184989,1
9943,MRK,2017/3/29,63.67,64.105,63.46,63.64,8135333,0.0,1,62.75443953,63.18318433,62.54745929,62.72487093,8135333,1
9944,MRK,2017/3/30,63.5,63.68,63.315,63.45,5321972,0.0,1,62.58688409,62.76429573,62.40454435,62.53760308,5321972,-1
9945,MRK,2017/3/31,63.26,63.63,63.25,63.54,7614025,0.0,1,62.35033524,62.71501472,62.34047904,62.6263089,7614025,1
9946,MRK,2017/4/3,63.43,63.71,63.22,63.47,6643587,0.0,1,62.51789068,62.79386434,62.31091043,62.55731549,6643587,-1
9947,MRK,2017/4/4,63.59,63.765,63.37,63.67,6345621,0.0,1,62.67558991,62.84807345,62.45875347,62.75443953,6345621,1
9948,MRK,2017/4/5,63.69,64.15,63.51,63.57,7713310,0.0,1,62.77415194,63.22753724,62.5967403,62.65587751,7713310,-1
9949,MRK,2017/4/6,63.48,63.97,63.19,63.24,7552664,0.0,1,62.56717169,63.0501256,62.28134183,62.33062284,7552664,-1
9950,MRK,2017/4/7,63.28,63.3317,62.945,63.13,7721053,0.0,1,62.37004765,62.42100421,62.03986487,62.22220461,7721053,-1
