None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
10156,MSFT,2016/12/27,63.21,64.07,63.21,63.28,11763173,0.0,1,61.83544193,62.67674045,61.83544193,61.90391971,11763173,0
10157,MSFT,2016/12/28,63.4,63.4,62.83,62.99,14653348,0.0,1,62.0213102,62.0213102,61.46370537,61.62022602,14653348,-1
10158,MSFT,2016/12/29,62.86,63.2,62.73,62.9,10250582,0.0,1,61.49305299,61.82565938,61.36587996,61.53218315,10250582,-1
10159,MSFT,2016/12/30,62.96,62.99,62.03,62.14,25579908,0.0,1,61.5908784,61.62022602,60.68110208,60.78871003,25579908,-1
10160,MSFT,2017/1/3,62.79,62.84,62.125,62.58,20694101,0.0,1,61.4245752,61.47348791,60.77403622,61.21914184,20694101,1
10161,MSFT,2017/1/4,62.48,62.75,62.12,62.3,21339969,0.0,1,61.12131643,61.38544504,60.76914495,60.94523069,21339969,-1
10162,MSFT,2017/1/5,62.19,62.66,62.03,62.3,24875968,0.0,1,60.83762274,61.29740217,60.68110208,60.94523069,24875968,-1
10163,MSFT,2017/1/6,62.3,63.15,62.04,62.84,19922919,0.0,1,60.94523069,61.77674668,60.69088462,61.47348791,19922919,1
10164,MSFT,2017/1/9,62.76,63.08,62.54,62.64,20382730,0.0,1,61.39522758,61.70826889,61.18001168,61.27783709,20382730,-1
10165,MSFT,2017/1/10,62.73,63.07,62.28,62.62,18593004,0.0,1,61.36587996,61.69848635,60.92566561,61.258272,18593004,-1
10166,MSFT,2017/1/11,62.61,63.23,62.43,63.19,21517335,0.0,1,61.24848946,61.85500701,61.07240372,61.81587684,21517335,1
10167,MSFT,2017/1/12,63.06,63.4,61.95,62.61,20968223,0.0,1,61.68870381,62.0213102,60.60284175,61.24848946,20968223,-1
10168,MSFT,2017/1/13,62.62,62.865,62.35,62.7,19422310,0.0,1,61.258272,61.49794426,60.9941434,61.33653233,19422310,1
10169,MSFT,2017/1/17,62.68,62.7,62.03,62.53,20663983,0.0,1,61.31696725,61.33653233,60.68110208,61.17022913,20663983,-1
10170,MSFT,2017/1/18,62.67,62.7,62.12,62.5,19670102,0.0,1,61.30718471,61.33653233,60.76914495,61.14088151,19670102,-1
10171,MSFT,2017/1/19,62.24,62.98,62.195,62.3,18451655,0.0,1,60.88653544,61.61044348,60.84251401,60.94523069,18451655,-1
10172,MSFT,2017/1/20,62.67,62.82,62.37,62.74,30213462,0.0,1,61.30718471,61.45392282,61.01370848,61.3756625,30213462,1
10173,MSFT,2017/1/23,62.7,63.1159,62.57,62.96,23097581,0.0,1,61.33653233,61.74338821,61.2093593,61.5908784,23097581,1
10174,MSFT,2017/1/24,63.2,63.735,62.94,63.52,24672940,0.0,1,61.82565938,62.34902533,61.57131332,62.1387007,24672940,1
10175,MSFT,2017/1/25,63.95,64.1,63.45,63.68,24654933,0.0,1,62.55934996,62.70608808,62.07022291,62.29522135,24654933,1
10176,MSFT,2017/1/26,64.12,64.535,63.55,64.27,43554645,0.0,1,62.72565316,63.13162861,62.16804832,62.87239128,43554645,1
10177,MSFT,2017/1/27,65.39,65.91,64.89,65.78,44817972,0.0,1,63.96803587,64.47672801,63.47890882,64.34955497,44817972,1
10178,MSFT,2017/1/30,65.69,65.79,64.8,65.13,31651445,0.0,1,64.2615121,64.35933751,63.39086595,63.71368981,31651445,-1
10179,MSFT,2017/1/31,64.86,65.15,64.26,64.65,25270549,0.0,1,63.4495612,63.73325489,62.86260873,63.24412784,25270549,-1
10180,MSFT,2017/2/1,64.355,64.62,63.47,63.58,39671528,0.0,1,62.95554287,63.21478021,62.08978799,62.19739594,39671528,-1
10181,MSFT,2017/2/2,63.25,63.41,62.75,63.17,45827013,0.0,1,61.87457209,62.03109275,61.38544504,61.79631176,45827013,-1
10182,MSFT,2017/2/3,63.5,63.7,63.07,63.68,30301759,0.0,1,62.11913562,62.31478644,61.69848635,62.29522135,30301759,1
10183,MSFT,2017/2/6,63.5,63.65,63.14,63.64,19796360,0.0,1,62.11913562,62.26587373,61.76696414,62.25609119,19796360,-1
10184,MSFT,2017/2/7,63.74,63.78,63.23,63.43,20277226,0.0,1,62.3539166,62.39304676,61.85500701,62.05065783,20277226,-1
10185,MSFT,2017/2/8,63.57,63.81,63.22,63.34,18096358,0.0,1,62.1876134,62.42239439,61.84522447,61.96261496,18096358,-1
10186,MSFT,2017/2/9,63.52,64.435,63.32,64.06,22644443,0.0,1,62.1387007,63.0338032,61.94304988,62.66695791,22644443,1
10187,MSFT,2017/2/10,64.25,64.3,63.975,64.0,18170729,0.0,1,62.85282619,62.9017389,62.58380631,62.60826267,18170729,-1
10188,MSFT,2017/2/13,64.24,64.86,64.13,64.72,22920101,0.0,1,62.84304365,63.4495612,62.7354357,63.31260562,22920101,1
10189,MSFT,2017/2/14,64.41,64.72,64.02,64.57,23108426,0.39,1,63.38992057,63.69501101,63.00609711,63.54738661,23108426,-1
10190,MSFT,2017/2/15,64.5,64.57,64.155,64.53,17005157,0.0,1,63.47849522,63.54738661,63.13895908,63.5080201,17005157,-1
10191,MSFT,2017/2/16,64.74,65.24,64.44,64.52,20546345,0.0,1,63.71469427,64.20677563,63.41944545,63.49817847,20546345,-1
10192,MSFT,2017/2/17,64.47,64.69,64.3,64.62,21248818,0.0,1,63.44897034,63.66548613,63.28166267,63.59659474,21248818,1
10193,MSFT,2017/2/21,64.61,64.95,64.45,64.49,20655869,0.0,1,63.58675312,63.92136844,63.42928708,63.46865359,20655869,-1
10194,MSFT,2017/2/22,64.33,64.39,64.05,64.36,19292651,0.0,1,63.31118756,63.37023732,63.03562199,63.34071244,19292651,-1
10195,MSFT,2017/2/23,64.42,64.7285,64.195,64.62,20273128,0.0,1,63.3997622,63.7033764,63.17832559,63.59659474,20273128,1
10196,MSFT,2017/2/24,64.53,64.8,64.135,64.62,21796800,0.0,1,63.5080201,63.77374403,63.11927583,63.59659474,21796800,-1
10197,MSFT,2017/2/27,64.54,64.54,64.045,64.23,15871507,0.0,1,63.51786173,63.51786173,63.03070118,63.21277128,15871507,-1
10198,MSFT,2017/2/28,64.08,64.2,63.76,63.98,23239825,0.0,1,63.06514688,63.1832464,62.75021481,62.9667306,23239825,-1
10199,MSFT,2017/3/1,64.13,64.99,64.0218,64.94,26937459,0.0,1,63.11435501,63.96073495,63.00786861,63.91152681,26937459,1
10200,MSFT,2017/3/2,64.69,64.75,63.88,64.01,24539597,0.0,1,63.66548613,63.7245359,62.86831433,62.99625549,24539597,-1
10201,MSFT,2017/3/3,63.99,64.28,63.62,64.25,18139405,0.0,1,62.97657223,63.26197942,62.61243203,63.23245454,18139405,1
10202,MSFT,2017/3/6,63.97,64.56,63.81,64.27,18750255,0.0,1,62.95688898,63.53754498,62.79942294,63.25213779,18750255,1
10203,MSFT,2017/3/7,64.19,64.775,64.19,64.4,18520987,0.0,1,63.17340478,63.74913996,63.17340478,63.38007895,18520987,1
10204,MSFT,2017/3/8,64.26,65.085,64.25,64.99,21510907,0.0,1,63.24229617,64.05423041,63.23245454,63.96073495,21510907,1
10205,MSFT,2017/3/9,65.19,65.2,64.48,64.73,19846832,0.0,1,64.15756749,64.16740912,63.45881196,63.70485264,19846832,-1
10206,MSFT,2017/3/10,65.11,65.26,64.75,64.93,19538245,0.0,1,64.07883447,64.22645888,63.7245359,63.90168519,19538245,1
10207,MSFT,2017/3/13,65.01,65.195,64.57,64.71,20100035,0.0,1,63.9804182,64.16248831,63.54738661,63.68516939,20100035,-1
10208,MSFT,2017/3/14,64.53,64.55,64.15,64.41,14280202,0.0,1,63.5080201,63.52770335,63.13403827,63.38992057,14280202,-1
10209,MSFT,2017/3/15,64.55,64.92,64.25,64.75,24833810,0.0,1,63.52770335,63.89184356,63.23245454,63.7245359,24833810,1
10210,MSFT,2017/3/16,64.75,64.76,64.3,64.64,20674296,0.0,1,63.7245359,63.73437752,63.28166267,63.616278,20674296,-1
10211,MSFT,2017/3/17,64.91,65.24,64.68,64.87,49219686,0.0,1,63.88200193,64.20677563,63.65564451,63.84263542,49219686,1
10212,MSFT,2017/3/20,64.91,65.175,64.72,64.93,14598083,0.0,1,63.88200193,64.14280505,63.69501101,63.90168519,14598083,1
10213,MSFT,2017/3/21,65.19,65.5,64.13,64.21,26640480,0.0,1,64.15756749,64.46265793,63.11435501,63.19308803,26640480,-1
10214,MSFT,2017/3/22,64.12,65.14,64.12,65.03,20680015,0.0,1,63.10451339,64.10835936,63.10451339,64.00010146,20680015,1
10215,MSFT,2017/3/23,64.94,65.235,64.765,64.87,19269203,0.0,1,63.91152681,64.20185481,63.73929834,63.84263542,19269203,-1
10216,MSFT,2017/3/24,65.36,65.45,64.76,64.98,22617105,0.0,1,64.32487515,64.4134498,63.73437752,63.95089332,22617105,1
10217,MSFT,2017/3/27,64.63,65.22,64.35,65.1,18614662,0.0,1,63.60643637,64.18709237,63.33087081,64.06899285,18614662,1
10218,MSFT,2017/3/28,64.96,65.47,64.65,65.29,20080358,0.0,1,63.93121007,64.43313305,63.62611962,64.25598376,20080358,1
10219,MSFT,2017/3/29,65.12,65.5,64.9475,65.47,13618424,0.0,1,64.0886761,64.46265793,63.91890803,64.43313305,13618424,1
10220,MSFT,2017/3/30,65.42,65.98,65.36,65.71,15122823,0.0,1,64.38392492,64.93505604,64.32487515,64.6693321,15122823,1
10221,MSFT,2017/3/31,65.65,66.19,65.45,65.86,21040331,0.0,1,64.61028234,65.14173021,64.4134498,64.81695651,21040331,1
10222,MSFT,2017/4/3,65.81,65.94,65.19,65.55,20400871,0.0,1,64.76774838,64.89568953,64.15756749,64.51186607,20400871,-1
10223,MSFT,2017/4/4,65.39,65.81,65.28,65.73,12997449,0.0,1,64.35440004,64.76774838,64.24614214,64.68901536,12997449,1
10224,MSFT,2017/4/5,66.3,66.35,65.4443,65.56,21448594,0.0,1,65.24998811,65.29919624,64.40784007,64.5217077,21448594,-1
10225,MSFT,2017/4/6,65.6,66.055,65.48,65.73,18103453,0.0,1,64.56107421,65.00886824,64.44297468,64.68901536,18103453,1
10226,MSFT,2017/4/7,65.85,65.96,65.44,65.68,14089274,0.0,1,64.80711488,64.91537278,64.40360817,64.63980722,14089274,-1
10227,MSFT,2017/4/10,65.61,65.82,65.36,65.53,17952742,0.0,1,64.57091583,64.77759,64.32487515,64.49218282,17952742,-1
10228,MSFT,2017/4/11,65.6,65.61,64.85,65.48,18791533,0.0,1,64.56107421,64.57091583,63.82295217,64.44297468,18791533,-1
10229,MSFT,2017/4/12,65.42,65.51,65.11,65.23,17108513,0.0,1,64.38392492,64.47249956,64.07883447,64.196934,17108513,-1
10230,MSFT,2017/4/13,65.29,65.86,64.95,64.95,17896483,0.0,1,64.25598376,64.81695651,63.92136844,63.92136844,17896483,-1
10231,MSFT,2017/4/17,65.04,65.49,65.01,65.48,16689265,0.0,1,64.00994308,64.45281631,63.9804182,64.44297468,16689265,1
10232,MSFT,2017/4/18,65.33,65.71,65.16,65.39,15155611,0.0,1,64.29535027,64.6693321,64.12804261,64.35440004,15155611,-1
10233,MSFT,2017/4/19,65.65,65.75,64.89,65.04,26992771,0.0,1,64.61028234,64.70869861,63.86231868,64.00994308,26992771,-1
10234,MSFT,2017/4/20,65.46,65.75,65.14,65.5,22299477,0.0,1,64.42329143,64.70869861,64.10835936,64.46265793,22299477,1
10235,MSFT,2017/4/21,65.67,66.7,65.45,66.4,32522645,0.0,1,64.6299656,65.64365319,64.4134498,65.34840438,32522645,1
10236,MSFT,2017/4/24,67.48,67.66,67.1,67.53,29721254,0.0,1,66.41130011,66.5884494,66.03731828,66.46050825,29721254,1
10237,MSFT,2017/4/25,67.9,68.04,67.6,67.92,29983174,0.0,1,66.82464845,66.96243123,66.52939964,66.84433171,29983174,1
10238,MSFT,2017/4/26,68.08,68.31,67.62,67.83,25544417,0.0,1,67.00179774,67.22815517,66.54908289,66.75575706,25544417,-1
10239,MSFT,2017/4/27,68.15,68.38,67.58,68.27,32219234,0.0,1,67.07068913,67.29704656,66.50971638,67.18878866,32219234,1
10240,MSFT,2017/4/28,68.91,69.14,67.69,68.46,38940853,0.0,1,67.8186528,68.04501022,66.61797428,67.37577957,38940853,1
10241,MSFT,2017/5/1,68.68,69.55,68.5,69.41,31304672,0.0,1,67.59229537,68.44851694,67.41514608,68.31073416,31304672,1
10242,MSFT,2017/5/2,69.71,69.71,69.13,69.3,23000828,0.0,1,68.60598297,68.60598297,68.03516859,68.20247626,23000828,-1
10243,MSFT,2017/5/3,69.38,69.38,68.71,69.08,28725646,0.0,1,68.28120927,68.28120927,67.62182025,67.98596046,28725646,-1
10244,MSFT,2017/5/4,69.03,69.08,68.64,68.81,21421413,0.0,1,67.93675232,67.98596046,67.55292886,67.72023653,21421413,-1
10245,MSFT,2017/5/5,68.9,69.03,68.485,69.0,18882845,0.0,1,67.80881117,67.93675232,67.40038364,67.90722744,18882845,1
10246,MSFT,2017/5/8,68.97,69.05,68.42,68.94,18446053,0.0,1,67.87770256,67.95643558,67.33641307,67.84817768,18446053,-1
10247,MSFT,2017/5/9,68.86,69.28,68.68,69.04,22318181,0.0,1,67.76944466,68.182793,67.59229537,67.94659395,22318181,1
10248,MSFT,2017/5/10,68.99,69.56,68.92,69.31,17842038,0.0,1,67.89738581,68.45835856,67.82849442,68.21231788,17842038,1
10249,MSFT,2017/5/11,68.36,68.73,68.12,68.46,27985424,0.0,1,67.2773633,67.64150351,67.04116425,67.37577957,27985424,-1
10250,MSFT,2017/5/12,68.61,68.61,68.04,68.38,17073013,0.0,1,67.52340398,67.52340398,66.96243123,67.29704656,17073013,-1
10251,MSFT,2017/5/15,68.14,68.48,67.57,68.43,30705323,0.0,1,67.06084751,67.39546283,66.49987476,67.34625469,30705323,1
10252,MSFT,2017/5/16,68.23,69.44,68.16,69.41,33250702,0.39,1,67.52672044,68.72424839,67.45744197,68.69455762,33250702,1
10253,MSFT,2017/5/17,68.89,69.1,67.43,67.48,29964198,0.0,1,68.17991751,68.38775293,66.73496643,66.78445106,29964198,-1
