None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
10432,NKE,2016/12/27,51.8,52.25,51.2,51.29,8173721,0.0,1,51.28725999,51.73280569,50.69319907,50.7823082,8173721,0
10433,NKE,2016/12/28,51.31,51.5,50.87,51.02,6317326,0.0,1,50.80211024,50.99022953,50.36646556,50.51498079,6317326,-1
10434,NKE,2016/12/29,51.0,51.24,50.88,51.06,4680840,0.0,1,50.49517876,50.73280313,50.37636657,50.55458485,4680840,1
10435,NKE,2016/12/30,51.1,51.33,50.7,50.83,7383674,0.0,1,50.59418891,50.82191227,50.19814829,50.32686149,7383674,-1
10436,NKE,2017/1/3,51.99,52.5,51.77,51.98,13295607,0.0,1,51.47537929,51.98033107,51.25755695,51.46547827,13295607,1
10437,NKE,2017/1/4,52.23,53.345,52.09,53.07,13757598,0.0,1,51.71300366,52.81696688,51.57438944,52.54468895,13757598,1
10438,NKE,2017/1/5,52.92,53.1,52.44,53.06,8682151,0.0,1,52.39617372,52.574392,51.92092498,52.53478794,8682151,-1
10439,NKE,2017/1/6,53.09,54.09,52.98,53.91,12532449,0.0,1,52.56449098,53.55459253,52.45557981,53.37637425,12532449,1
10440,NKE,2017/1/9,53.96,53.99,53.215,53.38,8835265,0.0,1,53.42587933,53.45558237,52.68825368,52.85162043,8835265,-1
10441,NKE,2017/1/10,53.55,53.7301,53.11,53.11,8041852,0.0,1,53.01993769,53.19825498,52.58429302,52.58429302,8041852,-1
10442,NKE,2017/1/11,53.12,53.29,52.665,52.69,8208307,0.0,1,52.59419403,52.76251129,52.14369783,52.16845037,8208307,-1
10443,NKE,2017/1/12,52.51,52.69,52.16,52.4,7368654,0.0,1,51.99023209,52.16845037,51.64369655,51.88132092,7368654,-1
10444,NKE,2017/1/13,52.59,52.93,52.23,52.92,6694067,0.0,1,52.06944021,52.40607474,51.71300366,52.39617372,6694067,1
10445,NKE,2017/1/17,53.4,53.95,53.01,53.65,9888451,0.0,1,52.87142246,53.41597831,52.48528286,53.11894785,9888451,1
10446,NKE,2017/1/18,53.86,53.89,52.86,53.27,6742444,0.0,1,53.32686917,53.35657222,52.33676763,52.74270926,6742444,-1
10447,NKE,2017/1/19,53.84,53.94,52.89,52.93,8320612,0.0,1,53.30706714,53.4060773,52.36647068,52.40607474,8320612,-1
10448,NKE,2017/1/20,53.22,53.352,52.9,53.2,7860847,0.0,1,52.69320418,52.82389759,52.37637169,52.67340215,7860847,1
10449,NKE,2017/1/23,53.02,53.26,52.7247,53.24,7025695,0.0,1,52.49518388,52.73280825,52.20280689,52.71300622,7025695,1
10450,NKE,2017/1/24,53.02,53.57,52.99,53.45,6321310,0.0,1,52.49518388,53.03973973,52.46548083,52.92092754,6321310,1
10451,NKE,2017/1/25,53.73,54.12,53.69,53.86,6675011,0.0,1,53.19815597,53.58429557,53.15855191,53.32686917,6675011,1
10452,NKE,2017/1/26,54.11,54.12,53.36,53.65,6201845,0.0,1,53.57439456,53.58429557,52.8318184,53.11894785,6201845,-1
10453,NKE,2017/1/27,53.68,54.08,53.03,53.19,7361878,0.0,1,53.1486509,53.54469151,52.50508489,52.66350114,7361878,-1
10454,NKE,2017/1/30,52.78,53.22,52.41,53.08,9770223,0.0,1,52.25755951,52.69320418,51.89122193,52.55458997,9770223,-1
10455,NKE,2017/1/31,51.68,52.9,51.63,52.9,12284427,0.0,1,51.16844781,52.37637169,51.11894273,52.37637169,12284427,-1
10456,NKE,2017/2/1,52.98,53.26,52.61,53.02,8810837,0.0,1,52.45557981,52.73280825,52.08924224,52.49518388,8810837,1
10457,NKE,2017/2/2,53.0,53.01,52.4801,52.8,7874179,0.0,1,52.47538185,52.48528286,51.96062805,52.27736154,7874179,-1
10458,NKE,2017/2/3,52.62,52.805,52.25,52.36,8850413,0.0,1,52.09914326,52.28231204,51.73280569,51.84171686,8850413,-1
10459,NKE,2017/2/6,52.09,52.8,52.05,52.8,7354956,0.0,1,51.57438944,52.27736154,51.53478538,52.27736154,7354956,1
