None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
10708,PFE,2016/12/27,32.57,32.72,32.48,32.53,11220052,0.0,1,31.34244231,31.48678883,31.25583439,31.3039499,11220052,0
10709,PFE,2016/12/28,32.5,32.69,32.34,32.35,13938755,0.0,1,31.27508059,31.45791953,31.12111097,31.13073407,13938755,-1
10710,PFE,2016/12/29,32.39,32.62,32.37,32.49,14067567,0.0,1,31.16922647,31.39055781,31.14998027,31.26545749,14067567,1
10711,PFE,2016/12/30,32.34,32.6,32.31,32.48,18866618,0.0,1,31.12111097,31.37131161,31.09224166,31.25583439,18866618,-1
10712,PFE,2017/1/3,32.7,33.0,32.59,33.0,22193434,0.0,1,31.46754263,31.75623568,31.36168851,31.75623568,22193434,1
10713,PFE,2017/1/4,33.13,33.35,33.03,33.29,21588116,0.0,1,31.881336,32.09304424,31.78510498,32.03530563,21588116,1
10714,PFE,2017/1/5,33.37,33.69,33.12,33.61,20003066,0.0,1,32.11229044,32.4202297,31.8717129,32.34324488,20003066,1
10715,PFE,2017/1/6,33.66,33.7,33.34,33.48,17474593,0.0,1,32.39136039,32.4298528,32.08342114,32.21814456,17474593,-1
10716,PFE,2017/1/9,33.43,33.67,33.38,33.47,20455130,0.0,1,32.17002905,32.40098349,32.12191354,32.20852146,20455130,-1
10717,PFE,2017/1/10,33.59,33.66,33.32,33.44,19397333,0.0,1,32.32399868,32.39136039,32.06417493,32.17965215,19397333,-1
10718,PFE,2017/1/11,33.37,33.54,32.4,32.83,40439412,0.0,1,32.11229044,32.27588317,31.17884958,31.59264295,40439412,-1
10719,PFE,2017/1/12,32.53,32.62,32.3,32.6,31760207,0.0,1,31.3039499,31.39055781,31.08261856,31.37131161,31760207,-1
10720,PFE,2017/1/13,32.67,32.78,32.33,32.52,20291171,0.0,1,31.43867332,31.54452744,31.11148786,31.2943268,20291171,-1
10721,PFE,2017/1/17,32.35,32.38,31.78,32.06,32104523,0.0,1,31.13073407,31.15960337,30.58221727,30.85166412,32104523,-1
10722,PFE,2017/1/18,32.09,32.275,31.95,32.03,21469433,0.0,1,30.88053342,31.0585608,30.74581,30.82279481,21469433,-1
10723,PFE,2017/1/19,32.06,32.09,31.53,31.7,26144122,0.0,1,30.85166412,30.88053342,30.34163973,30.50523246,26144122,-1
10724,PFE,2017/1/20,31.72,32.12,31.66,31.77,30156745,0.0,1,30.52447866,30.90940273,30.46674005,30.57259417,30156745,1
10725,PFE,2017/1/23,31.68,31.82,31.44,31.46,24760677,0.0,1,30.48598625,30.62070968,30.25503181,30.27427801,24760677,-1
10726,PFE,2017/1/24,31.4,31.46,30.9,31.15,29625416,0.0,1,30.2165394,30.27427801,29.73538432,29.97596186,29625416,-1
10727,PFE,2017/1/25,31.36,31.52,31.1,31.29,32168240,0.0,1,30.178047,30.33201662,29.92784635,30.11068528,32168240,1
10728,PFE,2017/1/26,31.4,31.47,31.2,31.28,27183258,0.0,1,30.2165394,30.28390112,30.02407737,30.10106218,27183258,-1
10729,PFE,2017/1/27,31.47,31.54,31.26,31.42,24052835,0.0,1,30.28390112,30.35126283,30.08181598,30.23578561,24052835,1
10730,PFE,2017/1/30,31.47,31.5,31.06,31.31,27457164,0.0,1,30.28390112,30.31277042,29.88935395,30.12993149,27457164,-1
10731,PFE,2017/1/31,31.01,31.93,30.9343,31.73,37429330,0.0,1,29.84123844,30.7265638,29.76839156,30.53410176,37429330,1
10732,PFE,2017/2/1,31.51,31.69,31.26,31.67,28491469,0.32,1,30.62877704,30.80374308,30.38576865,30.78430241,28491469,-1
10733,PFE,2017/2/2,31.47,31.73,31.32,31.73,23372299,0.0,1,30.5898957,30.84262442,30.44409066,30.84262442,23372299,1
10734,PFE,2017/2/3,32.12,32.24,31.92,32.09,35987524,0.0,1,31.2217175,31.33836153,31.02731079,31.19255649,35987524,1
10735,PFE,2017/2/6,32.0,32.33,31.94,32.23,24533170,0.0,1,31.10507348,31.42584455,31.04675146,31.32864119,24533170,1
10736,PFE,2017/2/7,32.32,32.35,31.94,32.08,23511655,0.0,1,31.41612421,31.44528522,31.04675146,31.18283616,23511655,-1
10737,PFE,2017/2/8,31.92,32.345,31.92,32.14,19159314,0.0,1,31.02731079,31.44042505,31.02731079,31.24115817,19159314,1
10738,PFE,2017/2/9,32.26,32.54,32.23,32.38,23816348,0.0,1,31.3578022,31.62997159,31.32864119,31.47444622,23816348,1
10739,PFE,2017/2/10,32.41,32.45,32.23,32.35,21907167,0.0,1,31.50360723,31.54248857,31.32864119,31.44528522,21907167,-1
10740,PFE,2017/2/13,32.44,32.69,32.44,32.61,20620122,0.0,1,31.53276824,31.77577662,31.53276824,31.69801394,20620122,1
10741,PFE,2017/2/14,32.53,32.77,32.35,32.75,22962941,0.0,1,31.62025125,31.85353931,31.44528522,31.83409864,22962941,1
10742,PFE,2017/2/15,32.78,33.58,32.685,33.51,45574488,0.0,1,31.86325964,32.64088648,31.77091645,32.57284413,45574488,1
10743,PFE,2017/2/16,33.45,33.885,33.22,33.62,38332300,0.0,1,32.51452212,32.93735671,32.2909544,32.67976782,38332300,1
10744,PFE,2017/2/17,33.59,33.89,33.53,33.62,34992631,0.0,1,32.65060681,32.94221688,32.5922848,32.67976782,34992631,-1
10745,PFE,2017/2/21,33.571,33.8,33.48,33.62,24089633,0.0,1,32.63213818,32.85473386,32.54368312,32.67976782,24089633,-1
10746,PFE,2017/2/22,33.57,33.75,33.25,33.59,27207299,0.0,1,32.63116614,32.80613218,32.32011541,32.65060681,27207299,-1
10747,PFE,2017/2/23,33.7,34.12,33.58,34.06,30477129,0.0,1,32.7575305,33.16578459,32.64088648,33.10746258,30477129,1
10748,PFE,2017/2/24,34.17,34.35,33.99,34.26,24711954,0.0,1,33.21438627,33.38935231,33.03942023,33.30186929,24711954,1
10749,PFE,2017/2/27,34.23,34.46,34.16,34.28,21830284,0.0,1,33.27270828,33.496276,33.20466594,33.32130996,21830284,1
10750,PFE,2017/2/28,34.1,34.264,33.91,34.12,27480505,0.0,1,33.14634392,33.30575742,32.96165755,33.16578459,27480505,-1
10751,PFE,2017/3/1,34.27,34.53,34.05,34.42,32291229,0.0,1,33.31158963,33.56431835,33.09774225,33.45739466,32291229,1
10752,PFE,2017/3/2,34.46,34.75,34.42,34.51,25571698,0.0,1,33.496276,33.77816573,33.45739466,33.54487768,25571698,1
10753,PFE,2017/3/3,34.42,34.6464,34.36,34.52,18837249,0.0,1,33.45739466,33.67746305,33.39907264,33.55459801,18837249,1
