None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
10984,PG,2016/12/27,84.8984,84.94,84.42,84.6,3782537,0.0,1,82.32318621,82.36352436,81.85929747,82.03383755,3782537,0
10985,PG,2016/12/28,84.4,84.63,83.945,84.07,4298812,0.0,1,81.83990412,82.06292756,81.39870559,81.51991398,4298812,-1
10986,PG,2016/12/29,84.24,84.49,84.1,84.35,3718306,0.0,1,81.68475739,81.92717416,81.54900399,81.79142077,3718306,1
10987,PG,2016/12/30,84.17,84.45,83.92,84.08,6209846,0.0,1,81.61688069,81.88838748,81.37446391,81.52961065,6209846,-1
10988,PG,2017/1/3,83.88,84.39,83.5,84.2,8792706,0.0,1,81.33567723,81.83020745,80.96720372,81.6459707,8792706,1
10989,PG,2017/1/4,84.45,84.6016,84.2354,84.5,8096650,0.0,1,81.88838748,82.03538901,81.68029692,81.93687083,8096650,1
10990,PG,2017/1/5,84.41,85.4274,84.38,85.06,6852435,0.0,1,81.84960079,82.83614011,81.82051078,82.47988442,6852435,1
10991,PG,2017/1/6,84.941,85.25,84.62,85.03,4799945,0.0,1,82.36449403,82.66412117,82.05323089,82.4507944,4799945,-1
10992,PG,2017/1/9,84.06,84.66,83.75,84.4,11000479,0.0,1,81.51021731,82.09201757,81.2096205,81.83990412,11000479,-1
10993,PG,2017/1/10,84.34,84.43,83.24,83.49,10918153,0.0,1,81.7817241,81.86899414,80.71509027,80.95750705,10918153,-1
10994,PG,2017/1/11,83.39,83.75,83.275,83.75,9572286,0.0,1,80.86054034,81.2096205,80.74902862,81.2096205,9572286,1
10995,PG,2017/1/12,83.71,83.88,83.3701,83.84,6545444,0.0,1,81.17083382,81.33567723,80.84124397,81.29689054,6545444,1
10996,PG,2017/1/13,83.85,84.02,83.44,84.01,6762626,0.0,1,81.30658721,81.47143062,80.9090237,81.46173395,6762626,1
10997,PG,2017/1/17,83.9,85.58,83.88,85.21,13145073,0.0,1,81.35507057,82.98411131,81.33567723,82.62533448,13145073,1
