None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
11260,TRV,2016/12/27,122.27,122.27,121.65,121.98,607790,0.0,1,121.5980215,121.5980215,120.9814289,121.3096153,607790,0
11261,TRV,2016/12/28,122.4,122.77,121.97,122.08,867510,0.0,1,121.727307,122.0952736,121.2996702,121.4090657,867510,1
11262,TRV,2016/12/29,122.07,122.6,121.91,122.29,767790,0.0,1,121.3991207,121.9262079,121.24,121.6179116,767790,1
11263,TRV,2016/12/30,122.79,122.84,122.05,122.42,1014278,0.0,1,122.1151636,122.1648889,121.3792306,121.7471971,1014278,1
11264,TRV,2017/1/3,123.07,123.07,120.26,120.9,1955430,0.0,1,122.3936248,122.3936248,119.5990682,120.2355508,1955430,-1
11265,TRV,2017/1/4,120.87,121.74,120.22,120.25,1780156,0.0,1,120.2057157,121.0709343,119.559288,119.5891231,1780156,-1
11266,TRV,2017/1/5,119.29,119.5,117.28,118.33,2696487,0.0,1,118.6343991,118.843245,116.6354458,117.6796752,2696487,-1
11267,TRV,2017/1/6,117.83,118.71,117.62,118.27,1532295,0.0,1,117.1824231,118.0575867,116.9735772,117.6200049,1532295,-1
11268,TRV,2017/1/9,118.15,118.25,117.3,117.32,1526223,0.0,1,117.5006644,117.6001148,116.6553359,116.675226,1526223,-1
11269,TRV,2017/1/10,116.69,117.72,116.45,117.18,1758807,0.0,1,116.0486884,117.0730276,115.8100074,116.5359954,1758807,-1
11270,TRV,2017/1/11,117.22,118.15,117.19,117.65,1433626,0.0,1,116.5757756,117.5006644,116.5459404,117.0034124,1433626,1
11271,TRV,2017/1/12,117.25,117.27,115.88,116.75,1679167,0.0,1,116.6056107,116.6255008,115.24314,116.1083586,1679167,-1
11272,TRV,2017/1/13,117.27,117.85,116.7,117.05,1543846,0.0,1,116.6255008,117.2023132,116.0586334,116.4067099,1543846,1
11273,TRV,2017/1/17,117.01,118.16,116.62,117.46,1607915,0.0,1,116.3669297,117.5106095,115.9790731,116.8144566,1607915,1
11274,TRV,2017/1/18,118.08,118.59,117.14,118.54,1486799,0.0,1,117.4310491,117.9382462,116.4962152,117.888521,1486799,1
11275,TRV,2017/1/19,118.91,118.95,117.42,117.99,994748,0.0,1,118.2564876,118.2962677,116.7746764,117.3415438,994748,-1
11276,TRV,2017/1/20,118.57,118.89,117.63,118.02,1222280,0.0,1,117.9183562,118.2365975,116.9835223,117.3713789,1222280,1
11277,TRV,2017/1/23,118.16,118.259,117.43,118.04,1593340,0.0,1,117.5106095,117.6090654,116.7846214,117.391269,1593340,1
11278,TRV,2017/1/24,118.55,119.15,116.16,116.84,3038258,0.0,1,117.8984661,118.4951686,115.5216012,116.197864,3038258,-1
11279,TRV,2017/1/25,117.33,118.65,117.33,117.67,1536121,0.0,1,116.685171,117.9979165,116.685171,117.0233024,1536121,1
11280,TRV,2017/1/26,117.65,118.43,117.65,118.13,1360824,0.0,1,117.0034124,117.7791256,117.0034124,117.4807743,1360824,1
11281,TRV,2017/1/27,118.4,118.43,117.43,118.1,961452,0.0,1,117.7492905,117.7791256,116.7846214,117.4509392,961452,-1
11282,TRV,2017/1/30,118.02,118.02,117.16,117.51,1200979,0.0,1,117.3713789,117.3713789,116.5161053,116.8641818,1200979,-1
11283,TRV,2017/1/31,117.54,117.81,117.01,117.78,1478048,0.0,1,116.8940169,117.162533,116.3669297,117.1326979,1478048,1
11284,TRV,2017/2/1,117.69,118.24,116.25,116.54,1402592,0.0,1,117.0431925,117.5901698,115.6111066,115.8995128,1402592,-1
11285,TRV,2017/2/2,116.55,117.81,116.55,117.63,1081967,0.0,1,115.9094578,117.162533,115.9094578,116.9835223,1081967,1
11286,TRV,2017/2/3,118.42,118.65,117.6,117.78,1355201,0.0,1,117.7691805,117.9979165,116.9536871,117.1326979,1355201,1
11287,TRV,2017/2/6,116.46,117.94,116.46,117.67,987950,0.0,1,115.8199524,117.2918186,115.8199524,117.0233024,987950,-1
11288,TRV,2017/2/7,118.1,118.22,117.4,117.76,1161710,0.0,1,117.4509392,117.5702797,116.7547863,117.1128078,1161710,1
11289,TRV,2017/2/8,117.49,117.98,117.36,117.81,905125,0.0,1,116.8442917,117.3315987,116.7150062,117.162533,905125,1
11290,TRV,2017/2/9,117.89,119.17,117.854,118.78,1099914,0.0,1,117.2420933,118.5150586,117.2062912,118.127202,1099914,1
11291,TRV,2017/2/10,119.0,120.21,118.99,119.73,1203168,0.0,1,118.3459929,119.549343,118.3360479,119.071981,1203168,1
11292,TRV,2017/2/13,117.37,120.1,117.29,119.71,1519190,0.0,1,116.7249512,119.4399475,116.6453909,119.0520909,1519190,-1
11293,TRV,2017/2/14,119.71,120.32,119.49,120.24,1397061,0.0,1,119.0520909,119.6587384,118.8333,119.5791781,1397061,1
11294,TRV,2017/2/15,120.65,120.99,120.11,120.98,1416088,0.0,1,119.9869248,120.3250562,119.4498925,120.3151111,1416088,1
11295,TRV,2017/2/16,121.05,121.79,120.73,121.79,1502915,0.0,1,120.3847264,121.1206595,120.0664851,121.1206595,1502915,1
11296,TRV,2017/2/17,121.72,122.0,121.08,121.95,1334680,0.0,1,121.0510442,121.3295054,120.4145616,121.2797802,1334680,1
11297,TRV,2017/2/21,121.81,122.45,121.06,121.55,1245572,0.0,1,121.1405496,121.7770322,120.3946715,120.8819785,1245572,-1
11298,TRV,2017/2/22,121.42,122.42,121.27,121.9,1184887,0.0,1,120.752693,121.7471971,120.6035173,121.230055,1184887,1
11299,TRV,2017/2/23,122.41,123.08,121.71,122.36,1134121,0.0,1,121.7372521,122.4035698,121.0410992,121.6875269,1134121,1
11300,TRV,2017/2/24,122.36,122.68,121.74,122.27,1698631,0.0,1,121.6875269,122.0057682,121.0709343,121.5980215,1698631,-1
11301,TRV,2017/2/27,121.86,122.76,121.61,122.04,914370,0.0,1,121.1902748,122.0853285,120.9416488,121.3692855,914370,-1
11302,TRV,2017/2/28,122.05,122.96,121.79,122.24,1966038,0.0,1,121.3792306,122.2842293,121.1206595,121.5681864,1966038,1
11303,TRV,2017/3/1,123.81,125.16,122.98,124.99,2619558,0.0,1,123.1295579,124.4721385,122.3041194,124.3030728,2619558,1
11304,TRV,2017/3/2,125.49,125.49,124.47,124.52,1531378,0.0,1,124.8003248,124.8003248,123.7859306,123.8356558,1531378,-1
11305,TRV,2017/3/3,124.79,125.16,123.99,124.13,1519150,0.0,1,124.1041719,124.4721385,123.3085686,123.4477992,1519150,-1
11306,TRV,2017/3/6,124.03,124.28,122.29,122.32,2417939,0.0,1,123.3483488,123.5969748,121.6179116,121.6477467,2417939,-1
11307,TRV,2017/3/7,122.63,122.63,121.68,122.14,1773937,0.0,1,121.956043,121.956043,121.011264,121.468736,1773937,-1
