None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
11536,UNH,2016/12/27,163.26,163.96,162.45,162.64,1343946,0.0,1,161.3703358,162.0622336,160.5697112,160.757512,1343946,0
11537,UNH,2016/12/28,162.16,163.25,161.32,161.44,1669083,0.0,1,160.2830678,161.3604515,159.4527905,159.5714015,1669083,-1
11538,UNH,2016/12/29,161.92,162.36,160.39,161.04,2476270,0.0,1,160.0458457,160.4807529,158.5335548,159.1760313,2476270,-1
11539,UNH,2016/12/30,161.37,161.48,159.85,160.04,2855596,0.0,1,159.5022117,159.6109385,157.9998051,158.1876059,2855596,-1
11540,UNH,2017/1/3,161.13,162.27,159.15,161.45,3540336,0.0,1,159.2649896,160.3917946,157.3079073,159.5812858,3540336,1
11541,UNH,2017/1/4,162.35,162.58,159.74,161.91,2695217,0.0,1,160.4708686,160.6982065,157.8910783,160.0359615,2695217,1
11542,UNH,2017/1/5,161.75,162.63,161.51,162.18,2961043,0.0,1,159.8778134,160.7476278,159.6405913,160.3028363,2961043,1
11543,UNH,2017/1/6,161.75,162.94,161.11,162.41,3081255,0.0,1,159.8778134,161.0540396,159.2452211,160.5301742,3081255,1
11544,UNH,2017/1/9,162.0,162.43,160.78,161.95,3041495,0.0,1,160.1249197,160.5499427,158.9190407,160.0754985,3041495,-1
11545,UNH,2017/1/10,161.27,162.98,160.5,161.58,3500741,0.0,1,159.4033692,161.0935767,158.6422816,159.7097811,3500741,-1
11546,UNH,2017/1/11,161.3,162.94,160.6101,161.89,3330608,0.0,1,159.4330219,161.0540396,158.7511072,160.0161929,3330608,1
11547,UNH,2017/1/12,161.69,162.94,160.89,162.36,2555823,0.0,1,159.8185079,161.0540396,159.0277675,160.4807529,2555823,1
11548,UNH,2017/1/13,162.16,162.739,161.41,161.8,3182390,0.0,1,160.2830678,160.8553661,159.5417487,159.9272347,3182390,-1
11549,UNH,2017/1/17,162.61,162.97,157.51,160.66,5475764,0.0,1,160.7278593,161.0836924,155.6868896,158.8004297,5475764,-1
