None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
11812,UTX,2016/12/27,111.04,111.13,110.5,110.98,1067267,0.0,1,109.1356282,109.2240847,108.6048894,109.0766572,1067267,0
11813,UTX,2016/12/28,111.0,111.09,110.1,110.19,1894831,0.0,1,109.0963142,109.1847707,108.2117495,108.300206,1894831,-1
11814,UTX,2016/12/29,110.28,110.82,110.03,110.55,2903926,0.0,1,108.3886624,108.9194013,108.14295,108.6540319,2903926,1
11815,UTX,2016/12/30,110.59,110.79,109.38,109.62,2200540,0.0,1,108.6933458,108.8899158,107.5040977,107.7399817,2200540,-1
11816,UTX,2017/1/3,110.39,110.96,110.0,110.83,2739627,0.0,1,108.4967759,109.0570002,108.1134645,108.9292298,2739627,1
11817,UTX,2017/1/4,111.46,111.698,110.58,110.9,3091396,0.0,1,109.5484251,109.7823433,108.6835173,108.9980292,3091396,1
11818,UTX,2017/1/5,111.17,111.94,110.56,111.35,3344795,0.0,1,109.2633987,110.0201929,108.6638603,109.4403116,3344795,1
11819,UTX,2017/1/6,111.42,112.83,111.06,112.55,2622291,0.0,1,109.5091111,110.8949291,109.1552852,110.6197312,2622291,1
11820,UTX,2017/1/9,112.7,112.7,111.2706,111.5,2434178,0.0,1,110.7671587,110.7671587,109.3622733,109.587739,2434178,-1
11821,UTX,2017/1/10,111.75,111.83,111.06,111.26,1800921,0.0,1,109.8334515,109.9120794,109.1552852,109.3518551,1800921,-1
11822,UTX,2017/1/11,111.62,111.62,110.58,111.0,2746199,0.0,1,109.705681,109.705681,108.6835173,109.0963142,2746199,-1
11823,UTX,2017/1/12,111.14,111.14,109.705,110.82,2644682,0.0,1,109.2339132,109.2339132,107.8235239,108.9194013,2644682,-1
11824,UTX,2017/1/13,110.93,111.26,109.85,110.22,2880618,0.0,1,109.0275147,109.3518551,107.9660371,108.3296915,2880618,-1
11825,UTX,2017/1/17,109.78,110.27,109.4,109.97,2240147,0.0,1,107.8972376,108.3788339,107.5237547,108.083979,2240147,-1
11826,UTX,2017/1/18,110.2,110.89,109.82,110.42,2600332,0.0,1,108.3100345,108.9882007,107.9365516,108.5262614,2600332,1
11827,UTX,2017/1/19,111.03,111.6,110.02,110.73,2828243,0.0,1,109.1257997,109.686024,108.1331215,108.8309448,2828243,1
11828,UTX,2017/1/20,110.95,111.1,110.03,110.79,3134293,0.0,1,109.0471717,109.1945992,108.14295,108.8899158,3134293,1
11829,UTX,2017/1/23,110.84,111.3,109.98,110.34,2296594,0.0,1,108.9390583,109.3911691,108.0938075,108.4476334,2296594,-1
11830,UTX,2017/1/24,110.68,111.69,110.34,111.61,3240027,0.0,1,108.7818023,109.7744805,108.4476334,109.6958525,3240027,1
11831,UTX,2017/1/25,111.87,112.51,108.78,110.96,5054022,0.0,1,109.9513934,110.5804172,106.9143879,109.0570002,5054022,-1
11832,UTX,2017/1/26,110.8,111.49,109.53,110.36,3996150,0.0,1,108.8997443,109.5779105,107.6515252,108.4672904,3996150,-1
11833,UTX,2017/1/27,110.15,110.9,109.61,109.7,2829980,0.0,1,108.260892,108.9980292,107.7301532,107.8186096,2829980,-1
11834,UTX,2017/1/30,109.31,109.6,108.25,109.17,2909899,0.0,1,107.4352983,107.7203247,106.3934776,107.2976993,2909899,-1
11835,UTX,2017/1/31,109.04,109.81,108.39,109.67,3945675,0.0,1,107.1699288,107.9267231,106.5310765,107.7891241,3945675,1
11836,UTX,2017/2/1,109.63,109.905,107.9,108.18,4670018,0.0,1,107.7498101,108.0200938,106.0494802,106.3246781,4670018,-1
11837,UTX,2017/2/2,108.08,108.68,106.85,108.36,4714506,0.0,1,106.2263931,106.816103,105.017488,106.5015911,4714506,1
11838,UTX,2017/2/3,108.53,109.78,108.5,109.65,3411707,0.0,1,106.6686755,107.8972376,106.63919,107.7694671,3411707,1
11839,UTX,2017/2/6,109.81,111.25,109.675,110.68,4229522,0.0,1,107.9267231,109.3420266,107.7940384,108.7818023,4229522,1
11840,UTX,2017/2/7,111.38,111.73,110.965,111.25,2774382,0.0,1,109.4697971,109.8137945,109.0619145,109.3420266,2774382,1
11841,UTX,2017/2/8,111.09,111.09,110.351,110.4,2072853,0.0,1,109.1847707,109.1847707,108.4584448,108.5066044,2072853,-1
11842,UTX,2017/2/9,110.28,110.72,110.0,110.09,2653958,0.0,1,108.3886624,108.8211163,108.1134645,108.201921,2653958,-1
11843,UTX,2017/2/10,110.25,111.26,110.08,111.05,2679214,0.0,1,108.3591769,109.3518551,108.1920925,109.1454567,2679214,1
11844,UTX,2017/2/13,111.61,112.1,111.42,112.02,2831001,0.0,1,109.6958525,110.1774489,109.5091111,110.0988209,2831001,1
11845,UTX,2017/2/14,111.99,112.32,111.45,111.57,2771931,0.0,1,110.0693354,110.3936758,109.5385966,109.6565385,2771931,-1
11846,UTX,2017/2/15,111.13,112.08,111.06,111.91,2624996,0.66,1,109.8682442,110.807458,109.799039,110.6393882,2624996,1
11847,UTX,2017/2/16,112.14,112.33,111.81,112.07,2802060,0.0,1,110.8667768,111.0546196,110.5405236,110.7975716,2802060,1
11848,UTX,2017/2/17,111.93,112.33,111.61,112.15,2531804,0.0,1,110.6591611,111.0546196,110.3427944,110.8766633,2531804,1
11849,UTX,2017/2/21,112.19,112.8,112.04,112.5,2136895,0.0,1,110.9162091,111.5192833,110.7679122,111.2226894,2136895,1
11850,UTX,2017/2/22,112.35,112.71,111.72,112.66,2205614,0.0,1,111.0743925,111.4303051,110.4515454,111.3808728,2205614,1
11851,UTX,2017/2/23,112.7,112.8805,111.97,112.09,3471711,0.0,1,111.4204186,111.5988693,110.698707,110.8173445,3471711,-1
11852,UTX,2017/2/24,111.82,112.69,111.75,112.46,2917947,0.0,1,110.55041,111.4105322,110.4812048,111.1831436,2917947,1
11853,UTX,2017/2/27,112.59,112.97,112.03,112.81,2731287,0.0,1,111.3116676,111.6873531,110.7580257,111.5291697,2731287,1
11854,UTX,2017/2/28,112.97,113.19,112.3375,112.55,2942482,0.0,1,111.6873531,111.9048552,111.0620344,111.2721217,2942482,-1
11855,UTX,2017/3/1,113.64,114.44,113.461,113.68,5085491,0.0,1,112.349746,113.1406629,112.1727783,112.3892918,5085491,1
11856,UTX,2017/3/2,113.83,114.04,112.63,112.69,2880797,0.0,1,112.5375888,112.7452045,111.3512134,111.4105322,2880797,-1
11857,UTX,2017/3/3,112.83,113.43,112.17,112.34,3108508,0.0,1,111.5489426,112.1421303,110.8964362,111.064506,3108508,-1
11858,UTX,2017/3/6,111.83,112.3,111.54,111.66,3772184,0.0,1,110.5602965,111.0249602,110.2735891,110.3922267,3772184,-1
11859,UTX,2017/3/7,111.86,112.41,111.5,112.28,2457237,0.0,1,110.5899559,111.1337113,110.2340433,111.0051873,2457237,1
11860,UTX,2017/3/8,112.48,112.66,111.65,111.75,2585009,0.0,1,111.2029165,111.3808728,110.3823402,110.4812048,2585009,-1
11861,UTX,2017/3/9,111.87,112.3368,107.05,111.93,2919791,0.0,1,110.5998424,111.0613424,105.834568,110.6591611,2919791,1
11862,UTX,2017/3/10,112.39,112.58,111.29,112.14,3218687,0.0,1,111.1139383,111.3017811,110.0264276,110.8667768,3218687,1
11863,UTX,2017/3/13,112.56,112.7279,111.96,112.31,2976331,0.0,1,111.2820082,111.4480019,110.6888205,111.0348467,2976331,1
11864,UTX,2017/3/14,111.88,112.17,111.55,111.83,2195323,0.0,1,110.6097288,110.8964362,110.2834756,110.5602965,2195323,-1
11865,UTX,2017/3/15,112.12,113.3,111.87,113.08,3169053,0.0,1,110.8470039,112.0136063,110.5998424,111.7961042,3169053,1
11866,UTX,2017/3/16,112.77,113.22,111.945,112.34,2933831,0.0,1,111.4896239,111.9345146,110.6739908,111.064506,2933831,-1
11867,UTX,2017/3/17,112.68,113.95,112.27,113.45,7442342,0.0,1,111.4006457,112.6562263,110.9953008,112.1619032,7442342,1
11868,UTX,2017/3/20,113.4,114.08,112.83,113.51,3057832,0.0,1,112.1124709,112.7847503,111.5489426,112.221222,3057832,1
11869,UTX,2017/3/21,113.66,114.15,111.98,112.16,3572132,0.0,1,112.3695189,112.8539555,110.7085934,110.8865497,3572132,-1
11870,UTX,2017/3/22,112.37,112.4199,111.42,111.93,2127037,0.0,1,111.0941654,111.1434989,110.1549516,110.6591611,2127037,-1
11871,UTX,2017/3/23,111.93,112.45,111.56,111.84,2288027,0.0,1,110.6591611,111.1732571,110.2933621,110.570183,2288027,-1
11872,UTX,2017/3/24,111.98,112.28,111.33,111.8,2249660,0.0,1,110.7085934,111.0051873,110.0659734,110.5306371,2249660,-1
11873,UTX,2017/3/27,111.08,111.93,110.45,111.83,2490820,0.0,1,109.8188119,110.6591611,109.1959649,110.5602965,2490820,1
11874,UTX,2017/3/28,111.41,113.1461,111.32,112.74,3257682,0.0,1,110.1450651,111.8614537,110.056087,111.4599645,3257682,1
11875,UTX,2017/3/29,112.55,112.55,111.91,112.06,1998809,0.0,1,111.2721217,111.2721217,110.6393882,110.7876851,1998809,-1
11876,UTX,2017/3/30,111.96,112.66,111.85,112.45,1481596,0.0,1,110.6888205,111.3808728,110.5800694,111.1732571,1481596,1
11877,UTX,2017/3/31,112.5,112.63,111.85,112.21,2483734,0.0,1,111.2226894,111.3512134,110.5800694,110.935982,2483734,-1
11878,UTX,2017/4/3,112.28,112.48,111.24,111.93,2123043,0.0,1,111.0051873,111.2029165,109.9769953,110.6591611,2123043,-1
11879,UTX,2017/4/4,112.27,113.2499,112.24,112.99,2970932,0.0,1,110.9953008,111.9640751,110.9656414,111.707126,2970932,1
11880,UTX,2017/4/5,113.14,114.38,112.45,112.5,3011928,0.0,1,111.8554229,113.0813441,111.1732571,111.2226894,3011928,-1
11881,UTX,2017/4/6,112.57,112.93,112.19,112.41,2185654,0.0,1,111.2918946,111.6478072,110.9162091,111.1337113,2185654,-1
11882,UTX,2017/4/7,112.63,113.205,112.23,112.99,2063924,0.0,1,111.3512134,111.9196849,110.955755,111.707126,2063924,1
11883,UTX,2017/4/10,112.99,113.75,112.68,112.88,2097453,0.0,1,111.707126,112.4584971,111.4006457,111.5983749,2097453,-1
11884,UTX,2017/4/11,112.5,113.17,112.25,113.14,2393450,0.0,1,111.2226894,111.8850823,110.9755279,111.8554229,2393450,1
11885,UTX,2017/4/12,112.78,112.82,112.135,112.24,2605103,0.0,1,111.4995103,111.5390562,110.8618336,110.9656414,2605103,-1
11886,UTX,2017/4/13,112.05,112.7,111.821,112.09,2260869,0.0,1,110.7777987,111.4204186,110.5513987,110.8173445,2260869,-1
11887,UTX,2017/4/17,112.53,113.28,112.295,113.27,3503844,0.0,1,111.2523488,111.9938334,111.020017,111.9839469,3503844,1
