None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
12088,VZ,2016/12/27,53.69,53.83,53.44,53.64,6255316,0.0,1,52.48921359,52.62608246,52.24480488,52.44033185,6255316,0
12089,VZ,2016/12/28,53.63,53.83,53.37,53.44,6849338,0.0,1,52.4305555,52.62608246,52.17637045,52.24480488,6849338,-1
12090,VZ,2016/12/29,53.59,53.9,53.51,53.74,7150762,0.0,1,52.39145011,52.6945169,52.31323932,52.53809533,7150762,1
12091,VZ,2016/12/30,53.55,53.64,53.17,53.38,12440227,0.0,1,52.35234471,52.44033185,51.98084348,52.18614679,12440227,-1
12092,VZ,2017/1/3,53.96,54.67,53.73,54.58,22891725,0.0,1,52.75317499,53.44729572,52.52831898,53.35930858,22891725,1
12093,VZ,2017/1/4,54.55,54.81,54.33,54.52,18315735,0.0,1,53.32997954,53.58416459,53.11489988,53.30065049,18315735,-1
12094,VZ,2017/1/5,54.78,54.83,54.3,54.64,13840040,0.0,1,53.55483555,53.60371729,53.08557083,53.41796667,13840040,1
12095,VZ,2017/1/6,53.67,53.78,53.095,53.26,15615037,0.577,1,53.03809864,53.14680352,52.46986859,52.63292591,15615037,-1
12096,VZ,2017/1/9,53.22,53.265,52.67,52.68,14097045,0.0,1,52.59339686,52.63786704,52.04987247,52.05975473,14097045,-1
12097,VZ,2017/1/10,52.69,53.16,52.02,52.76,11787399,0.0,1,52.06963699,52.53410329,51.40752546,52.13881282,11787399,1
12098,VZ,2017/1/11,52.62,52.75,52.235,52.46,16142843,0.0,1,52.00046116,52.12893056,51.61999408,51.84234497,16142843,-1
12099,VZ,2017/1/12,52.43,52.89,52.265,52.68,11052102,0.0,1,51.81269819,52.26728222,51.64964087,52.05975473,11052102,1
12100,VZ,2017/1/13,52.72,52.9,52.41,52.55,9458640,0.0,1,52.09928378,52.27716449,51.79293366,51.93128533,9458640,-1
12101,VZ,2017/1/17,52.55,52.89,52.5,52.74,11383490,0.0,1,51.93128533,52.26728222,51.88187402,52.1190483,11383490,1
12102,VZ,2017/1/18,52.52,52.835,52.21,52.25,12930855,0.0,1,51.90163854,52.21292979,51.59528843,51.63481748,12930855,-1
12103,VZ,2017/1/19,52.55,52.64,52.18,52.36,13286142,0.0,1,51.93128533,52.02022568,51.56564164,51.74352235,13286142,1
12104,VZ,2017/1/20,52.6,53.2,52.56,52.72,15468202,0.0,1,51.98069664,52.57363234,51.94116759,52.09928378,15468202,1
12105,VZ,2017/1/23,52.46,52.7,52.18,52.41,15695013,0.0,1,51.84234497,52.07951925,51.56564164,51.79293366,15695013,-1
12106,VZ,2017/1/24,50.255,50.79,49.79,50.12,43484680,0.0,1,49.66330626,50.19200726,49.20378109,49.52989573,43484680,-1
12107,VZ,2017/1/25,49.5,49.94,48.84,49.77,30398594,0.0,1,48.9171955,49.35201502,48.26496623,49.18401657,30398594,-1
12108,VZ,2017/1/26,48.75,49.47,48.51,49.12,37873151,0.0,1,48.17602587,48.88754872,47.93885159,48.54166956,37873151,-1
12109,VZ,2017/1/27,49.35,49.73,49.27,49.6,18361579,0.0,1,48.76896158,49.14448752,48.68990348,49.01601812,18361579,1
12110,VZ,2017/1/30,49.49,49.84,49.18,49.37,12148650,0.0,1,48.90731324,49.2531924,48.60096313,48.7887261,12148650,-1
12111,VZ,2017/1/31,49.21,49.47,48.93,49.01,16843899,0.0,1,48.63060991,48.88754872,48.35390658,48.43296468,16843899,-1
12112,VZ,2017/2/1,49.34,49.37,48.25,48.39,25998820,0.0,1,48.75907932,48.7887261,47.68191279,47.82026445,25998820,-1
12113,VZ,2017/2/2,48.54,48.59,47.9,48.28,17787157,0.0,1,47.96849838,48.01790969,47.33603363,47.71155957,17787157,-1
12114,VZ,2017/2/3,48.45,48.62,48.33,48.58,15166338,0.0,1,47.87955802,48.04755647,47.76097088,48.00802742,15166338,1
12115,VZ,2017/2/6,48.67,48.67,47.94,48.03,16149010,0.0,1,48.09696778,48.09696778,47.37556267,47.46450303,16149010,-1
12116,VZ,2017/2/7,48.13,48.16,47.8,48.04,12771352,0.0,1,47.56332565,47.59297243,47.23721101,47.47438529,12771352,1
12117,VZ,2017/2/8,48.15,48.57,48.1,48.37,13961169,0.0,1,47.58309017,47.99814516,47.53367886,47.80049993,13961169,1
12118,VZ,2017/2/9,48.52,48.96,48.41,48.81,13577346,0.0,1,47.94873385,48.38355337,47.84002898,48.23531944,13577346,1
12119,VZ,2017/2/10,48.94,49.12,48.69,48.98,12317356,0.0,1,48.36378885,48.54166956,48.1167323,48.40331789,12317356,1
12120,VZ,2017/2/13,48.27,48.615,48.08,48.55,18305342,0.0,1,47.70167731,48.04261534,47.51391434,47.97838064,18305342,-1
12121,VZ,2017/2/14,48.31,48.47,47.99,48.27,20846326,0.0,1,47.74120636,47.89932255,47.42497398,47.70167731,20846326,-1
12122,VZ,2017/2/15,48.0,48.1,47.8,48.08,19297054,0.0,1,47.43485625,47.53367886,47.23721101,47.51391434,19297054,-1
12123,VZ,2017/2/16,48.03,48.52,47.89,48.46,18706949,0.0,1,47.46450303,47.94873385,47.32615137,47.88944028,18706949,1
12124,VZ,2017/2/17,48.31,49.3,48.13,49.19,23189694,0.0,1,47.74120636,48.71955027,47.56332565,48.61084539,23189694,1
12125,VZ,2017/2/21,49.51,49.69,49.23,49.43,19203379,0.0,1,48.92707776,49.10495848,48.65037444,48.84801967,19203379,1
12126,VZ,2017/2/22,49.5,49.7,49.48,49.67,13653423,0.0,1,48.9171955,49.11484074,48.89743098,49.08519395,13653423,1
12127,VZ,2017/2/23,49.98,50.5,49.67,50.31,16211994,0.0,1,49.39154407,49.90542167,49.08519395,49.7176587,16211994,1
12128,VZ,2017/2/24,50.28,50.945,50.28,50.6,14357916,0.0,1,49.68801192,50.34518232,49.68801192,50.00424429,14357916,1
12129,VZ,2017/2/27,50.49,50.55,49.8,49.94,14028319,0.0,1,49.89553941,49.95483298,49.21366335,49.35201502,14028319,-1
12130,VZ,2017/2/28,49.96,50.03,49.41,49.63,17694874,0.0,1,49.37177954,49.44095537,48.82825515,49.04566491,17694874,-1
12131,VZ,2017/3/1,49.56,49.98,49.37,49.81,16095603,0.0,1,48.97648907,49.39154407,48.7887261,49.22354562,16095603,1
12132,VZ,2017/3/2,49.69,50.02,49.6,49.98,10773347,0.0,1,49.10495848,49.43107311,49.01601812,49.39154407,10773347,1
12133,VZ,2017/3/3,50.05,50.14,49.8,50.09,11075118,0.0,1,49.4607199,49.54966025,49.21366335,49.50024894,11075118,1
12134,VZ,2017/3/6,50.03,50.145,49.84,50.03,10827336,0.0,1,49.44095537,49.55460138,49.2531924,49.44095537,10827336,-1
12135,VZ,2017/3/7,50.0,50.06,49.36,49.44,12895567,0.0,1,49.41130859,49.47060216,48.77884384,48.85790193,12895567,-1
12136,VZ,2017/3/8,49.3,49.33,48.9,49.16,14206492,0.0,1,48.71955027,48.74919705,48.3242598,48.5811986,14206492,-1
12137,VZ,2017/3/9,49.22,49.4499,49.075,49.28,10590012,0.0,1,48.64049217,48.86768537,48.49719938,48.69978574,10590012,1
12138,VZ,2017/3/10,49.5,49.52,49.1,49.35,11181573,0.0,1,48.9171955,48.93696003,48.52190503,48.76896158,11181573,1
12139,VZ,2017/3/13,49.33,49.53,49.13,49.47,10488812,0.0,1,48.74919705,48.94684229,48.55155182,48.88754872,10488812,1
12140,VZ,2017/3/14,49.44,49.625,49.25,49.36,8496589,0.0,1,48.85790193,49.04072377,48.67013896,48.77884384,8496589,-1
