None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
12364,WMT,2016/12/27,69.3,69.815,69.25,69.7,4435668,0.0,1,67.91845654,68.42318966,67.86945333,68.31048227,4435668,0
12365,WMT,2016/12/28,69.94,70.0,69.26,69.31,4875301,0.0,1,68.5456977,68.60450156,67.87925397,67.92825719,4875301,-1
12366,WMT,2016/12/29,69.21,69.52,69.12,69.26,4298446,0.0,1,67.83025076,68.13407069,67.74204497,67.87925397,4298446,-1
12367,WMT,2016/12/30,69.12,69.43,68.83,69.12,6889478,0.0,1,67.74204497,68.0458649,67.45782632,67.74204497,6889478,-1
12368,WMT,2017/1/3,69.24,69.24,68.05,68.66,10473162,0.0,1,67.85965269,67.85965269,66.69337616,67.29121539,10473162,-1
12369,WMT,2017/1/4,68.66,69.63,68.6,69.06,7914476,0.0,1,67.29121539,68.24187777,67.23241153,67.68324111,7914476,1
12370,WMT,2017/1/5,68.43,69.33,68.12,69.21,7099169,0.0,1,67.0658006,67.94785847,66.76198066,67.83025076,7099169,1
12371,WMT,2017/1/6,68.41,68.5,68.01,68.26,9491115,0.0,1,67.04619931,67.1344051,66.65417359,66.89918966,9491115,-1
12372,WMT,2017/1/9,68.33,68.8,68.32,68.71,8684232,0.0,1,66.96779417,67.42842439,66.95799352,67.3402186,8684232,1
12373,WMT,2017/1/10,68.64,69.27,68.22,68.23,10256492,0.0,1,67.2716141,67.88905462,66.85998709,66.86978774,10256492,-1
12374,WMT,2017/1/11,68.2,68.62,68.19,68.53,6697593,0.0,1,66.84038581,67.25201282,66.83058516,67.16380703,6697593,1
12375,WMT,2017/1/12,68.36,68.56,67.92,67.97,6544406,0.0,1,66.9971961,67.19320896,66.5659678,66.61497101,6544406,-1
12376,WMT,2017/1/13,67.98,68.02,67.08,67.13,10011997,0.0,1,66.62477166,66.66397423,65.74271378,65.791717,10011997,-1
12377,WMT,2017/1/17,68.09,69.29,68.06,68.42,13167509,0.0,1,66.73257873,67.9086559,66.7031768,67.05599995,13167509,1
12378,WMT,2017/1/18,67.88,68.11,67.54,68.11,7319956,0.0,1,66.52676523,66.75218002,66.19354336,66.75218002,7319956,-1
12379,WMT,2017/1/19,68.13,68.19,67.48,67.62,6821078,0.0,1,66.7717813,66.83058516,66.1347395,66.27194851,6821078,-1
12380,WMT,2017/1/20,67.74,67.83,67.02,67.18,11772489,0.0,1,66.38955622,66.47776201,65.68390992,65.84072021,11772489,-1
12381,WMT,2017/1/23,67.01,67.1799,66.56,66.65,7948927,0.0,1,65.67410928,65.84062221,65.23308034,65.32128613,7948927,-1
12382,WMT,2017/1/24,66.89,67.41,66.66,67.4,10710616,0.0,1,65.55650156,66.066135,65.33108677,66.05633436,10710616,1
12383,WMT,2017/1/25,67.52,67.73,66.79,66.89,8722855,0.0,1,66.17394208,66.37975558,65.45849513,65.55650156,8722855,-1
12384,WMT,2017/1/26,67.13,67.2239,66.62,66.73,6498087,0.0,1,65.791717,65.88374503,65.2918842,65.39969127,6498087,-1
12385,WMT,2017/1/27,66.86,66.97,65.28,65.66,13433484,0.0,1,65.52709963,65.63490671,63.97859803,64.35102246,13433484,-1
12386,WMT,2017/1/30,65.63,66.48,65.63,66.42,8641001,0.0,1,64.32162053,65.1546752,64.32162053,65.09587134,8641001,1
12387,WMT,2017/1/31,66.21,66.89,65.88,66.74,9320680,0.0,1,64.89005783,65.55650156,64.56663661,65.40949192,9320680,1
12388,WMT,2017/2/1,66.46,66.7139,66.04,66.23,9048132,0.0,1,65.13507391,65.38391224,64.7234469,64.90965912,9048132,-1
12389,WMT,2017/2/2,66.34,67.14,66.34,66.7,8998739,0.0,1,65.01746619,65.80151764,65.01746619,65.37028934,8998739,1
12390,WMT,2017/2/3,66.82,66.93,66.445,66.5,7624330,0.0,1,65.48789706,65.59570413,65.12037295,65.17427648,7624330,-1
12391,WMT,2017/2/6,66.37,66.865,66.37,66.4,9096675,0.0,1,65.04686812,65.53199995,65.04686812,65.07627005,9096675,-1
12392,WMT,2017/2/7,66.56,67.0,66.51,66.89,5805722,0.0,1,65.23308034,65.66430864,65.18407713,65.55650156,5805722,1
12393,WMT,2017/2/8,66.89,67.82,66.89,67.81,7660755,0.0,1,65.55650156,66.46796137,65.55650156,66.45816073,7660755,1
12394,WMT,2017/2/9,67.8,69.14,67.75,69.08,11080479,0.0,1,66.44836008,67.76164626,66.39935687,67.7028424,11080479,1
12395,WMT,2017/2/10,68.25,68.6,67.76,68.02,12445633,0.0,1,66.88938902,67.23241153,66.40915751,66.66397423,12445633,-1
12396,WMT,2017/2/13,68.32,68.65,67.56,67.77,8374307,0.0,1,66.95799352,67.28141474,66.21314465,66.41895815,8374307,-1
12397,WMT,2017/2/14,67.88,68.68,67.71,68.66,8460006,0.0,1,66.52676523,67.31081667,66.36015429,67.29121539,8460006,1
12398,WMT,2017/2/15,67.76,68.71,67.76,68.69,8563295,0.0,1,66.40915751,67.3402186,66.40915751,67.32061732,8563295,1
12399,WMT,2017/2/16,68.67,69.24,68.61,68.87,8413787,0.0,1,67.30101603,67.85965269,67.24221217,67.49702889,8413787,1
12400,WMT,2017/2/17,68.83,69.785,68.695,69.37,12835357,0.0,1,67.45782632,68.39378773,67.32551764,67.98706105,12835357,1
