None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,rising
12640,XOM,2016/12/27,90.83,91.11,90.58,90.75,4960456,0.0,1,87.50943472,87.77919847,87.26857423,87.43235936,4960456,0
12641,XOM,2016/12/28,90.68,91.11,90.26,90.3,6745940,0.0,1,87.36491842,87.77919847,86.96027279,86.99881047,6745940,-1
12642,XOM,2016/12/29,90.1,90.6,90.03,90.35,6684661,0.0,1,86.80612208,87.28784307,86.73868114,87.04698257,6684661,1
12643,XOM,2016/12/30,90.03,90.7,90.01,90.26,9117280,0.0,1,86.73868114,87.38418726,86.7194123,86.96027279,9117280,-1
12644,XOM,2017/1/3,90.94,91.34,90.15,90.89,10360622,0.0,1,87.61541334,88.00079013,86.85429418,87.56724124,10360622,1
12645,XOM,2017/1/4,91.12,91.15,89.75,89.89,9432400,0.0,1,87.78883289,87.81773615,86.46891739,86.60379926,9432400,-1
12646,XOM,2017/1/5,90.19,90.3,88.44,88.55,14440060,0.0,1,86.89283186,86.99881047,85.2068084,85.31278701,14440060,-1
12647,XOM,2017/1/6,88.79,88.98,87.82,88.5,16518128,0.0,1,85.54401309,85.72706706,84.60947437,85.26461491,16518128,-1
12648,XOM,2017/1/9,88.22,88.22,86.55,87.04,13759032,0.0,1,84.99485116,84.99485116,83.38590306,83.85798963,13759032,-1
12649,XOM,2017/1/10,87.17,87.31,85.91,85.93,13283083,0.0,1,83.98323709,84.11811896,82.7693002,82.78856904,13283083,-1
12650,XOM,2017/1/11,85.9,86.95,85.86,86.81,11183689,0.0,1,82.75966578,83.77127985,82.7211281,83.63639797,11183689,1
12651,XOM,2017/1/12,87.27,87.38,86.07,86.34,10406846,0.0,1,84.07958128,84.1855599,82.92345091,83.18358025,10406846,-1
12652,XOM,2017/1/13,86.27,86.68,86.17,86.35,8414747,0.0,1,83.11613931,83.51115052,83.01979511,83.19321467,8414747,1
12653,XOM,2017/1/17,86.58,87.39,86.25,87.36,13237348,0.0,1,83.41480632,84.19519432,83.09687047,84.16629106,13237348,1
12654,XOM,2017/1/18,87.06,87.41,86.05,86.28,11827304,0.0,1,83.87725847,84.21446316,82.90418207,83.12577373,11827304,-1
12655,XOM,2017/1/19,85.97,86.1,84.59,84.73,16382903,0.0,1,82.82710671,82.95235417,81.49755679,81.63243866,16382903,-1
12656,XOM,2017/1/20,85.44,85.96,85.05,85.89,18738859,0.0,1,82.31648247,82.81747229,81.9407401,82.75003136,18738859,1
12657,XOM,2017/1/23,85.68,85.88,84.75,84.97,11433633,0.0,1,82.54770854,82.74039694,81.6517075,81.86366474,11433633,-1
12658,XOM,2017/1/24,84.98,85.47,84.825,85.09,11858111,0.0,1,81.87329916,82.34538573,81.72396565,81.97927778,11858111,1
12659,XOM,2017/1/25,85.34,85.88,85.25,85.34,9578522,0.0,1,82.22013827,82.74039694,82.13342849,82.22013827,9578522,1
12660,XOM,2017/1/26,85.69,85.83,85.12,85.6,8776714,0.0,1,82.55734296,82.69222484,82.00818103,82.47063318,8776714,1
12661,XOM,2017/1/27,85.3,85.75,85.0441,85.51,10945102,0.0,1,82.18160059,82.61514948,81.93505579,82.38392341,10945102,-1
12662,XOM,2017/1/30,85.42,85.45,84.175,84.86,12788543,0.0,1,82.29721363,82.32611689,81.09772837,81.75768612,12788543,-1
12663,XOM,2017/1/31,85.04,85.07,83.13,83.89,19127490,0.0,1,81.93110568,81.96000894,80.0909315,80.8231474,19127490,-1
12664,XOM,2017/2/1,84.0,84.16,82.54,82.94,15110442,0.0,1,80.92912602,81.08327674,79.52250074,79.90787753,15110442,-1
12665,XOM,2017/2/2,83.21,83.53,82.55,83.45,12200100,0.0,1,80.16800686,80.47630829,79.53213516,80.39923293,12200100,1
12666,XOM,2017/2/3,83.7,83.72,82.9,83.54,12743536,0.0,1,80.64009343,80.65936227,79.86933985,80.48594271,12743536,1
12667,XOM,2017/2/6,83.55,83.65,82.93,83.31,9935630,0.0,1,80.49557713,80.59192133,79.89824311,80.26435106,9935630,-1
12668,XOM,2017/2/7,83.23,83.62,82.45,82.77,11699412,0.75,1,80.91387298,81.29302005,80.15557884,80.46667387,11699412,-1
12669,XOM,2017/2/8,81.99,82.12,81.17,81.48,14005318,0.75,1,80.44207248,80.56961815,79.63755364,79.94170101,14005318,-1
12670,XOM,2017/2/9,81.8,82.05,81.665,81.84,9602988,0.0,1,80.25565958,80.50093971,80.12320831,80.2949044,9602988,1
12671,XOM,2017/2/10,82.26,82.77,82.13,82.52,8739814,0.0,1,80.70697502,81.2073465,80.57942936,80.96206636,8739814,1
12672,XOM,2017/2/13,82.77,83.1837,82.35,83.0,9071638,0.0,1,81.2073465,81.61323606,80.79527587,81.43300422,9071638,1
12673,XOM,2017/2/14,82.91,83.1,82.06,82.82,11370235,0.0,1,81.34470337,81.53111627,80.51075092,81.25640252,11370235,-1
12674,XOM,2017/2/15,82.64,83.18,82.4634,83.16,11768513,0.0,1,81.07980083,81.60960591,80.90653494,81.5899835,11768513,1
